X,Y,Total_de_notas
2,3,20
2,4,27
2,6,29
2,8,28
2,11,28
2,12,28
2,13,24
2,14,28
2,15,24
2,16,28
2,19,28
2,20,26
2,21,22
2,22,28
2,23,22
2,24,28
2,25,20
2,26,18
2,27,32
2,28,28
2,29,28
2,30,28
2,31,28
2,0,28
2,17,10
2,18,12
2,5,7
2,7,10
2,10,6
2,2,9
2,9,4
2,1,4
3,3,20
3,4,27
3,6,29
3,8,28
3,11,28
3,12,28
3,13,24
3,14,28
3,15,24
3,16,28
3,19,28
3,20,26
3,21,22
3,22,28
3,23,22
3,24,28
3,25,20
3,26,18
3,27,32
3,28,28
3,29,28
3,30,28
3,31,28
3,0,28
3,17,10
3,18,12
3,5,7
3,7,10
3,10,6
3,2,9
3,9,4
3,1,4
4,3,20
4,4,27
4,6,29
4,8,28
4,11,28
4,12,28
4,13,24
4,14,28
4,15,24
4,16,28
4,19,28
4,20,26
4,21,22
4,22,28
4,23,22
4,24,28
4,25,20
4,26,18
4,27,32
4,28,28
4,29,28
4,30,28
4,31,28
4,0,28
4,17,10
4,18,12
4,5,7
4,7,10
4,10,6
4,2,9
4,9,4
4,1,4
5,3,20
5,4,27
5,6,29
5,8,28
5,11,28
5,12,28
5,13,24
5,14,28
5,15,24
5,16,28
5,19,28
5,20,26
5,21,22
5,22,28
5,23,22
5,24,28
5,25,20
5,26,18
5,27,32
5,28,28
5,29,28
5,30,28
5,31,28
5,0,28
5,17,10
5,18,12
5,5,7
5,7,10
5,10,6
5,2,9
5,9,4
5,1,4
