X,Y,Total_de_notas
2,2,11
2,8,10
2,12,12
2,18,21
2,20,17
2,22,7
2,26,18
2,28,26
2,30,4
2,32,24
2,34,15
2,36,24
2,38,2
2,42,29
2,44,9
2,46,12
2,50,18
2,54,8
2,56,20
2,58,23
2,60,26
2,0,27
2,4,27
2,10,26
2,16,12
2,48,16
2,52,20
2,24,19
2,14,7
2,40,6
2,62,3
2,6,1
3,0,55
3,2,7
3,4,7
3,6,7
3,10,20
3,16,45
3,32,63
3,34,4
3,36,4
3,38,12
3,50,15
3,52,15
3,42,12
3,48,35
3,54,7
3,58,37
3,26,25
3,28,1
3,29,1
3,30,1
3,18,14
3,20,14
3,22,6
3,24,4
3,60,1
3,61,1
3,62,1
3,56,4
3,40,12
4,0,5
4,8,10
4,16,8
4,26,19
4,30,19
4,40,5
4,48,10
4,58,14
4,62,14
4,34,8
4,38,9
4,43,1
4,45,1
4,52,6
4,54,10
4,6,11
4,20,7
4,22,11
4,42,7
4,46,8
4,44,4
4,14,6
4,50,4
4,2,8
4,10,5
4,18,3
4,12,3
5,0,5
5,8,10
5,16,8
5,26,19
5,30,19
5,40,5
5,48,10
5,58,14
5,62,14
5,34,8
5,38,9
5,43,1
5,45,1
5,52,6
5,54,10
5,6,11
5,20,7
5,22,11
5,42,7
5,46,8
5,44,4
5,14,6
5,50,4
5,2,8
5,10,5
5,18,3
5,12,3
6,0,19
6,6,19
6,8,18
6,14,19
6,16,18
6,22,19
6,24,20
6,30,19
6,32,19
6,38,19
6,46,19
6,48,19
6,54,19
6,56,20
6,60,4
6,40,17
6,62,15
6,26,1
6,28,1
6,44,1
6,36,1
7,0,81
7,2,49
7,4,52
7,6,93
7,8,60
7,10,39
7,12,74
7,14,60
7,16,75
7,18,51
7,20,57
7,22,63
7,24,58
7,26,57
7,28,50
7,30,59
7,32,82
7,34,49
7,36,52
7,38,92
7,40,62
7,42,40
7,44,83
7,46,62
7,48,71
7,50,47
7,52,54
7,54,61
7,56,57
7,58,55
7,60,44
7,62,58
7,37,2
7,5,2
7,55,1
