X,Y,Total_de_notas
2,500.0,55
2,1500.0,32
2,2000.0,41
2,2500.0,61
2,3500.0,32
2,0.0,36
2,3000.0,25
2,1626.0,2
2,2126.0,3
2,1000.0,18
2,2376.0,7
2,376.0,7
2,2250.0,10
2,3376.0,1
2,3666.0,13
2,3834.0,13
2,166.0,13
2,334.0,13
2,750.0,5
2,1750.0,7
2,2666.0,10
2,2834.0,10
2,3166.0,11
2,3334.0,11
2,666.0,11
2,834.0,11
2,1166.0,11
2,1334.0,11
2,1666.0,11
2,1834.0,11
2,2166.0,12
2,2334.0,12
2,2062.0,1
2,2188.0,1
2,2312.0,1
2,2416.0,1
2,2458.0,1
2,1250.0,5
2,250.0,4
2,2750.0,1
2,3250.0,1
2,3750.0,1
3,0.0,54
3,376.0,11
3,500.0,79
3,1500.0,42
3,1534.0,4
3,1876.0,6
3,2000.0,62
3,2376.0,11
3,2500.0,87
3,3500.0,56
3,1626.0,4
3,2126.0,4
3,1000.0,26
3,3000.0,38
3,3376.0,6
3,3750.0,6
3,3876.0,1
3,126.0,1
3,250.0,10
3,3666.0,3
3,3834.0,3
3,166.0,3
3,334.0,3
3,750.0,4
3,1250.0,5
3,1750.0,4
3,2250.0,5
3,2666.0,1
3,2834.0,1
3,3166.0,1
3,3334.0,1
3,666.0,1
3,834.0,1
3,1166.0,1
3,1334.0,1
3,1666.0,2
3,1834.0,2
3,2166.0,2
3,2334.0,2
3,3250.0,8
3,2750.0,4
4,500.0,70
4,2500.0,81
4,1500.0,50
4,2000.0,56
4,3000.0,25
4,3500.0,51
4,1000.0,22
4,3376.0,7
4,0.0,36
4,2376.0,7
4,376.0,9
4,2250.0,8
4,2062.0,1
4,2126.0,3
4,2188.0,1
4,2312.0,1
4,2416.0,1
4,2458.0,1
4,750.0,3
4,1250.0,7
4,1750.0,4
4,2750.0,2
4,3250.0,4
4,3750.0,3
4,250.0,5
4,1534.0,2
4,1876.0,3
4,1626.0,2
5,500.0,97
5,2500.0,102
5,1500.0,62
5,2000.0,65
5,3000.0,43
5,3500.0,73
5,1000.0,39
5,3376.0,12
5,0.0,54
5,2376.0,4
5,376.0,7
5,2250.0,12
5,250.0,10
5,750.0,3
5,1250.0,3
5,1750.0,7
5,62.0,1
5,126.0,1
5,188.0,1
5,312.0,1
5,416.0,1
5,458.0,1
5,2750.0,2
5,3250.0,4
5,3750.0,4
5,1376.0,8
6,500.0,90
6,2500.0,94
6,1500.0,38
6,2000.0,48
6,0.0,45
6,3500.0,45
6,3000.0,24
6,1000.0,29
6,376.0,2
6,3666.0,1
6,3834.0,1
6,166.0,2
6,334.0,2
6,1666.0,1
6,1834.0,1
6,2166.0,2
6,2334.0,2
6,1376.0,9
6,250.0,2
6,2376.0,5
6,3376.0,6
7,500.0,32
7,2498.0,30
7,2500.0,37
7,498.0,28
7,1498.0,20
7,1500.0,25
7,1998.0,24
7,2000.0,24
7,1000.0,13
7,2998.0,14
7,3000.0,16
7,3374.0,6
7,3376.0,7
7,3498.0,14
7,3500.0,18
7,3998.0,18
7,3436.0,1
7,0.0,20
7,998.0,14
7,2748.0,5
7,3248.0,2
7,248.0,1
7,748.0,3
7,332.0,5
7,2332.0,2
7,3332.0,3
7,3748.0,2
7,2248.0,3
7,2666.0,1
7,2832.0,1
7,2834.0,1
7,3164.0,1
7,3166.0,1
7,3334.0,1
7,3664.0,1
7,3666.0,1
7,3832.0,1
7,3834.0,1
7,164.0,1
7,166.0,1
7,334.0,1
7,1248.0,1
7,1748.0,1
7,2374.0,4
7,2376.0,4
7,1374.0,6
7,1376.0,6
7,1750.0,1
7,2250.0,1
8,2500.0,34
8,0.0,14
8,500.0,22
8,2000.0,19
8,3000.0,7
8,3500.0,10
8,1000.0,13
8,1376.0,4
8,1500.0,19
8,2666.0,1
8,2834.0,1
8,3166.0,1
8,3334.0,1
8,3666.0,2
8,3834.0,2
8,166.0,2
8,334.0,2
8,2376.0,4
9,500.0,44
9,998.0,41
9,2500.0,46
9,2998.0,39
9,1500.0,21
9,1998.0,17
9,3000.0,5
9,3498.0,6
9,3500.0,23
9,3998.0,21
9,2000.0,15
9,2498.0,19
9,2748.0,8
9,3248.0,2
9,0.0,7
9,498.0,12
9,1000.0,7
9,1498.0,7
9,2580.0,2
9,2582.0,2
9,2660.0,2
9,2664.0,2
9,2744.0,5
9,2828.0,2
9,2832.0,2
9,2910.0,2
9,2914.0,2
9,2994.0,2
9,3078.0,2
9,3080.0,2
9,3158.0,2
9,3162.0,2
9,3242.0,2
9,3246.0,2
9,3326.0,2
9,3330.0,2
9,3408.0,2
9,3412.0,2
9,3492.0,5
9,3748.0,2
9,580.0,2
9,582.0,2
9,660.0,2
9,664.0,3
9,744.0,3
9,748.0,4
9,828.0,2
9,832.0,3
9,910.0,2
9,914.0,2
9,994.0,2
9,1078.0,2
9,1080.0,2
9,1158.0,2
9,1162.0,2
9,1242.0,2
9,1246.0,2
9,1326.0,2
9,1330.0,2
9,1408.0,2
9,1412.0,2
9,1492.0,3
9,1748.0,4
9,2558.0,3
9,2560.0,3
9,2618.0,3
9,2624.0,3
9,2682.0,3
9,2686.0,3
9,2806.0,3
9,2808.0,3
9,2866.0,3
9,2870.0,3
9,2930.0,3
9,2934.0,3
9,2992.0,3
9,2996.0,3
9,3054.0,3
9,3056.0,3
9,3114.0,3
9,3118.0,3
9,3178.0,3
9,3182.0,3
9,3240.0,3
9,3244.0,3
9,3302.0,3
9,3304.0,3
9,3362.0,3
9,3366.0,3
9,3426.0,3
9,3430.0,3
9,3488.0,3
9,3550.0,3
9,3552.0,3
9,3610.0,3
9,3614.0,3
9,3674.0,3
9,3678.0,3
9,3736.0,3
9,3740.0,3
9,3798.0,3
9,3800.0,3
9,3858.0,3
9,3862.0,3
9,3920.0,3
9,3926.0,3
9,3984.0,3
9,3988.0,3
9,46.0,3
9,50.0,3
9,108.0,3
9,110.0,3
9,168.0,3
9,174.0,3
9,232.0,3
9,236.0,3
9,294.0,3
9,298.0,3
9,356.0,3
9,358.0,3
9,416.0,8
9,420.0,3
9,480.0,3
9,1374.0,1
9,1376.0,1
9,3664.0,1
9,3666.0,1
9,3832.0,1
9,3834.0,1
9,164.0,1
9,166.0,1
9,332.0,6
9,334.0,6
9,666.0,1
9,834.0,1
9,1164.0,1
9,1166.0,1
9,1332.0,1
9,1334.0,1
9,1664.0,1
9,1666.0,1
9,1832.0,1
9,1834.0,1
9,2164.0,1
9,2166.0,1
9,2332.0,6
9,2334.0,6
9,1558.0,1
9,1560.0,1
9,1618.0,1
9,1624.0,1
9,1682.0,1
9,1686.0,1
9,1744.0,1
9,1806.0,1
9,1808.0,1
9,1866.0,1
9,1870.0,1
9,1930.0,1
9,1934.0,1
9,1992.0,1
9,1996.0,1
9,2054.0,1
9,2056.0,1
9,2114.0,1
9,2118.0,1
9,2178.0,1
9,2182.0,1
9,2240.0,1
9,2244.0,1
9,2302.0,1
9,2304.0,1
9,2362.0,1
9,2366.0,1
9,2426.0,1
9,2430.0,1
9,2488.0,1
9,1248.0,1
9,2248.0,1
9,374.0,1
9,376.0,1
9,2250.0,5
9,2414.0,5
9,2416.0,6
9,250.0,5
9,414.0,5
9,3250.0,2
9,3332.0,2
9,3334.0,2
9,3414.0,2
9,3416.0,2
9,558.0,1
9,560.0,1
9,618.0,1
9,624.0,1
9,682.0,1
9,686.0,1
9,806.0,1
9,808.0,1
9,866.0,1
9,870.0,1
9,930.0,1
9,934.0,1
9,992.0,1
9,996.0,1
9,1054.0,1
9,1056.0,1
9,1114.0,1
9,1118.0,1
9,1178.0,1
9,1182.0,1
9,1240.0,1
9,1244.0,1
9,1302.0,1
9,1304.0,1
9,1362.0,1
9,1366.0,1
9,1426.0,1
9,1430.0,1
9,1488.0,1
9,1550.0,1
9,1552.0,1
9,1610.0,1
9,1614.0,1
9,1674.0,1
9,1678.0,1
9,1736.0,1
9,1740.0,1
9,1798.0,1
9,1800.0,1
9,1858.0,1
9,1862.0,1
9,1920.0,1
9,1926.0,1
9,1984.0,1
9,1988.0,1
9,2046.0,1
9,2050.0,1
9,2108.0,1
9,2110.0,1
9,2168.0,1
9,2174.0,1
9,2232.0,1
9,2236.0,1
9,2294.0,1
9,2298.0,1
9,2356.0,1
9,2358.0,1
9,2420.0,1
9,2480.0,1
10,0.0,52
10,374.0,21
10,376.0,18
10,498.0,77
10,500.0,104
10,1498.0,61
10,1500.0,78
10,1532.0,3
10,1534.0,3
10,1870.0,3
10,1876.0,13
10,1998.0,74
10,2000.0,65
10,2374.0,22
10,2376.0,16
10,2498.0,79
10,2500.0,95
10,3498.0,58
10,3500.0,81
10,3998.0,70
10,1624.0,8
10,1626.0,10
10,2124.0,11
10,2126.0,10
10,1874.0,15
10,248.0,23
10,250.0,45
10,748.0,22
10,750.0,19
10,998.0,66
10,1000.0,47
10,1124.0,10
10,1250.0,24
10,1374.0,14
10,2998.0,62
10,3000.0,41
10,3374.0,13
10,3376.0,11
10,332.0,36
10,334.0,39
10,414.0,26
10,416.0,18
10,2250.0,35
10,2332.0,35
10,2334.0,37
10,2414.0,22
10,2416.0,13
10,1332.0,31
10,1334.0,31
10,1414.0,19
10,1416.0,6
10,3250.0,23
10,3332.0,34
10,3334.0,32
10,3414.0,17
10,3416.0,6
10,3748.0,25
10,3750.0,19
10,3810.0,2
10,3876.0,11
10,3936.0,2
10,60.0,4
10,126.0,12
10,186.0,4
10,310.0,4
10,436.0,2
10,3436.0,2
10,2748.0,26
10,3248.0,17
10,1248.0,22
10,1748.0,25
10,664.0,21
10,666.0,25
10,832.0,28
10,834.0,25
10,914.0,13
10,1164.0,18
10,1166.0,25
10,1664.0,17
10,1666.0,24
10,1832.0,26
10,1834.0,24
10,1914.0,9
10,2164.0,13
10,2166.0,24
10,2664.0,24
10,2666.0,26
10,2832.0,33
10,2834.0,26
10,2914.0,10
10,3164.0,20
10,3166.0,26
10,3664.0,21
10,3666.0,22
10,3832.0,29
10,3834.0,22
10,3914.0,8
10,164.0,12
10,166.0,22
10,2582.0,5
10,2584.0,1
10,2750.0,14
10,2916.0,1
10,3080.0,3
10,3082.0,5
10,3160.0,9
10,3244.0,3
10,3328.0,3
10,3410.0,3
10,3494.0,3
10,582.0,6
10,584.0,1
10,916.0,1
10,1080.0,3
10,1082.0,6
10,1160.0,7
10,1244.0,3
10,1328.0,3
10,1410.0,3
10,1494.0,3
10,1750.0,17
10,2248.0,20
10,1582.0,3
10,2082.0,3
10,2580.0,2
10,2660.0,2
10,2744.0,2
10,2828.0,8
10,2910.0,2
10,2994.0,8
10,580.0,2
10,660.0,2
10,744.0,2
10,828.0,6
10,910.0,2
10,994.0,6
10,1376.0,9
10,62.0,2
10,124.0,10
10,188.0,2
10,312.0,2
10,456.0,2
10,458.0,2
10,874.0,12
10,2624.0,1
10,2874.0,11
10,3124.0,6
10,3624.0,7
10,3874.0,13
10,624.0,7
10,3532.0,1
10,3534.0,1
10,3870.0,1
10,2662.0,6
10,3162.0,6
10,3326.0,6
