X,Y,Total_de_notas
2,0.0,51
2,334.0,1
2,666.0,17
2,1000.0,21
2,1334.0,17
2,1666.0,1
2,500.0,59
2,1500.0,101
3,0.0,143
3,334.0,1
3,666.0,17
3,1000.0,83
3,1334.0,17
3,1666.0,1
3,500.0,140
3,1500.0,319
4,0.0,163
4,1998.0,161
4,1000.0,4
4,1498.0,20
4,1500.0,14
4,498.0,4
4,500.0,4
5,0.0,52
5,314.0,1
5,334.0,1
5,648.0,1
5,666.0,17
5,982.0,1
5,1000.0,21
5,1314.0,1
5,1334.0,17
5,1648.0,1
5,1666.0,1
5,1982.0,1
5,1498.0,1
5,500.0,59
5,1448.0,59
5,1500.0,101
5,1774.0,11
5,1798.0,8
5,632.0,14
5,1298.0,16
5,1964.0,16
5,948.0,16
5,1474.0,16
5,448.0,44
5,1974.0,18
5,1848.0,4
5,474.0,6
5,1898.0,2
5,1398.0,20
5,374.0,2
5,606.0,2
5,924.0,4
5,1998.0,1
5,1424.0,1
6,0.0,52
6,332.0,1
6,334.0,1
6,664.0,17
6,666.0,17
6,998.0,21
6,1000.0,21
6,1332.0,17
6,1334.0,17
6,1664.0,1
6,1666.0,1
6,1998.0,62
6,500.0,59
6,1498.0,96
6,1500.0,101
6,498.0,52
7,0.0,52
7,332.0,1
7,334.0,1
7,664.0,17
7,666.0,17
7,998.0,21
7,1000.0,21
7,1332.0,17
7,1334.0,17
7,1664.0,1
7,1666.0,1
7,1998.0,62
7,500.0,59
7,1498.0,96
7,1500.0,101
7,498.0,52
8,0.0,52
8,332.0,1
8,334.0,1
8,664.0,17
8,666.0,17
8,998.0,21
8,1000.0,21
8,1332.0,17
8,1334.0,17
8,1664.0,1
8,1666.0,1
8,1998.0,62
8,500.0,59
8,1498.0,96
8,1500.0,101
8,498.0,52
