X,Y,Total_de_notas
2,1250.0,55
2,1498.0,47
2,1500.0,49
2,1748.0,56
2,1750.0,56
2,2248.0,49
2,0.0,52
2,248.0,54
2,250.0,52
2,748.0,55
2,750.0,56
2,1248.0,58
2,998.0,54
2,1000.0,52
2,1998.0,48
2,2000.0,48
2,498.0,51
2,500.0,52
3,1250.0,53
3,1498.0,49
3,1500.0,50
3,1748.0,55
3,1750.0,57
3,2248.0,49
3,0.0,51
3,248.0,54
3,250.0,54
3,748.0,54
3,750.0,55
3,1248.0,58
3,998.0,53
3,1000.0,52
3,1998.0,49
3,2000.0,49
3,498.0,52
3,500.0,52
4,250.0,44
4,498.0,42
4,500.0,41
4,748.0,46
4,750.0,46
4,1248.0,46
4,1250.0,43
4,1498.0,42
4,1500.0,41
4,1748.0,44
4,1750.0,45
4,1998.0,41
4,2000.0,41
4,2248.0,40
4,0.0,43
4,248.0,42
4,998.0,44
4,1000.0,43
5,250.0,48
5,498.0,46
5,500.0,45
5,748.0,50
5,750.0,49
5,1248.0,47
5,1250.0,45
5,1498.0,45
5,1500.0,44
5,1748.0,46
5,1750.0,47
5,1998.0,43
5,2000.0,44
5,2248.0,43
5,0.0,46
5,248.0,47
5,998.0,47
5,1000.0,46
