X,Y,Total_de_notas
2,500.0,264
2,626.0,14
2,634.0,35
2,1500.0,264
2,1642.0,33
2,1658.0,28
2,1584.0,3
2,1608.0,11
2,600.0,10
2,616.0,13
2,1592.0,16
2,1600.0,13
2,608.0,17
2,1634.0,11
2,576.0,2
2,1666.0,20
2,584.0,1
2,526.0,8
2,650.0,31
2,658.0,23
2,1526.0,8
2,1684.0,9
2,642.0,29
2,1616.0,12
2,1626.0,14
2,716.0,3
2,1650.0,42
2,676.0,17
2,666.0,33
2,1676.0,23
2,684.0,17
2,1708.0,9
2,1750.0,4
2,750.0,5
2,1700.0,6
2,1692.0,10
2,592.0,5
2,700.0,7
2,692.0,6
2,0.0,8
2,184.0,1
2,200.0,1
2,1000.0,6
2,1176.0,1
2,1226.0,1
2,176.0,1
2,276.0,1
2,1726.0,3
2,708.0,3
2,742.0,2
2,1766.0,2
2,734.0,1
2,1716.0,2
2,1742.0,1
2,158.0,1
2,192.0,1
2,1158.0,1
2,1192.0,1
2,116.0,1
2,150.0,1
2,850.0,1
2,900.0,1
2,1116.0,1
2,1126.0,1
3,0.0,137
3,400.0,4
3,1000.0,135
3,1458.0,4
3,508.0,6
3,1584.0,2
3,484.0,8
3,1492.0,6
3,434.0,2
3,1500.0,26
3,592.0,4
3,1450.0,2
3,1534.0,4
3,500.0,9
3,1476.0,3
3,458.0,4
3,1484.0,3
3,26.0,4
3,426.0,2
3,1026.0,4
3,534.0,1
3,1608.0,3
3,1516.0,6
3,1526.0,1
3,226.0,2
3,1266.0,1
3,200.0,2
3,1250.0,4
3,234.0,2
3,1258.0,3
3,276.0,2
3,258.0,3
3,1242.0,1
3,1234.0,4
3,192.0,1
3,1226.0,5
3,1776.0,2
3,476.0,5
3,1600.0,6
3,600.0,6
3,1358.0,6
3,1916.0,5
3,1676.0,7
3,542.0,8
3,1742.0,5
3,326.0,1
3,666.0,2
3,550.0,1
3,1558.0,2
3,558.0,2
3,416.0,3
3,1442.0,1
3,450.0,1
3,1334.0,2
3,1834.0,2
3,408.0,2
3,466.0,1
3,442.0,1
3,1300.0,1
3,1416.0,2
3,1892.0,2
3,1392.0,2
3,1758.0,3
3,676.0,4
3,708.0,2
3,1658.0,2
3,700.0,2
3,692.0,1
3,1966.0,7
3,526.0,1
3,1566.0,1
3,584.0,2
3,566.0,2
3,1626.0,3
3,634.0,2
3,1408.0,2
3,1816.0,1
3,726.0,1
3,1800.0,2
3,1750.0,3
3,1016.0,1
3,516.0,1
3,1984.0,3
3,350.0,2
3,750.0,2
3,858.0,1
3,1426.0,2
3,1734.0,1
3,216.0,3
3,966.0,2
3,1100.0,2
3,16.0,2
3,1034.0,2
3,992.0,1
3,76.0,1
3,1042.0,1
3,1908.0,1
3,1008.0,2
3,984.0,1
3,742.0,2
3,1684.0,3
3,1508.0,1
3,650.0,1
3,684.0,1
3,1650.0,2
3,366.0,2
3,908.0,1
3,1884.0,1
3,1308.0,2
3,1850.0,2
3,358.0,1
3,492.0,1
3,376.0,1
3,884.0,1
3,1200.0,1
3,1876.0,1
3,242.0,2
3,792.0,4
3,1366.0,1
3,1692.0,2
3,576.0,1
3,866.0,1
3,300.0,1
3,826.0,1
3,1784.0,2
3,1376.0,1
3,292.0,2
3,1342.0,1
3,1400.0,2
3,1616.0,3
3,642.0,1
3,626.0,1
3,1592.0,1
3,784.0,1
3,658.0,2
3,1576.0,1
3,1326.0,1
3,1842.0,1
3,266.0,1
3,208.0,1
3,1216.0,1
3,176.0,1
3,900.0,1
4,500.0,356
4,1500.0,360
4,526.0,19
4,1526.0,19
4,508.0,2
4,534.0,9
4,542.0,6
4,1516.0,6
4,1542.0,4
4,1534.0,5
4,1550.0,3
4,516.0,5
4,1558.0,2
4,550.0,2
4,576.0,1
4,1508.0,3
4,484.0,1
4,492.0,2
4,0.0,10
4,1000.0,8
4,1750.0,2
4,750.0,3
5,1000.0,47
5,1766.0,1
5,0.0,79
5,142.0,1
5,250.0,7
5,816.0,1
5,1426.0,3
5,1500.0,20
5,1650.0,5
5,434.0,3
5,500.0,38
5,658.0,10
5,1250.0,32
5,1276.0,3
5,1566.0,3
5,1750.0,16
5,1576.0,1
5,666.0,4
5,1208.0,2
5,1850.0,2
5,634.0,2
5,750.0,29
5,1092.0,2
5,1666.0,1
5,1450.0,2
5,1634.0,1
5,526.0,3
5,642.0,5
5,1150.0,1
5,1976.0,5
5,534.0,5
5,1876.0,5
5,926.0,9
5,16.0,5
5,466.0,3
5,1858.0,1
5,876.0,5
5,1742.0,1
5,958.0,4
5,1592.0,1
5,1626.0,2
5,1776.0,1
5,1816.0,1
5,1958.0,1
5,50.0,4
5,1900.0,2
5,992.0,5
5,1616.0,2
5,1834.0,2
5,1842.0,1
5,42.0,1
5,1342.0,1
5,158.0,5
5,1642.0,2
5,566.0,4
5,842.0,2
5,966.0,2
5,1416.0,3
5,1808.0,3
5,276.0,2
5,284.0,2
5,950.0,1
5,1008.0,2
5,1034.0,1
5,1200.0,3
5,1434.0,6
5,1608.0,1
5,1984.0,2
5,708.0,1
5,716.0,2
5,776.0,3
5,984.0,1
5,1300.0,1
5,1392.0,3
5,1442.0,7
5,1784.0,2
5,34.0,1
5,66.0,3
5,8.0,2
5,550.0,1
5,784.0,1
5,1192.0,2
5,1476.0,1
5,100.0,1
5,376.0,1
5,700.0,3
5,758.0,1
5,826.0,1
5,1076.0,3
5,1126.0,2
5,1158.0,2
5,1216.0,2
5,1358.0,1
5,1408.0,5
5,1684.0,4
5,1700.0,4
5,1026.0,3
5,1950.0,3
5,584.0,3
5,1942.0,3
5,742.0,3
5,1826.0,2
5,150.0,2
5,226.0,3
5,684.0,1
5,692.0,1
5,1184.0,4
5,134.0,1
5,200.0,3
5,650.0,4
5,900.0,4
5,1676.0,1
5,234.0,4
5,908.0,4
5,916.0,1
5,166.0,1
5,216.0,4
5,676.0,2
5,184.0,1
5,1734.0,2
5,334.0,1
5,1258.0,3
5,342.0,1
5,366.0,1
5,292.0,1
5,508.0,1
5,592.0,1
5,458.0,1
5,450.0,1
5,1966.0,1
5,442.0,1
5,1242.0,2
5,92.0,1
5,934.0,3
5,1792.0,2
5,242.0,1
5,108.0,1
5,408.0,1
5,726.0,1
5,1692.0,2
5,1926.0,1
5,484.0,1
5,766.0,1
5,976.0,1
5,1266.0,1
5,1466.0,1
5,1176.0,1
5,1558.0,1
5,1376.0,2
5,1400.0,3
5,1908.0,3
5,258.0,1
5,892.0,1
5,266.0,2
5,300.0,1
5,1934.0,2
5,208.0,1
5,400.0,1
5,734.0,1
5,1516.0,1
5,1716.0,1
5,316.0,1
5,1292.0,1
6,0.0,67
6,134.0,4
6,150.0,7
6,466.0,12
6,576.0,3
6,608.0,9
6,984.0,11
6,992.0,9
6,1134.0,2
6,1176.0,13
6,1984.0,9
6,26.0,13
6,142.0,3
6,176.0,15
6,476.0,15
6,592.0,4
6,750.0,36
6,758.0,7
6,884.0,2
6,916.0,8
6,1234.0,7
6,1250.0,31
