X,Y,Total_de_notas
2,0.0,49
2,498.0,59
2,500.0,83
2,998.0,89
2,1000.0,71
2,1498.0,61
2,1500.0,61
2,1998.0,78
2,2000.0,83
2,2498.0,56
2,2500.0,60
2,2998.0,88
2,3000.0,88
2,3498.0,25
2,3500.0,34
2,3748.0,62
2,3750.0,61
2,3998.0,81
2,3248.0,38
2,3250.0,38
2,1248.0,9
2,1250.0,9
2,1748.0,25
2,1750.0,27
2,2248.0,1
2,2748.0,23
2,2750.0,23
2,748.0,21
2,750.0,21
2,2250.0,7
2,3876.0,1
3,0.0,76
3,998.0,103
3,3250.0,3
3,3748.0,30
3,3750.0,30
3,498.0,69
3,500.0,99
3,1000.0,99
3,1498.0,99
3,1500.0,99
3,1998.0,99
3,2000.0,99
3,2498.0,99
3,2500.0,99
3,2998.0,99
3,3000.0,99
3,3498.0,99
3,3500.0,99
3,3998.0,105
