X,Y,Total_de_notas
2,2500.0,8
2,3998.0,11
2,0.0,9
2,248.0,2
2,250.0,2
2,498.0,6
2,500.0,4
2,1998.0,3
2,2000.0,9
2,2498.0,7
2,3248.0,4
2,3250.0,4
2,1000.0,5
2,1498.0,4
2,998.0,3
2,2998.0,2
2,3000.0,1
3,0.0,6
3,498.0,7
3,500.0,7
3,1998.0,7
3,2000.0,7
3,3998.0,7
3,2998.0,2
3,3000.0,2
3,2500.0,1
3,3498.0,1
3,3500.0,1
4,500.0,96
4,998.0,96
4,1000.0,96
4,1998.0,96
4,2000.0,96
4,2998.0,96
4,3000.0,96
4,3998.0,96
5,0.0,25
5,498.0,25
5,500.0,24
5,998.0,24
5,1000.0,24
5,1998.0,24
5,2000.0,24
5,2998.0,24
5,3000.0,24
5,3998.0,24
7,500.0,96
7,498.0,96
8,0.0,25
8,498.0,25
8,500.0,48
8,998.0,48
8,1000.0,48
8,1498.0,48
8,1500.0,48
8,1998.0,48
8,2000.0,48
8,2498.0,48
8,2500.0,24
8,2998.0,24
8,3000.0,48
8,3498.0,48
8,3500.0,48
8,3998.0,48
