X,Y,Total_de_notas
2,516.0,14
2,566.0,4
2,626.0,1
2,3500.0,27
2,500.0,105
2,542.0,14
2,434.0,1
2,484.0,10
2,466.0,9
2,576.0,2
2,584.0,2
2,458.0,11
2,476.0,12
2,592.0,3
2,526.0,12
2,534.0,14
2,450.0,2
2,492.0,7
2,508.0,14
2,550.0,5
2,442.0,1
2,400.0,3
2,392.0,1
2,600.0,1
2,426.0,3
2,416.0,1
2,408.0,1
3,508.0,1
3,500.0,109
3,3500.0,57
3,0.0,98
3,1000.0,69
3,1500.0,75
3,2000.0,98
3,2500.0,28
3,3000.0,44
3,1992.0,4
3,2508.0,8
3,3534.0,6
3,476.0,4
3,958.0,4
3,1442.0,4
3,3484.0,4
3,2558.0,1
3,3034.0,3
3,3516.0,1
3,3966.0,1
3,542.0,4
3,2034.0,2
3,2534.0,2
3,3466.0,2
3,34.0,2
3,566.0,2
3,1042.0,2
3,2026.0,4
3,3042.0,2
3,3542.0,2
3,3934.0,2
3,1034.0,2
3,1534.0,2
3,3050.0,2
3,3526.0,2
3,3976.0,2
3,558.0,2
3,1026.0,2
3,1542.0,2
3,2042.0,2
3,3058.0,2
3,16.0,2
3,3508.0,2
4,3800.0,1
4,500.0,460
4,508.0,47
4,2000.0,382
4,3000.0,181
4,3492.0,28
4,3500.0,454
4,992.0,10
4,1016.0,2
4,2008.0,41
4,2984.0,3
4,3008.0,10
4,492.0,52
4,516.0,13
4,1992.0,39
4,2992.0,14
4,3508.0,20
4,1000.0,59
4,1984.0,26
4,3016.0,3
4,1500.0,139
4,1508.0,3
4,1492.0,9
4,484.0,21
4,2500.0,39
4,2016.0,14
4,2492.0,4
4,0.0,54
4,526.0,5
4,984.0,2
4,1008.0,6
4,976.0,1
4,2508.0,2
4,416.0,2
4,558.0,1
4,676.0,1
4,716.0,1
4,3050.0,1
4,3376.0,1
4,3716.0,1
4,58.0,1
4,766.0,1
4,1150.0,1
4,1926.0,1
5,2500.0,81
5,3000.0,38
5,3500.0,60
5,0.0,56
5,500.0,64
5,2558.0,1
5,3050.0,1
5,3108.0,11
5,3484.0,17
5,3542.0,1
5,84.0,1
5,92.0,1
5,2666.0,1
5,2476.0,5
5,3792.0,5
5,3876.0,5
5,400.0,5
5,1134.0,10
5,2016.0,12
5,258.0,5
5,3834.0,30
5,166.0,20
5,834.0,20
5,1166.0,20
5,1500.0,68
5,2000.0,70
5,1000.0,44
5,3150.0,10
5,3166.0,10
5,1434.0,4
5,2492.0,6
5,2992.0,4
5,3492.0,4
5,3992.0,22
5,492.0,22
5,1492.0,6
5,1992.0,4
5,992.0,4
5,2750.0,8
5,3476.0,4
5,1526.0,4
5,1984.0,2
5,2516.0,4
5,3084.0,4
5,3976.0,2
5,42.0,2
5,1350.0,2
5,476.0,2
5,508.0,2
5,1050.0,4
5,3642.0,2
5,984.0,2
5,1450.0,2
5,1966.0,4
5,2300.0,2
5,2466.0,2
5,3276.0,2
5,3526.0,2
5,316.0,2
5,458.0,2
5,908.0,2
5,976.0,2
5,1408.0,2
5,1476.0,2
5,3716.0,2
6,2500.0,48
6,3950.0,16
6,0.0,64
6,500.0,48
6,3958.0,8
6,3992.0,8
7,2608.0,1
7,2708.0,1
7,2816.0,1
7,2826.0,1
7,2976.0,2
