X,Y,Total_de_notas
3,0.0,37
3,498.0,36
3,500.0,36
3,998.0,36
3,1000.0,36
3,1248.0,36
3,1250.0,36
3,1748.0,36
3,1750.0,36
3,2248.0,36
3,2250.0,36
3,2748.0,36
3,2750.0,36
3,2998.0,36
3,3000.0,36
3,3498.0,36
3,3500.0,36
3,3998.0,37
3,1998.0,35
3,2000.0,35
4,0.0,39
4,998.0,38
4,1000.0,38
4,1998.0,38
4,498.0,37
4,500.0,37
4,748.0,37
4,750.0,37
4,1498.0,37
4,1500.0,37
4,1748.0,37
4,1750.0,37
4,2000.0,37
4,2498.0,37
4,2500.0,37
4,2748.0,37
4,2750.0,37
4,2998.0,37
4,3000.0,37
4,3498.0,37
4,3500.0,37
4,3748.0,37
4,3750.0,37
4,3998.0,38
5,0.0,36
5,248.0,35
5,750.0,35
5,998.0,35
5,1000.0,35
5,1248.0,35
5,2250.0,35
5,2498.0,35
5,3250.0,35
5,3498.0,35
5,3998.0,1
11,2000.0,30
11,2248.0,18
11,2250.0,18
11,2748.0,20
11,2750.0,12
11,2998.0,20
11,3000.0,12
11,3248.0,12
11,3250.0,14
11,3748.0,12
11,3750.0,12
11,3998.0,12
11,0.0,12
11,998.0,18
11,1000.0,14
11,1498.0,14
11,1500.0,14
11,1998.0,26
11,3498.0,4
11,3500.0,4
11,1250.0,6
11,1748.0,8
11,1750.0,12
11,748.0,4
11,750.0,12
11,1248.0,2
11,248.0,4
11,250.0,4
11,498.0,2
12,2000.0,119
12,2498.0,96
12,2500.0,128
12,2748.0,56
12,3000.0,26
12,3248.0,96
12,3250.0,128
12,3498.0,58
12,3750.0,112
12,3998.0,63
12,0.0,47
12,248.0,21
12,250.0,48
12,498.0,112
12,750.0,112
12,998.0,112
12,1000.0,80
12,1498.0,24
12,1500.0,48
12,1748.0,48
12,3748.0,90
12,1248.0,64
12,1250.0,64
12,1998.0,64
13,0.0,49
13,248.0,42
13,250.0,21
13,498.0,24
13,500.0,27
13,748.0,27
13,750.0,42
13,998.0,44
13,1000.0,46
13,1248.0,42
13,1250.0,42
13,1498.0,42
13,1500.0,21
13,1748.0,21
13,1750.0,57
13,1998.0,59
13,2000.0,51
13,2248.0,46
13,2250.0,20
13,2498.0,21
13,2500.0,41
13,2748.0,41
13,2750.0,41
13,2998.0,42
13,3000.0,46
13,3248.0,41
13,3250.0,27
13,3498.0,33
13,3500.0,41
13,3748.0,35
13,3750.0,47
13,3998.0,53
13,332.0,4
13,334.0,4
13,664.0,4
13,666.0,2
13,832.0,2
13,834.0,2
13,1332.0,4
13,1334.0,4
13,1664.0,4
13,1666.0,2
13,1832.0,2
13,1834.0,2
13,2332.0,4
13,2334.0,4
13,2664.0,4
13,2666.0,2
13,2832.0,2
13,2834.0,2
13,2124.0,1
13,2126.0,1
13,2374.0,1
13,2376.0,1
13,2874.0,1
13,2876.0,1
13,3124.0,1
13,3126.0,1
13,3874.0,1
13,3876.0,1
