X,Y,Total_de_notas
2,8.0,74
2,258.0,48
2,758.0,43
2,1008.0,39
2,1108.0,14
2,1508.0,48
2,1542.0,14
2,2008.0,68
2,2042.0,28
2,2058.0,14
2,2100.0,14
2,2258.0,43
2,2758.0,43
2,3508.0,43
2,3542.0,24
2,26.0,14
2,42.0,14
2,58.0,14
2,1700.0,14
2,2050.0,19
2,2076.0,14
2,3550.0,14
2,3734.0,19
2,3776.0,14
2,3976.0,19
2,1142.0,5
2,1576.0,10
2,1800.0,5
2,1826.0,5
2,1850.0,5
2,1958.0,5
2,3008.0,15
2,3092.0,5
2,3608.0,10
2,3692.0,5
2,3984.0,5
2,1092.0,10
2,1566.0,5
2,1584.0,10
2,1634.0,5
2,1684.0,5
2,3100.0,5
2,3650.0,5
2,3658.0,5
2,3708.0,5
2,3934.0,5
2,1100.0,5
2,1858.0,5
2,1908.0,5
2,1966.0,5
2,1976.0,5
2,3116.0,5
2,3584.0,5
2,134.0,5
2,1226.0,5
2,3616.0,5
2,3626.0,5
2,3716.0,5
2,3016.0,1
4,8.0,49
4,258.0,28
4,758.0,48
4,1008.0,54
4,1066.0,14
4,1508.0,38
4,1626.0,14
4,2008.0,48
4,2134.0,14
4,2208.0,14
4,2258.0,42
4,2358.0,14
4,2758.0,43
4,3508.0,52
4,3550.0,24
4,92.0,14
4,276.0,28
4,1642.0,14
4,2108.0,14
4,2366.0,14
4,3916.0,14
4,3966.0,19
4,3992.0,14
4,1050.0,5
4,1592.0,5
4,1976.0,5
4,2508.0,5
4,2676.0,5
4,3008.0,30
4,3116.0,5
4,608.0,5
4,684.0,5
4,1126.0,5
4,1576.0,5
4,2034.0,5
4,2384.0,5
4,2526.0,5
4,3134.0,5
4,3984.0,5
4,492.0,5
4,692.0,5
4,1142.0,5
4,2076.0,5
4,2692.0,5
4,2734.0,5
4,3092.0,5
4,108.0,5
4,384.0,5
4,716.0,5
4,1026.0,5
4,2050.0,5
4,3534.0,5
4,3634.0,5
4,3784.0,5
4,3034.0,1
