X,Y,Total_de_notas
2,0.0,12
2,2000.0,8
2,2010.0,2
3,2250.0,2
3,2750.0,2
3,3000.0,81
3,1500.0,80
3,0.0,5
3,1000.0,79
3,3500.0,77
3,2000.0,4
3,2500.0,4
3,750.0,2
4,292.0,3
4,708.0,4
4,718.0,8
4,1020.0,4
4,1438.0,2
4,1760.0,4
4,2240.0,6
4,2646.0,2
4,2968.0,5
4,2980.0,2
4,3468.0,10
4,324.0,3
4,1010.0,7
4,1312.0,2
4,1730.0,4
4,2230.0,5
4,2678.0,3
4,2990.0,6
4,3458.0,5
4,428.0,2
4,240.0,5
4,698.0,6
4,968.0,4
4,980.0,4
4,1448.0,1
4,1458.0,7
4,2718.0,5
4,3042.0,4
4,3052.0,2
4,3510.0,10
4,3520.0,7
4,2020.0,3
4,2510.0,7
4,3000.0,7
4,3010.0,5
4,3480.0,10
4,1406.0,1
4,1562.0,1
4,1678.0,1
4,1770.0,3
4,1876.0,1
4,1948.0,2
4,2074.0,1
4,2178.0,1
4,2396.0,2
4,2562.0,1
4,3448.0,8
4,3552.0,2
4,3688.0,3
4,3782.0,5
4,3864.0,2
4,3928.0,2
4,20.0,2
4,188.0,2
4,250.0,5
4,312.0,3
4,520.0,1
4,2782.0,1
4,2906.0,2
4,3386.0,2
4,3532.0,1
4,3656.0,2
4,3760.0,1
4,3876.0,1
4,230.0,5
4,2344.0,1
4,2480.0,3
4,2604.0,1
4,2708.0,2
4,2824.0,2
4,3364.0,2
4,3626.0,2
4,3708.0,1
4,3938.0,2
4,136.0,1
4,2864.0,2
4,3406.0,1
4,3666.0,1
4,3770.0,1
4,52.0,2
4,208.0,2
4,2730.0,4
4,2916.0,1
4,3500.0,9
4,2552.0,1
4,2740.0,3
4,2876.0,1
4,3020.0,9
4,3136.0,1
4,3282.0,1
4,3958.0,1
4,74.0,1
4,302.0,4
4,480.0,1
4,678.0,3
4,688.0,3
4,1292.0,4
4,1698.0,1
4,1708.0,3
4,2198.0,1
4,2626.0,1
4,2948.0,3
4,1282.0,2
4,1718.0,2
4,2688.0,2
4,1490.0,4
4,1500.0,1
4,2218.0,2
4,990.0,6
4,2698.0,3
4,2032.0,5
4,3490.0,12
4,3438.0,1
4,3574.0,4
4,3730.0,1
4,3824.0,2
4,3990.0,1
4,146.0,2
4,260.0,1
4,490.0,1
4,574.0,1
4,656.0,1
4,740.0,3
4,812.0,1
4,928.0,1
4,2490.0,3
4,3334.0,1
4,3802.0,1
4,0.0,1
4,2760.0,2
4,510.0,1
4,2354.0,1
4,2636.0,2
4,2896.0,2
4,3354.0,3
4,3604.0,1
4,3844.0,3
4,10.0,1
4,3032.0,3
4,3718.0,2
4,3886.0,1
4,3968.0,1
4,3428.0,1
4,3698.0,2
4,3948.0,3
4,104.0,1
4,1510.0,1
4,1520.0,3
4,2292.0,2
4,2750.0,4
4,282.0,3
4,1000.0,2
4,1480.0,8
4,2282.0,4
4,1334.0,4
4,2666.0,1
4,2958.0,5
4,2208.0,1
4,948.0,4
4,3636.0,1
4,32.0,3
4,94.0,2
4,344.0,1
4,2532.0,2
4,1386.0,2
4,3396.0,1
4,2250.0,1
4,1324.0,3
4,2010.0,3
4,1468.0,4
4,2000.0,1
4,1552.0,1
4,2042.0,1
4,2468.0,1
4,2500.0,1
4,2406.0,2
4,1574.0,1
4,1656.0,1
4,1812.0,1
4,1906.0,1
4,1968.0,1
4,2136.0,1
4,2302.0,1
4,114.0,1
4,354.0,2
4,438.0,1
4,2854.0,1
4,3542.0,1
4,3750.0,1
4,3906.0,1
4,84.0,1
4,178.0,1
4,2792.0,1
4,3562.0,1
4,760.0,1
4,1084.0,1
4,2146.0,1
4,2520.0,1
4,1062.0,1
4,2270.0,2
4,2312.0,2
5,750.0,223
5,1000.0,200
5,1500.0,201
5,2000.0,109
5,2250.0,143
5,2500.0,105
5,2750.0,147
5,3000.0,217
5,3250.0,21
5,3500.0,212
5,250.0,213
5,0.0,83
5,1250.0,42
5,1750.0,43
5,3750.0,16
5,500.0,8
6,0.0,206
6,1000.0,457
6,2000.0,230
6,3000.0,415
6,500.0,287
6,1500.0,613
6,2500.0,390
6,3500.0,464
6,250.0,338
6,750.0,426
6,1250.0,198
6,1750.0,189
6,2250.0,393
6,2750.0,259
6,3250.0,268
6,3750.0,231
6,718.0,9
6,760.0,9
6,1448.0,9
6,1458.0,9
6,1968.0,9
6,2708.0,9
6,2730.0,9
6,3458.0,9
6,3468.0,9
6,3968.0,9
