X,Y,Total_de_notas
2,4000.0,169
2,4498.0,140
2,0.0,181
2,248.0,124
2,500.0,204
2,998.0,118
2,1000.0,185
2,1248.0,154
2,1500.0,186
2,1998.0,162
2,2000.0,152
2,2248.0,124
2,2500.0,218
2,2998.0,128
2,3000.0,185
2,3498.0,110
2,3500.0,222
2,3748.0,162
2,498.0,59
2,748.0,93
2,1498.0,48
2,2498.0,56
2,2748.0,95
2,3248.0,94
2,4248.0,53
2,1748.0,25
2,4374.0,4
2,250.0,37
2,624.0,30
2,1750.0,54
2,2124.0,30
2,4164.0,4
2,4334.0,4
2,166.0,4
2,332.0,4
2,664.0,4
2,834.0,4
2,1166.0,4
2,1332.0,4
2,1664.0,8
2,1834.0,8
2,2166.0,12
2,2332.0,8
2,3998.0,66
2,3750.0,44
2,1250.0,11
2,2874.0,10
2,3250.0,27
2,750.0,12
2,2624.0,35
2,2626.0,2
2,2750.0,17
2,2876.0,2
2,3124.0,4
2,3126.0,1
2,3374.0,4
2,3376.0,1
2,3874.0,12
2,4250.0,22
2,2250.0,44
2,1874.0,8
2,1374.0,6
2,874.0,4
2,2832.0,9
2,3496.0,4
2,4246.0,4
2,4496.0,4
2,246.0,4
2,1996.0,4
2,1618.0,2
2,1620.0,1
2,2496.0,1
2,3414.0,1
2,3416.0,1
2,3582.0,1
2,3584.0,1
2,3914.0,1
2,3916.0,1
2,4082.0,1
2,4084.0,1
2,4118.0,1
2,4120.0,1
2,496.0,1
2,1376.0,1
2,1624.0,1
2,1626.0,1
2,616.0,1
2,618.0,1
2,1246.0,1
2,1616.0,1
2,2246.0,1
2,2834.0,5
2,3164.0,1
2,3166.0,5
2,2118.0,1
2,2120.0,1
2,2996.0,1
2,4124.0,30
2,2664.0,4
2,3332.0,4
2,3664.0,4
2,3834.0,4
2,4166.0,4
2,4332.0,4
2,164.0,4
2,334.0,4
2,666.0,4
2,832.0,4
3,4000.0,174
3,4498.0,126
3,500.0,154
3,998.0,145
3,1500.0,185
3,1998.0,199
3,2500.0,223
3,3498.0,127
3,498.0,70
3,1000.0,108
3,1498.0,30
3,2498.0,32
3,2748.0,38
3,3000.0,74
3,3248.0,37
3,3500.0,111
3,3748.0,46
3,0.0,103
3,248.0,43
3,1248.0,45
3,2000.0,34
3,2248.0,20
3,2998.0,88
3,748.0,35
3,4374.0,19
3,250.0,26
3,624.0,18
3,1374.0,21
3,1750.0,37
3,2124.0,18
3,4248.0,18
3,1748.0,6
3,4164.0,2
3,4334.0,2
3,166.0,2
3,332.0,2
3,664.0,2
3,834.0,2
3,1166.0,2
3,1332.0,2
3,1664.0,4
3,1834.0,4
3,2166.0,3
3,2332.0,3
3,2664.0,6
3,2834.0,6
3,3166.0,6
3,3332.0,6
3,134.0,1
3,136.0,4
3,564.0,4
3,1874.0,24
3,4134.0,2
3,4136.0,7
3,64.0,7
3,1634.0,1
3,1636.0,3
3,2064.0,3
3,3998.0,74
3,3250.0,9
3,634.0,1
3,636.0,4
3,996.0,6
3,2750.0,11
3,2874.0,4
3,2876.0,4
3,1632.0,1
3,1764.0,1
3,1898.0,1
3,2246.0,6
3,2250.0,34
3,750.0,8
3,874.0,3
3,876.0,3
3,3134.0,1
3,3136.0,4
3,3564.0,4
3,4250.0,11
3,4376.0,3
3,1876.0,7
3,3750.0,29
3,3874.0,6
3,3876.0,7
3,1250.0,11
3,2746.0,4
3,1246.0,3
3,2374.0,5
3,2162.0,2
3,2164.0,1
3,2830.0,1
3,3496.0,2
3,4244.0,2
3,4246.0,1
3,4494.0,1
3,4496.0,4
3,244.0,2
3,496.0,2
3,1744.0,2
3,4306.0,1
3,4364.0,1
3,806.0,1
3,864.0,1
3,2634.0,1
3,2636.0,3
3,2996.0,3
3,2624.0,18
3,3374.0,18
3,4124.0,18
3,3664.0,2
3,3834.0,2
3,4166.0,1
3,4332.0,1
3,164.0,1
3,334.0,1
3,666.0,1
3,832.0,1
4,4000.0,41
4,4498.0,39
4,0.0,32
4,248.0,22
4,500.0,39
4,998.0,34
4,1000.0,35
4,1248.0,18
4,1500.0,39
4,1998.0,37
4,2000.0,33
4,2248.0,28
4,2500.0,39
4,2998.0,29
4,3000.0,39
4,3498.0,31
4,3500.0,39
4,3748.0,33
4,498.0,15
4,748.0,7
4,1498.0,14
4,2748.0,10
4,3248.0,8
4,2498.0,9
4,2832.0,1
4,2834.0,1
4,3164.0,1
4,3166.0,1
4,250.0,4
4,832.0,2
4,834.0,2
4,1164.0,2
4,1166.0,2
4,1332.0,4
4,1748.0,1
4,3832.0,1
4,3834.0,1
4,4164.0,1
4,4166.0,1
4,1334.0,3
4,1664.0,3
4,1666.0,3
4,1832.0,1
4,3332.0,3
4,3334.0,3
4,3664.0,3
4,3666.0,3
4,3998.0,5
4,3750.0,1
4,4248.0,2
4,4250.0,2
4,2750.0,1
4,374.0,1
4,376.0,1
4,2250.0,2
4,2374.0,1
4,2376.0,1
4,750.0,1
4,874.0,1
4,876.0,1
4,134.0,1
4,136.0,1
4,996.0,1
4,2134.0,1
4,2136.0,1
4,2996.0,1
4,3134.0,1
4,3136.0,1
4,3996.0,1
5,2500.0,122
5,3998.0,89
5,2998.0,88
5,3000.0,99
5,3498.0,94
5,3500.0,105
5,4000.0,108
5,498.0,89
5,998.0,74
5,1000.0,86
5,2498.0,118
5,500.0,97
5,1498.0,95
5,1500.0,116
5,4498.0,65
5,0.0,65
5,748.0,22
5,750.0,11
5,1998.0,29
5,2000.0,39
5,2748.0,22
5,2750.0,11
5,248.0,22
5,250.0,11
5,2248.0,20
5,2250.0,10
5,4248.0,20
5,4250.0,10
5,1748.0,22
5,1750.0,11
5,3748.0,22
5,3750.0,11
5,1248.0,22
5,1250.0,11
5,3248.0,20
5,3250.0,10
6,4000.0,87
6,498.0,70
6,500.0,66
6,1498.0,76
6,1500.0,91
6,2498.0,106
6,2500.0,93
6,3998.0,74
6,998.0,45
6,1000.0,46
6,3500.0,41
6,4248.0,1
6,4250.0,1
6,4498.0,47
6,0.0,36
6,1998.0,23
6,2000.0,22
6,2998.0,28
6,3000.0,28
6,3498.0,41
6,1748.0,1
6,1750.0,1
6,2248.0,1
6,2250.0,1
6,748.0,1
6,750.0,1
6,248.0,1
6,250.0,1
6,3248.0,1
6,3250.0,1
