X,Y,Total_de_notas
2,0,22
2,16,20
2,32,22
2,48,19
2,56,7
2,40,8
2,24,2
3,2,11
3,8,10
3,12,12
3,18,21
3,20,17
3,22,7
3,26,18
3,28,26
3,30,4
3,32,24
3,34,15
3,36,24
3,38,2
3,42,29
3,44,9
3,46,12
3,50,18
3,54,8
3,56,20
3,58,23
3,60,26
3,0,27
3,4,27
3,10,26
3,16,12
3,48,16
3,52,20
3,24,19
3,14,7
3,40,6
3,62,3
3,6,1
4,0,55
4,2,7
4,4,7
4,6,7
4,10,20
4,16,45
4,32,63
4,34,4
4,36,4
4,38,12
4,50,15
4,52,15
4,42,12
4,48,35
4,54,7
4,58,37
4,26,25
4,28,1
4,29,1
4,30,1
4,18,14
4,20,14
4,22,6
4,24,4
4,60,1
4,61,1
4,62,1
4,56,4
4,40,12
5,0,5
5,8,10
5,16,8
5,26,19
5,30,19
5,40,5
5,48,10
5,58,14
5,62,14
5,34,8
5,38,9
5,43,1
5,45,1
5,52,6
5,54,10
5,6,11
5,20,7
5,22,11
5,42,7
5,46,8
5,44,4
5,14,6
5,50,4
5,2,8
5,10,5
5,18,3
5,12,3
6,0,5
6,8,10
6,16,8
6,26,19
6,30,19
6,40,5
6,48,10
6,58,14
6,62,14
6,34,8
6,38,9
6,43,1
6,45,1
6,52,6
6,54,10
6,6,11
6,20,7
6,22,11
6,42,7
6,46,8
6,44,4
6,14,6
6,50,4
6,2,8
6,10,5
6,18,3
6,12,3
7,0,19
7,6,19
7,8,18
7,14,19
7,16,18
7,22,19
7,24,20
7,30,19
7,32,19
7,38,19
7,46,19
7,48,19
7,54,19
7,56,20
7,60,4
7,40,17
7,62,15
7,26,1
7,28,1
7,44,1
7,36,1
8,0,81
8,2,49
8,4,52
8,6,93
8,8,60
8,10,39
8,12,74
8,14,60
8,16,75
8,18,51
8,20,57
8,22,63
8,24,58
8,26,57
8,28,50
8,30,59
8,32,82
8,34,49
8,36,52
8,38,92
8,40,62
8,42,40
8,44,83
8,46,62
8,48,71
8,50,47
8,52,54
8,54,61
8,56,57
8,58,55
8,60,44
8,62,58
8,37,2
8,5,2
8,55,1
