X,Y,Total_de_notas
2,0,17
2,2,31
2,14,24
2,15,20
2,17,20
2,18,32
2,30,20
2,12,8
2,5,8
2,6,12
2,9,8
2,10,12
2,16,8
2,21,8
2,22,12
2,25,8
2,26,10
2,28,8
2,8,4
3,2,70
3,6,16
3,10,56
3,13,30
3,14,40
3,18,60
3,22,24
3,26,48
3,27,20
3,28,8
3,31,32
3,1,22
3,17,26
3,21,40
3,25,10
3,3,20
3,4,10
3,5,10
3,11,16
3,16,24
3,19,32
3,20,10
3,30,18
3,0,16
3,9,18
3,29,20
3,24,4
3,7,22
3,23,2
4,2,66
4,6,16
4,10,58
4,13,30
4,14,34
4,18,36
4,22,40
4,26,76
4,27,50
4,28,24
4,31,28
4,9,32
4,17,22
4,21,32
4,25,12
4,3,20
4,4,10
4,5,10
4,11,24
4,16,16
4,19,30
4,20,10
4,30,12
4,0,6
4,1,24
4,29,34
4,24,16
4,7,18
4,8,2
4,23,8
5,2,32
5,4,28
5,6,32
5,8,32
5,10,32
5,11,20
5,14,32
5,16,32
5,18,32
5,20,32
5,22,32
5,24,32
5,26,32
5,28,32
5,30,32
5,0,32
5,7,4
5,12,24
5,3,12
5,19,8
5,9,8
5,15,4
5,13,4
5,27,4
5,23,4
5,31,4
6,2,78
6,4,76
6,5,34
6,6,80
6,8,86
6,9,38
6,10,82
6,12,82
6,13,38
6,14,86
6,16,84
6,17,34
6,18,84
6,19,8
6,20,84
6,21,38
6,22,84
6,24,86
6,25,42
6,26,94
6,28,94
6,29,60
6,30,90
6,0,92
6,1,76
6,23,10
6,27,28
6,31,38
6,11,4
6,15,12
6,7,2
