X,Y,Total_de_notas
2,0,92
2,2,105
2,3,83
2,4,90
2,5,51
2,6,58
2,8,62
2,12,59
2,13,46
2,14,67
2,15,43
2,16,99
2,17,57
2,18,97
2,19,74
2,20,100
2,21,38
2,22,58
2,24,55
2,28,54
2,32,84
2,34,77
2,35,60
2,36,73
2,37,36
2,38,56
2,40,62
2,42,52
2,43,42
2,44,52
2,45,48
2,47,60
2,48,91
2,49,57
2,50,84
2,52,81
2,53,63
2,54,65
2,55,48
2,56,69
2,1,79
2,7,41
2,9,53
2,10,84
2,23,37
2,26,46
2,29,39
2,30,43
2,33,57
2,39,38
2,41,39
2,46,55
2,51,62
2,60,76
2,61,66
2,62,79
2,58,74
2,63,58
2,11,50
2,31,39
2,57,50
2,59,57
2,27,30
2,25,26
3,16,50
3,17,37
3,18,38
3,19,36
3,20,50
3,22,50
3,24,50
3,26,50
3,28,50
3,32,50
3,33,37
3,34,38
3,35,36
3,36,50
3,38,50
3,40,50
3,42,50
3,44,50
3,46,38
3,48,50
3,49,38
3,50,38
3,51,37
3,52,50
3,54,50
3,56,51
3,58,50
3,60,50
3,0,49
3,1,35
3,2,37
3,3,36
3,4,49
3,6,48
3,8,49
3,10,49
3,12,49
3,14,36
3,9,21
3,25,31
3,30,25
3,41,20
3,57,28
3,62,23
3,7,17
3,43,15
3,59,26
3,11,16
3,27,28
3,23,16
3,39,15
3,55,15
3,13,13
3,29,25
3,15,10
3,31,11
3,45,12
3,47,11
3,61,23
3,63,13
3,37,2
3,53,1
