X,Y,Total_de_notas
2,54,24
2,56,35
2,57,7
2,58,25
2,60,20
2,62,31
2,0,16
2,4,19
2,8,35
2,12,17
2,14,31
2,18,11
2,22,25
2,24,35
2,25,4
2,26,14
2,28,14
2,30,27
2,32,18
2,36,16
2,40,26
2,44,17
2,46,29
2,50,18
2,3,4
2,6,21
2,16,23
2,19,13
2,34,10
2,38,18
2,42,11
2,52,18
2,59,6
2,9,6
2,10,16
2,20,12
2,41,2
2,48,16
2,2,14
2,35,8
2,11,6
2,47,2
2,49,2
2,51,8
2,53,6
2,61,8
2,63,6
2,5,4
2,7,2
2,27,6
2,55,4
2,1,4
2,21,2
2,23,2
2,29,4
2,31,4
2,13,2
2,15,2
2,33,1
2,39,1
2,45,2
3,2,14
3,4,16
3,6,24
3,8,32
3,10,17
3,16,19
3,18,12
3,20,16
3,22,23
3,24,29
3,26,15
3,28,20
3,30,30
3,32,23
3,34,10
3,36,17
3,38,18
3,40,23
3,42,11
3,48,12
3,50,13
3,52,17
3,54,19
3,56,26
3,58,17
3,60,18
3,62,25
3,0,13
3,3,6
3,14,26
3,39,4
3,41,5
3,45,6
3,57,2
3,12,14
3,25,1
3,44,13
3,46,18
3,19,6
3,59,2
3,35,6
3,11,4
3,9,2
3,51,2
3,27,4
3,61,2
4,0,32
4,4,26
4,8,45
4,12,24
4,14,44
4,18,25
4,22,42
4,24,51
4,25,5
4,26,30
4,28,26
4,30,46
4,32,27
4,36,31
4,40,48
4,44,24
4,46,46
4,50,31
4,54,40
4,56,49
4,57,5
4,58,32
4,60,30
4,62,44
4,3,8
4,6,34
4,16,26
4,19,10
4,34,20
4,38,36
4,42,32
4,52,20
4,59,6
4,63,6
4,10,24
4,2,16
4,20,14
4,48,14
4,41,2
4,9,1
4,35,4
4,11,2
4,15,2
4,51,2
4,27,2
4,31,2
5,0,34
5,4,20
5,6,24
5,8,24
5,10,24
5,14,42
5,18,33
5,22,26
5,24,26
5,26,26
5,28,24
5,30,42
5,32,37
5,36,21
5,38,26
5,40,26
5,42,26
5,46,42
5,50,31
5,54,24
5,56,24
5,58,24
5,60,28
5,62,44
5,44,22
5,16,20
5,12,16
5,2,14
5,34,14
5,48,18
5,20,6
5,52,6
6,4,24
6,6,24
6,12,22
6,14,22
6,20,24
6,22,24
6,28,23
6,30,23
6,36,24
6,38,23
6,44,23
6,46,23
6,52,23
6,54,23
6,60,22
6,62,22
6,32,1
