X,Y,Total_de_notas
2,6,20
2,8,27
2,12,29
2,16,28
2,22,28
2,24,28
2,26,24
2,28,28
2,30,24
2,32,28
2,38,28
2,40,26
2,42,22
2,44,28
2,46,22
2,48,28
2,49,4
2,51,4
2,52,18
2,53,4
2,55,4
2,56,28
2,58,28
2,60,28
2,62,28
2,0,28
2,34,10
2,36,12
2,50,12
2,54,24
2,10,7
2,14,10
2,20,6
2,4,9
2,18,4
2,2,4
3,6,20
3,8,27
3,12,29
3,16,28
3,22,28
3,24,28
3,26,24
3,28,28
3,30,24
3,32,28
3,38,28
3,40,26
3,42,22
3,44,28
3,46,22
3,48,28
3,49,4
3,51,4
3,52,18
3,53,4
3,55,4
3,56,28
3,58,28
3,60,28
3,62,28
3,0,28
3,34,10
3,36,12
3,50,12
3,54,24
3,10,7
3,14,10
3,20,6
3,4,9
3,18,4
3,2,4
4,6,20
4,8,27
4,12,29
4,16,28
4,22,28
4,24,28
4,26,24
4,28,28
4,30,24
4,32,28
4,38,28
4,40,26
4,42,22
4,44,28
4,46,22
4,48,28
4,49,4
4,51,4
4,52,18
4,53,4
4,55,4
4,56,28
4,58,28
4,60,28
4,62,28
4,0,28
4,34,10
4,36,12
4,50,12
4,54,24
4,10,7
4,14,10
4,20,6
4,4,9
4,18,4
4,2,4
5,6,20
5,8,27
5,12,29
5,16,28
5,22,28
5,24,28
5,26,24
5,28,28
5,30,24
5,32,28
5,38,28
5,40,26
5,42,22
5,44,28
5,46,22
5,48,28
5,49,4
5,51,4
5,52,18
5,53,4
5,55,4
5,56,28
5,58,28
5,60,28
5,62,28
5,0,28
5,34,10
5,36,12
5,50,12
5,54,24
5,10,7
5,14,10
5,20,6
5,4,9
5,18,4
5,2,4
