X,Y,Total_de_notas
2,1,11
2,4,10
2,6,12
2,9,21
2,10,17
2,11,7
2,13,18
2,14,26
2,15,4
2,16,24
2,17,15
2,18,24
2,19,2
2,21,29
2,22,9
2,23,12
2,25,18
2,27,8
2,28,20
2,29,23
2,30,26
2,0,27
2,2,27
2,5,26
2,8,12
2,24,16
2,26,20
2,12,19
2,7,7
2,20,6
2,31,3
2,3,1
3,0,55
3,1,7
3,2,7
3,3,7
3,5,20
3,8,45
3,16,63
3,17,4
3,18,4
3,19,12
3,25,15
3,26,15
3,21,12
3,24,35
3,27,7
3,29,37
3,13,25
3,14,2
3,15,1
3,9,14
3,10,14
3,11,6
3,12,4
3,30,2
3,31,1
3,28,4
3,20,12
4,0,5
4,4,10
4,8,8
4,13,19
4,15,19
4,20,5
4,24,10
4,29,14
4,31,14
4,17,8
4,19,9
4,21,8
4,23,9
4,26,6
4,27,10
4,3,11
4,10,7
4,11,11
4,22,4
4,7,6
4,25,4
4,1,8
4,5,5
4,9,3
4,6,3
5,0,5
5,4,10
5,8,8
5,13,19
5,15,19
5,20,5
5,24,10
5,29,14
5,31,14
5,17,8
5,19,9
5,21,8
5,23,9
5,26,6
5,27,10
5,3,11
5,10,7
5,11,11
5,22,4
5,7,6
5,25,4
5,1,8
5,5,5
5,9,3
5,6,3
6,0,19
6,3,19
6,4,18
6,7,19
6,8,18
6,11,19
6,12,20
6,15,19
6,16,19
6,19,19
6,23,19
6,24,19
6,27,19
6,28,20
6,30,4
6,20,17
6,31,15
6,13,1
6,14,1
6,22,1
6,18,1
7,0,81
7,1,49
7,2,54
7,3,93
7,4,60
7,5,39
7,6,74
7,7,60
7,8,75
7,9,51
7,10,57
7,11,63
7,12,58
7,13,57
7,14,50
7,15,59
7,16,82
7,17,49
7,18,54
7,19,92
7,20,62
7,21,40
7,22,83
7,23,62
7,24,71
7,25,47
7,26,54
7,27,61
7,28,58
7,29,55
7,30,44
7,31,58
