X,Y,Total_de_notas
2,0.0,61
2,498.0,13
2,500.0,12
2,974.0,11
2,1000.0,53
2,1998.0,6
2,2000.0,59
2,2948.0,15
2,3000.0,52
2,3498.0,12
2,998.0,21
2,1948.0,28
2,2498.0,14
2,474.0,2
2,1170.0,10
2,1174.0,10
2,1996.0,10
2,2998.0,18
2,3948.0,24
2,2848.0,13
2,3170.0,10
2,3174.0,10
2,3996.0,10
2,848.0,12
2,2500.0,10
2,3500.0,2
2,3998.0,5
2,2974.0,8
2,948.0,12
2,1498.0,7
2,2474.0,1
2,1500.0,1
2,1848.0,3
2,3848.0,3
2,1898.0,1
2,3898.0,1
3,2000.0,92
3,2998.0,90
3,3000.0,76
3,3998.0,73
3,1000.0,78
3,1998.0,77
3,0.0,86
3,998.0,81
3,1170.0,4
3,1174.0,5
3,1996.0,5
3,170.0,2
3,174.0,2
3,996.0,2
3,3170.0,4
3,3174.0,5
3,3996.0,5
3,2498.0,13
3,2500.0,13
3,3498.0,10
3,3500.0,10
3,498.0,13
3,500.0,13
3,2170.0,1
3,2174.0,1
3,2996.0,1
3,1498.0,8
3,1500.0,8
4,0.0,99
4,500.0,27
4,1000.0,90
4,2000.0,97
4,3000.0,91
4,2500.0,26
4,3500.0,24
4,1500.0,20
4,3174.0,2
4,1174.0,2
5,2000.0,65
5,2998.0,63
5,3000.0,46
5,3998.0,48
5,1000.0,50
5,1998.0,52
5,0.0,58
5,998.0,56
6,1000.0,28
6,1998.0,26
6,0.0,29
6,998.0,32
6,3000.0,26
6,3998.0,24
6,2000.0,27
6,2998.0,28
7,1000.0,18
7,1998.0,19
7,0.0,24
7,998.0,23
7,3000.0,18
7,3998.0,19
7,2000.0,23
7,2998.0,22
7,498.0,1
7,500.0,1
7,1498.0,1
7,1500.0,1
7,2498.0,1
7,2500.0,1
7,3498.0,1
7,3500.0,1
8,0.0,135
8,498.0,47
8,500.0,37
8,998.0,121
8,1000.0,112
8,1998.0,94
8,2000.0,136
8,2998.0,126
8,3000.0,115
8,3498.0,44
8,2498.0,44
8,1170.0,11
8,1174.0,11
8,1996.0,11
8,3998.0,93
8,3170.0,11
8,3174.0,11
8,3996.0,11
8,2500.0,36
8,3500.0,32
8,1498.0,35
8,1500.0,27
8,248.0,1
8,748.0,1
8,2248.0,1
8,2748.0,1
9,2000.0,121
9,2998.0,111
9,3000.0,93
9,3998.0,92
9,1000.0,104
9,1998.0,104
9,0.0,111
9,998.0,108
9,170.0,4
9,174.0,4
9,996.0,4
9,2498.0,17
9,2500.0,19
9,3498.0,16
9,3500.0,17
9,498.0,16
9,500.0,18
9,2170.0,2
9,2174.0,2
9,2996.0,2
9,1498.0,17
9,1500.0,17
9,248.0,2
9,748.0,2
9,2248.0,2
9,2748.0,3
9,3748.0,2
9,3248.0,1
9,1748.0,1
10,2000.0,83
10,2998.0,80
10,3000.0,67
10,3998.0,69
10,1000.0,76
10,1998.0,74
10,0.0,79
10,998.0,80
10,3248.0,1
10,3500.0,3
10,3748.0,1
10,498.0,5
10,500.0,5
10,1498.0,2
10,1500.0,3
10,2498.0,5
10,2500.0,5
10,1248.0,1
10,1748.0,1
10,3498.0,2
11,1000.0,61
11,0.0,62
11,3000.0,55
11,2000.0,59
11,3500.0,15
11,500.0,15
11,1500.0,15
11,2500.0,15
