X,Y,Total_de_notas
2,0.0,198
2,500.0,164
2,750.0,89
2,1000.0,192
2,1250.0,95
2,1376.0,44
2,1500.0,172
2,2000.0,194
2,2876.0,31
2,3000.0,181
2,3250.0,76
2,3376.0,39
2,3500.0,163
2,3626.0,32
2,3750.0,94
2,4000.0,201
2,4250.0,95
2,4500.0,156
2,4750.0,94
2,4876.0,47
2,250.0,97
2,376.0,61
2,4376.0,38
2,626.0,48
2,1626.0,50
2,1750.0,93
2,2188.0,1
2,2250.0,69
2,2500.0,148
2,1126.0,45
2,1876.0,49
2,2750.0,82
2,4626.0,29
2,126.0,49
2,876.0,42
2,2376.0,48
2,3126.0,26
2,1334.0,19
2,1666.0,14
2,1834.0,17
2,2166.0,12
2,2334.0,17
2,2126.0,34
2,2626.0,31
2,4126.0,34
2,4166.0,10
2,4334.0,24
2,2062.0,1
2,2416.0,6
2,2458.0,1
2,3666.0,16
2,3834.0,23
2,4438.0,2
2,562.0,2
2,688.0,1
2,812.0,2
2,938.0,1
2,3084.0,4
2,3166.0,12
2,3416.0,2
2,3876.0,30
2,334.0,25
2,416.0,2
2,4062.0,1
2,4188.0,2
2,4312.0,3
2,4666.0,17
2,542.0,2
2,666.0,14
2,834.0,13
2,1938.0,1
2,3334.0,15
2,4834.0,13
2,2666.0,18
2,2834.0,15
2,2508.0,1
2,3508.0,1
2,3916.0,1
2,2688.0,4
2,4200.0,2
2,4600.0,2
2,4800.0,2
2,1166.0,14
2,1584.0,5
2,2584.0,2
2,2708.0,1
2,2916.0,4
2,3042.0,1
2,3584.0,1
2,4100.0,1
2,4300.0,1
2,4400.0,1
2,4700.0,1
2,4900.0,1
2,188.0,2
2,312.0,4
2,3062.0,2
2,2200.0,1
2,2400.0,1
2,2600.0,1
2,2800.0,1
2,166.0,6
2,1416.0,5
2,4416.0,6
2,2958.0,1
2,1208.0,1
2,916.0,2
2,1458.0,1
2,1438.0,1
2,3188.0,1
2,200.0,1
2,400.0,1
2,600.0,1
2,800.0,1
2,3688.0,1
2,3938.0,2
2,4812.0,1
2,1812.0,1
2,2812.0,4
2,3438.0,1
2,62.0,1
2,438.0,1
2,1084.0,4
2,4084.0,1
2,1062.0,1
2,4584.0,5
2,196.0,4
2,266.0,4
2,338.0,4
2,408.0,4
2,480.0,4
2,550.0,1
2,620.0,1
2,1916.0,3
2,2562.0,3
2,2938.0,1
3,0.0,160
3,250.0,65
3,500.0,136
3,750.0,64
3,1000.0,159
3,1500.0,129
3,2000.0,159
3,2500.0,136
3,3000.0,159
3,4000.0,159
3,4250.0,66
3,4500.0,133
3,4750.0,68
3,3250.0,66
3,3500.0,136
3,3750.0,70
3,2250.0,66
3,2750.0,69
3,1250.0,59
3,1750.0,67
3,4126.0,1
3,876.0,1
