X,Y,Total_de_notas
2,0.0,22
2,498.0,10
2,500.0,10
2,748.0,23
2,750.0,23
2,1248.0,8
2,1250.0,8
2,1498.0,20
2,1500.0,20
2,1748.0,8
2,1750.0,8
2,1998.0,29
2,250.0,10
2,998.0,25
2,1000.0,25
2,248.0,3
3,0.0,26
3,748.0,20
3,750.0,20
3,1498.0,21
3,1500.0,21
3,1998.0,29
3,250.0,6
3,998.0,26
3,1000.0,26
3,1248.0,4
3,1250.0,4
3,1748.0,4
3,1750.0,4
3,498.0,9
3,500.0,9
3,248.0,3
4,0.0,28
4,748.0,24
4,750.0,24
4,1498.0,28
4,1500.0,28
4,1998.0,28
4,498.0,4
4,500.0,4
4,998.0,16
4,1000.0,16
4,248.0,2
4,250.0,2
5,0.0,28
5,1498.0,26
5,1500.0,26
5,1998.0,28
5,748.0,20
5,750.0,20
5,498.0,4
5,500.0,4
5,998.0,16
5,1000.0,16
5,248.0,4
5,250.0,4
5,1748.0,6
5,1750.0,6
5,1248.0,2
5,1250.0,2
