X,Y,Total_de_notas
2,2500.0,27
2,2974.0,16
2,3000.0,29
2,3474.0,15
2,3500.0,26
2,3974.0,13
2,0.0,22
2,132.0,10
2,264.0,9
2,1996.0,18
2,1998.0,12
2,1000.0,12
2,3848.0,2
2,500.0,4
2,974.0,1
2,1474.0,1
2,1500.0,5
2,1974.0,2
2,2000.0,12
2,2474.0,2
2,1424.0,1
2,1898.0,2
2,448.0,2
2,1948.0,2
2,2898.0,1
2,3948.0,2
2,3798.0,3
2,2998.0,9
2,3498.0,8
2,3998.0,14
2,400.0,2
2,2498.0,7
2,236.0,3
2,250.0,3
2,486.0,3
2,736.0,3
2,750.0,3
2,986.0,3
2,1236.0,3
2,1250.0,3
2,1486.0,3
2,1736.0,3
2,1750.0,3
2,1986.0,3
2,2236.0,3
2,2250.0,3
2,2486.0,3
2,2736.0,3
2,2750.0,3
2,2986.0,3
2,3236.0,3
2,3250.0,3
2,3486.0,3
2,3736.0,3
2,3750.0,3
2,3986.0,3
2,262.0,1
2,3996.0,2
3,0.0,68
3,1898.0,45
3,2000.0,59
3,3898.0,45
3,3798.0,9
3,474.0,14
3,500.0,14
3,974.0,14
3,1000.0,14
3,1474.0,14
3,1500.0,14
3,1974.0,14
3,2474.0,14
3,2500.0,14
3,2974.0,14
3,3000.0,17
3,3474.0,17
3,3500.0,17
3,3974.0,14
3,3774.0,3
4,0.0,39
4,1998.0,20
4,2000.0,15
4,3998.0,38
4,500.0,9
4,998.0,11
4,1000.0,12
4,1498.0,10
4,1500.0,9
4,2498.0,9
4,2500.0,14
4,2998.0,17
4,3000.0,15
4,3498.0,13
4,3500.0,13
4,132.0,1
4,264.0,1
4,1996.0,2
4,498.0,8
4,2248.0,4
4,2250.0,4
4,2748.0,4
4,2750.0,4
4,248.0,3
4,250.0,3
4,748.0,3
4,750.0,3
4,1248.0,3
4,1250.0,3
4,1748.0,3
4,1750.0,3
4,3248.0,3
4,3250.0,3
4,3748.0,3
4,3750.0,3
5,0.0,74
5,1998.0,55
5,2000.0,55
5,3998.0,74
5,498.0,7
5,500.0,7
5,998.0,7
5,1000.0,7
5,1498.0,7
5,1500.0,7
5,2498.0,7
5,2500.0,7
5,2998.0,7
5,3000.0,7
5,3498.0,7
5,3500.0,7
6,0.0,27
6,3998.0,20
6,998.0,8
6,1000.0,8
6,1998.0,26
6,2000.0,26
6,2498.0,8
6,498.0,17
6,500.0,17
6,1498.0,17
6,1500.0,17
6,2248.0,1
6,2250.0,1
6,2500.0,1
6,2748.0,1
6,2750.0,1
6,2998.0,1
6,3000.0,1
