X,Y,Total_de_notas
2,250.0,7
2,1142.0,8
2,5226.0,2
2,6142.0,7
2,4000.0,5
2,4892.0,5
2,2734.0,4
2,3642.0,7
2,1500.0,4
2,2392.0,6
2,234.0,4
2,1134.0,4
2,5234.0,3
2,4026.0,1
2,4900.0,4
2,2758.0,1
2,1484.0,4
2,2408.0,1
2,242.0,3
2,5258.0,3
2,1150.0,2
2,5284.0,1
2,6134.0,4
2,3992.0,4
2,4866.0,1
2,3634.0,2
2,1508.0,2
2,2384.0,4
2,5250.0,4
2,4884.0,6
2,2750.0,4
2,2400.0,3
2,5242.0,4
2,2726.0,2
2,3650.0,3
2,1476.0,2
2,226.0,1
2,1158.0,3
2,6158.0,4
2,3976.0,1
2,6150.0,3
2,258.0,2
2,5276.0,1
2,4008.0,3
2,2742.0,3
2,3658.0,2
2,3984.0,2
2,1492.0,2
3,8.0,16
3,992.0,7
3,1666.0,16
3,2000.0,9
3,2658.0,6
3,2984.0,10
3,3676.0,3
3,3992.0,5
3,4000.0,14
3,4316.0,4
3,4650.0,4
3,5000.0,16
3,5008.0,11
3,5992.0,6
3,426.0,5
3,742.0,4
3,1400.0,2
3,1750.0,17
3,2426.0,3
3,2742.0,7
3,3076.0,8
3,3416.0,7
3,3758.0,16
3,4750.0,7
3,5426.0,12
3,5742.0,8
3,166.0,9
3,492.0,13
3,500.0,20
3,1150.0,4
3,1500.0,16
3,1834.0,7
3,2166.0,10
3,2484.0,11
3,3492.0,6
3,4158.0,10
3,4492.0,8
3,5158.0,7
3,5492.0,14
3,6176.0,4
3,234.0,6
3,566.0,4
3,892.0,2
3,1250.0,17
3,1258.0,13
3,2250.0,8
3,2916.0,8
3,3258.0,3
3,3900.0,4
3,4234.0,9
3,4908.0,3
3,5234.0,7
3,5576.0,3
3,5926.0,3
3,1658.0,15
3,1992.0,6
3,2666.0,5
3,3000.0,19
3,3650.0,1
3,3984.0,7
3,4334.0,10
3,4658.0,8
3,4984.0,10
3,6008.0,3
3,416.0,24
3,734.0,4
3,1416.0,8
3,2408.0,4
3,2758.0,7
3,3408.0,8
3,3750.0,13
3,5758.0,2
3,150.0,6
3,1166.0,7
3,1826.0,6
3,2158.0,6
3,3500.0,9
3,4166.0,16
3,5500.0,17
3,6150.0,4
3,250.0,16
3,584.0,8
3,916.0,7
3,1234.0,9
3,2258.0,2
3,2900.0,9
3,3250.0,10
3,3916.0,9
3,4250.0,18
3,4916.0,9
3,5258.0,8
3,5584.0,7
3,5900.0,8
3,6234.0,9
3,1008.0,2
3,2008.0,3
3,2650.0,5
3,3666.0,5
3,4008.0,5
3,4326.0,6
3,5984.0,4
3,750.0,9
3,1408.0,7
3,1758.0,5
3,2400.0,4
3,2734.0,4
3,3742.0,8
3,4758.0,3
3,5400.0,8
3,1158.0,4
3,1508.0,9
3,1842.0,3
3,2150.0,4
3,2508.0,12
3,5484.0,8
3,6166.0,6
3,242.0,6
3,576.0,7
3,908.0,5
3,1266.0,3
3,2234.0,3
3,3242.0,6
3,5566.0,6
3,5916.0,6
3,0.0,12
3,976.0,2
3,3658.0,10
3,6000.0,8
3,408.0,8
3,1734.0,9
3,2416.0,8
3,2750.0,12
3,3734.0,5
3,4734.0,5
3,5416.0,15
3,5750.0,8
3,1484.0,5
3,2500.0,13
3,4484.0,4
3,5166.0,9
3,592.0,1
3,2908.0,15
3,3908.0,5
3,4242.0,8
3,5250.0,11
3,5592.0,4
3,5908.0,4
3,6242.0,6
3,984.0,2
3,4666.0,7
3,5026.0,1
3,726.0,2
3,3092.0,1
3,4500.0,7
3,2242.0,7
3,2926.0,7
3,5242.0,5
3,1000.0,8
3,2676.0,2
3,1426.0,3
3,3066.0,3
3,3400.0,4
3,4742.0,5
3,1176.0,4
3,5176.0,1
3,6158.0,6
3,258.0,6
3,4926.0,4
3,1676.0,4
3,4676.0,2
3,3084.0,8
3,508.0,4
3,1816.0,4
3,4176.0,5
3,4508.0,2
3,5508.0,5
3,1650.0,6
3,3008.0,5
3,758.0,2
3,158.0,4
3,2492.0,6
3,3508.0,4
3,4150.0,8
3,900.0,4
3,2476.0,2
3,16.0,3
3,2642.0,2
3,2992.0,6
3,1742.0,10
3,5734.0,2
3,1492.0,2
3,176.0,1
3,484.0,6
3,4142.0,2
3,5150.0,4
3,926.0,2
3,3926.0,3
3,4226.0,2
3,4900.0,3
3,3426.0,1
3,5408.0,5
3,1984.0,2
3,5016.0,5
3,5726.0,1
3,3484.0,2
3,1916.0,1
3,2592.0,1
3,3234.0,2
3,4584.0,1
3,1326.0,1
3,3326.0,1
3,2084.0,1
3,826.0,1
3,1516.0,1
3,1584.0,1
3,2516.0,3
3,1226.0,2
3,2016.0,1
3,4258.0,3
3,4992.0,1
3,1242.0,1
3,400.0,2
3,2726.0,1
3,2176.0,1
3,4016.0,1
3,3766.0,2
3,2226.0,1
3,1476.0,1
4,1258.0,6
4,1442.0,5
4,2916.0,8
4,3134.0,5
4,4242.0,5
4,5166.0,4
4,26.0,1
4,216.0,6
4,1650.0,6
4,1876.0,6
4,3000.0,7
4,3900.0,4
4,4984.0,8
4,5216.0,4
4,426.0,2
4,616.0,5
4,1734.0,9
4,2634.0,4
4,3742.0,5
4,3950.0,3
4,5426.0,3
4,5626.0,2
4,508.0,5
4,1366.0,3
4,2484.0,7
4,2692.0,3
4,4166.0,6
4,4376.0,2
4,5500.0,5
4,126.0,1
4,1234.0,7
4,1434.0,5
4,2900.0,7
4,3116.0,5
4,5134.0,2
4,6234.0,3
4,208.0,1
4,1658.0,7
4,1884.0,4
4,2976.0,2
4,3884.0,6
4,5000.0,4
4,5208.0,3
4,416.0,8
4,634.0,5
4,2658.0,4
4,3966.0,4
4,5400.0,7
4,5634.0,6
4,492.0,7
4,1392.0,4
4,2516.0,1
4,2708.0,6
4,4176.0,5
4,4392.0,3
4,5476.0,4
4,142.0,5
4,1242.0,2
4,2926.0,3
4,4266.0,1
4,5116.0,3
4,0.0,8
4,184.0,8
4,1708.0,1
4,3008.0,2
4,3876.0,2
4,5200.0,6
4,392.0,3
4,3750.0,5
4,3984.0,1
4,476.0,3
4,2508.0,4
4,2700.0,4
4,4158.0,4
4,4384.0,8
4,166.0,2
4,1458.0,1
4,5150.0,5
4,6242.0,5
4,1466.0,7
4,1666.0,5
4,2984.0,6
4,4800.0,1
4,434.0,1
4,1750.0,3
4,3534.0,2
4,400.0,3
4,2284.0,1
4,3958.0,3
4,5408.0,6
4,5484.0,3
4,1042.0,1
4,1292.0,1
4,4142.0,3
4,4226.0,3
4,6034.0,1
4,8.0,2
4,1450.0,3
4,2892.0,1
4,2992.0,4
4,4766.0,2
4,500.0,4
4,2300.0,1
4,2726.0,1
4,4366.0,4
4,150.0,1
4,3100.0,1
4,6226.0,2
4,1676.0,4
4,5042.0,1
4,5192.0,1
4,408.0,8
4,1742.0,5
4,2642.0,3
4,3734.0,5
4,3942.0,4
4,1400.0,4
4,2492.0,3
4,2716.0,2
4,158.0,2
4,1250.0,5
4,2908.0,6
4,3126.0,3
4,4250.0,4
4,1892.0,3
4,5184.0,4
4,608.0,3
4,2600.0,1
4,5416.0,7
4,5608.0,4
4,1384.0,2
4,2476.0,2
4,2676.0,1
4,134.0,4
4,5142.0,3
4,3758.0,5
4,3976.0,1
4,5642.0,3
4,484.0,2
4,5508.0,3
4,116.0,3
4,4258.0,3
4,5126.0,3
4,176.0,2
4,1726.0,2
4,1416.0,2
4,5492.0,4
4,4234.0,5
4,192.0,3
4,1866.0,2
4,3866.0,2
4,5008.0,3
4,2626.0,1
4,3934.0,4
4,5600.0,1
4,2500.0,4
4,2684.0,3
4,3892.0,4
4,642.0,1
4,3726.0,1
4,3108.0,3
4,2666.0,2
4,4150.0,4
4,4350.0,1
4,1858.0,1
4,4992.0,3
4,1758.0,2
4,5534.0,1
4,1226.0,1
4,2650.0,1
4,1376.0,2
4,5466.0,1
4,3142.0,1
4,42.0,1
4,226.0,1
4,1642.0,2
4,5176.0,2
4,200.0,1
4,3508.0,1
4,5392.0,1
4,2292.0,2
4,1034.0,1
4,4134.0,1
4,6016.0,1
4,5016.0,2
4,3516.0,1
4,1026.0,1
4,1842.0,1
4,626.0,2
4,1476.0,1
4,3158.0,1
4,1850.0,1
4,600.0,1
4,2616.0,1
4,5158.0,1
4,234.0,1
4,5616.0,1
4,1426.0,1
4,3092.0,1
4,4292.0,1
5,1758.0,2
5,2326.0,1
5,2400.0,8
5,2700.0,11
5,2734.0,3
5,3342.0,1
5,3416.0,3
5,3716.0,1
5,3742.0,6
5,4308.0,1
5,4426.0,4
5,4684.0,1
5,4750.0,1
5,5334.0,1
5,5400.0,3
5,5700.0,3
5,5742.0,3
5,384.0,1
5,492.0,5
5,1066.0,3
5,1158.0,6
5,1450.0,7
5,1500.0,3
5,2392.0,2
5,2508.0,2
5,5176.0,1
5,5484.0,4
5,5792.0,2
5,5842.0,1
5,6116.0,3
5,6150.0,6
5,192.0,2
5,250.0,6
5,1242.0,1
5,3950.0,5
5,4258.0,2
5,4542.0,1
5,4550.0,2
5,4866.0,5
5,4908.0,2
5,5200.0,6
5,5250.0,4
5,6226.0,2
5,2658.0,2
