X,Y,Total_de_notas
2,500.0,15
2,1000.0,8
2,3000.0,35
2,3334.0,3
2,3666.0,3
2,0.0,40
2,334.0,2
2,666.0,2
2,1500.0,5
2,250.0,3
2,750.0,25
2,2000.0,15
2,2500.0,24
2,3750.0,11
2,1250.0,35
2,3500.0,27
2,1750.0,34
2,2126.0,1
2,2250.0,14
2,2376.0,1
2,2626.0,1
2,2750.0,13
2,2876.0,1
2,3126.0,1
2,3250.0,9
2,3376.0,1
2,3626.0,1
2,3876.0,1
2,2124.0,7
2,2374.0,6
2,2624.0,6
2,2874.0,6
2,3124.0,6
2,3374.0,6
2,3624.0,6
2,3874.0,6
2,2248.0,1
2,2370.0,1
2,2496.0,1
2,2618.0,1
2,2744.0,1
2,2866.0,1
2,2992.0,1
2,3114.0,1
2,3240.0,1
2,3362.0,1
2,3488.0,1
2,3610.0,1
2,3736.0,1
2,3858.0,1
2,124.0,1
2,248.0,1
2,370.0,1
2,496.0,1
2,618.0,1
2,744.0,1
2,866.0,1
2,992.0,1
2,1114.0,1
2,1240.0,1
2,1362.0,1
2,1488.0,1
2,1610.0,1
2,1736.0,1
2,1858.0,1
3,2000.0,52
3,2334.0,3
3,2666.0,3
3,3000.0,26
3,3334.0,1
3,3666.0,1
3,0.0,52
3,250.0,12
3,500.0,8
3,750.0,19
3,1000.0,20
3,2500.0,8
3,3750.0,18
3,1250.0,22
3,1500.0,21
3,3500.0,16
3,1750.0,13
3,2250.0,3
3,2750.0,7
3,334.0,2
3,666.0,2
3,3250.0,7
3,124.0,4
3,374.0,3
3,624.0,3
3,874.0,3
3,1124.0,3
3,1374.0,3
3,1624.0,3
3,1874.0,3
3,2124.0,1
3,2248.0,1
3,2370.0,1
3,2496.0,1
3,2618.0,1
3,2744.0,1
3,2866.0,1
3,2992.0,1
3,3114.0,1
3,3240.0,1
3,3362.0,1
3,3488.0,1
3,3610.0,1
3,3736.0,1
3,3858.0,1
3,248.0,1
3,370.0,1
3,496.0,1
3,618.0,1
3,744.0,1
3,866.0,1
3,992.0,1
3,1114.0,1
3,1240.0,1
3,1362.0,1
3,1488.0,1
3,1610.0,1
3,1736.0,1
3,1858.0,1
3,1334.0,1
3,1666.0,1
4,2000.0,59
4,2334.0,3
4,2666.0,3
4,3000.0,23
4,1000.0,9
4,2500.0,9
4,3750.0,11
4,250.0,8
4,750.0,12
4,1250.0,21
4,1500.0,18
4,0.0,54
4,1750.0,10
4,3500.0,16
4,2750.0,3
4,3250.0,1
4,500.0,3
4,2124.0,1
4,2248.0,1
4,2370.0,1
4,2496.0,1
4,2618.0,1
4,2744.0,1
4,2866.0,1
4,2992.0,1
4,3114.0,1
4,3240.0,1
4,3362.0,1
4,3488.0,1
4,3610.0,1
4,3736.0,1
4,3858.0,1
4,124.0,1
4,248.0,1
4,370.0,1
4,496.0,1
4,618.0,1
4,744.0,1
4,866.0,1
4,992.0,1
4,1114.0,1
4,1240.0,1
4,1362.0,1
4,1488.0,1
4,1610.0,1
4,1736.0,1
4,1858.0,1
4,2250.0,1
5,2000.0,59
5,2334.0,3
5,2666.0,3
5,3000.0,20
5,1000.0,10
5,2500.0,8
5,3750.0,9
5,250.0,8
5,750.0,9
5,1250.0,18
5,1500.0,18
5,0.0,54
5,1750.0,5
5,2250.0,3
5,2750.0,3
5,3500.0,15
5,3250.0,1
5,500.0,2
5,2124.0,1
5,2248.0,1
5,2370.0,1
5,2496.0,1
5,2618.0,1
5,2744.0,1
5,2866.0,1
5,2992.0,1
5,3114.0,1
5,3240.0,1
5,3362.0,1
5,3488.0,1
5,3610.0,1
5,3736.0,1
5,3858.0,1
5,124.0,1
5,248.0,1
5,370.0,1
5,496.0,1
5,618.0,1
5,744.0,1
5,866.0,1
5,992.0,1
5,1114.0,1
5,1240.0,1
5,1362.0,1
5,1488.0,1
5,1610.0,1
5,1736.0,1
5,1858.0,1
