X,Y,Total_de_notas
2,0.0,18
2,0.5,8
2,1.0,8
2,1.5,8
2,2.0,7
2,2.5,8
2,3.0,8
2,3.4999999999999996,8
2,3.75,8
2,4.0,8
2,4.249999999999999,6
2,4.5,8
2,4.75,6
2,5.0,8
2,5.249999999999999,8
2,5.5,8
2,5.75,8
2,6.0,8
2,6.249999999999999,8
2,6.5,8
2,6.75,8
2,6.999999999999999,8
2,7.249999999999999,8
2,7.5,8
2,7.75,8
2,8.0,8
2,8.25,7
2,8.499999999999998,8
2,8.749999999999998,8
2,9.0,8
2,9.25,8
2,9.5,8
2,9.75,8
2,10.0,8
2,10.249999999999998,8
2,10.499999999999998,8
2,11.0,8
2,11.5,8
2,11.75,8
2,12.0,8
2,12.499999999999998,8
2,12.75,8
2,13.0,8
2,13.25,8
2,13.5,8
2,13.75,8
2,13.999999999999998,8
2,14.249999999999998,8
2,14.499999999999998,8
2,14.75,8
2,15.0,8
2,15.25,8
2,15.5,8
2,15.75,9
2,0.25,9
2,0.75,6
2,1.25,5
2,1.7499999999999998,7
2,2.25,6
2,2.75,7
2,3.25,5
2,10.75,7
2,11.25,7
2,12.249999999999998,6
3,1.0,7
3,3.0,7
3,5.0,9
3,6.999999999999999,7
3,9.0,8
3,11.0,8
3,13.0,7
3,13.999999999999998,1
3,15.0,8
3,2.25,1
3,6.249999999999999,4
3,10.249999999999998,2
3,13.5,1
3,13.75,6
3,14.249999999999998,6
3,14.499999999999998,3
3,14.75,4
3,15.75,2
3,5.249999999999999,1
3,1.7499999999999998,2
3,5.75,3
3,6.75,2
3,9.75,3
3,15.25,3
3,15.5,3
3,0.75,1
3,2.75,1
3,3.25,1
3,5.5,2
3,6.0,1
3,6.5,1
3,11.5,1
3,7.5,1
3,7.75,1
3,10.75,1
4,0.0,10
4,0.5,6
4,2.0,2
4,2.5,4
4,3.25,7
4,3.4999999999999996,3
4,3.75,2
4,4.249999999999999,1
4,6.0,2
4,6.5,4
4,7.249999999999999,8
4,8.0,6
4,8.499999999999998,7
4,9.75,7
4,10.0,2
4,10.499999999999998,5
4,11.25,7
4,11.5,2
4,11.75,3
4,12.499999999999998,7
4,14.499999999999998,2
4,15.25,7
4,4.0,7
4,4.5,5
4,7.75,5
4,10.75,2
4,12.0,7
4,13.75,7
4,14.249999999999998,5
4,1.7499999999999998,5
4,2.25,4
4,5.75,6
4,6.249999999999999,4
4,6.75,2
4,10.249999999999998,1
4,14.75,3
4,15.75,4
4,0.75,1
4,1.25,1
4,3.0,1
4,4.75,1
4,5.249999999999999,1
4,8.749999999999998,1
4,9.25,1
4,12.75,1
4,13.25,1
4,13.999999999999998,1
5,0.0,6
5,12.499999999999998,8
5,13.25,7
5,13.999999999999998,8
5,14.75,8
5,15.0,7
5,15.25,5
5,15.5,7
5,15.75,7
5,6.249999999999999,4
5,6.5,4
5,6.999999999999999,5
5,7.249999999999999,3
5,7.5,6
5,7.75,1
5,12.0,2
5,12.249999999999998,3
5,13.0,2
5,13.5,3
5,14.249999999999998,3
5,14.499999999999998,4
5,0.25,1
5,2.5,4
5,2.75,1
5,4.0,2
5,4.249999999999999,1
5,6.75,2
5,8.0,3
5,10.499999999999998,3
5,10.75,1
5,11.25,2
5,11.5,3
5,13.75,2
5,2.25,2
5,3.0,2
5,3.25,1
5,6.0,1
5,3.4999999999999996,2
5,12.75,1
5,0.5,1
