X,Y,Total_de_notas
2,500.0,24
2,998.0,26
2,1000.0,28
2,1248.0,45
2,1250.0,45
2,1498.0,46
2,1500.0,46
2,1748.0,46
2,1750.0,46
2,1998.0,35
2,0.0,30
2,498.0,22
2,624.0,2
2,626.0,2
2,748.0,14
2,750.0,14
2,874.0,2
2,876.0,2
2,1124.0,2
2,1126.0,2
2,1374.0,2
2,1376.0,2
2,248.0,11
2,250.0,12
3,500.0,24
3,998.0,26
3,1000.0,28
3,1248.0,45
3,1250.0,45
3,1498.0,46
3,1500.0,46
3,1748.0,46
3,1750.0,46
3,1998.0,37
3,0.0,32
3,498.0,22
3,624.0,2
3,626.0,2
3,748.0,14
3,750.0,14
3,874.0,2
3,876.0,2
3,1124.0,2
3,1126.0,2
3,1374.0,2
3,1376.0,2
3,248.0,11
3,250.0,12
4,500.0,24
4,998.0,26
4,1000.0,28
4,1248.0,45
4,1250.0,45
4,1498.0,46
4,1500.0,46
4,1748.0,46
4,1750.0,46
4,1998.0,37
4,0.0,32
4,498.0,22
4,624.0,2
4,626.0,2
4,748.0,14
4,750.0,14
4,874.0,2
4,876.0,2
4,1124.0,2
4,1126.0,2
4,1374.0,2
4,1376.0,2
4,248.0,11
4,250.0,12
5,500.0,24
5,998.0,26
5,1000.0,28
5,1248.0,45
5,1250.0,45
5,1498.0,46
5,1500.0,46
5,1748.0,46
5,1750.0,46
5,1998.0,37
5,0.0,32
5,498.0,22
5,624.0,2
5,626.0,2
5,748.0,14
5,750.0,14
5,874.0,2
5,876.0,2
5,1124.0,2
5,1126.0,2
5,1374.0,2
5,1376.0,2
5,248.0,11
5,250.0,12
