X,Y,Total_de_notas
2,0.0,427
2,1000.0,79
2,2000.0,125
2,3000.0,100
2,3500.0,19
2,2500.0,2
2,500.0,1
2,1500.0,5
2,750.0,4
2,2250.0,4
3,3500.0,51
3,0.0,114
3,2000.0,98
3,1000.0,50
3,1750.0,40
3,2500.0,88
3,3000.0,52
3,500.0,8
3,1500.0,10
3,750.0,2
3,2250.0,2
4,3834.0,2
4,3916.0,2
4,0.0,627
4,84.0,2
4,2000.0,259
4,1000.0,282
4,1750.0,282
4,2250.0,284
4,2500.0,240
4,3000.0,524
4,3500.0,13
4,500.0,6
4,1500.0,5
4,750.0,2
5,0.0,129
5,2000.0,13
5,3000.0,5
5,3500.0,4
5,250.0,1
5,1000.0,1
5,1250.0,1
5,2250.0,3
5,3250.0,1
5,750.0,2
5,1500.0,2
6,0.0,225
6,500.0,36
6,1000.0,54
6,1500.0,58
6,2000.0,143
6,2500.0,34
6,3000.0,72
6,3500.0,93
6,3834.0,1
6,3916.0,1
6,84.0,1
6,750.0,2
6,2250.0,2
7,3834.0,1
7,3916.0,2
7,0.0,104
7,84.0,1
7,2000.0,12
7,750.0,2
7,1500.0,2
7,2250.0,2
7,3000.0,2
7,3500.0,2
8,0.0,40
8,500.0,14
8,1000.0,16
8,1500.0,22
8,2000.0,14
8,2500.0,21
8,3000.0,14
8,3500.0,14
8,3750.0,1
9,0.0,108
9,250.0,99
9,500.0,56
9,750.0,58
9,1000.0,96
9,1250.0,94
9,1500.0,58
9,1750.0,59
9,2000.0,95
9,2250.0,105
9,2500.0,102
9,2750.0,99
9,3000.0,106
9,3250.0,105
9,3500.0,68
9,3750.0,70
