X,Y,Total_de_notas
2,500.0,10
2,998.0,10
2,1000.0,9
2,1498.0,16
2,1500.0,14
2,1998.0,16
2,2000.0,17
2,2498.0,7
2,2500.0,13
2,3998.0,24
2,2998.0,16
2,3000.0,16
2,3498.0,17
2,3500.0,15
2,0.0,23
2,498.0,10
2,662.0,1
2,664.0,4
2,1328.0,1
2,1332.0,4
2,1994.0,1
2,666.0,3
2,1334.0,3
3,2500.0,18
3,2998.0,14
3,3000.0,13
3,3498.0,23
3,3500.0,23
3,1998.0,26
3,2000.0,23
3,498.0,14
3,500.0,14
3,3998.0,31
3,0.0,31
3,1498.0,17
3,1500.0,14
3,998.0,7
3,1000.0,7
3,2498.0,10
3,662.0,1
3,664.0,4
3,1328.0,1
3,1332.0,4
3,1994.0,1
3,666.0,3
3,1334.0,3
4,2000.0,33
4,3998.0,35
4,0.0,34
4,1998.0,39
4,3498.0,20
4,3500.0,19
4,498.0,13
4,500.0,17
4,998.0,12
4,1000.0,13
4,1498.0,24
4,1500.0,24
4,2498.0,8
4,2500.0,14
4,2998.0,7
4,3000.0,7
4,662.0,1
4,664.0,4
4,1328.0,1
4,1332.0,4
4,1994.0,1
4,666.0,3
4,1334.0,3
5,2000.0,36
5,3998.0,36
5,500.0,5
5,998.0,5
5,1000.0,5
5,1498.0,11
5,1500.0,9
5,3498.0,13
5,3500.0,11
5,1998.0,37
5,2500.0,9
5,2998.0,2
5,3000.0,2
5,498.0,4
5,0.0,33
5,664.0,3
5,666.0,3
5,1332.0,3
5,1334.0,3
5,2498.0,2
