X,Y,Total_de_notas
2,1834.0,1
2,1958.0,1
2,2442.0,1
2,3504.0,107
2,542.0,7
2,2046.0,5
2,2520.0,3
2,3054.0,6
2,3550.0,6
2,30.0,3
2,566.0,13
2,2004.0,107
2,2480.0,3
2,3062.0,5
2,50.0,3
2,584.0,7
2,2026.0,7
2,2512.0,5
2,2970.0,3
2,3492.0,5
2,0.0,3
2,508.0,3
2,626.0,3
2,2020.0,5
2,2466.0,5
2,3480.0,7
2,2000.0,3
2,2458.0,3
2,2958.0,3
2,3508.0,10
2,20.0,3
2,596.0,3
2,1904.0,3
2,2450.0,3
2,2950.0,3
2,3466.0,9
2,3992.0,3
2,492.0,3
2,988.0,3
2,1500.0,7
2,2008.0,3
2,2566.0,3
2,3534.0,5
2,3542.0,3
2,3988.0,3
2,8.0,7
2,550.0,7
2,554.0,7
2,562.0,5
2,1504.0,102
2,1508.0,6
2,2292.0,3
2,2650.0,3
2,2666.0,3
2,2758.0,3
2,1530.0,2
2,1534.0,8
2,2092.0,6
2,2096.0,4
2,3554.0,4
2,1154.0,2
2,2530.0,2
2,3984.0,2
2,196.0,2
2,488.0,4
2,2504.0,20
2,1134.0,2
2,1438.0,2
2,1446.0,2
2,2042.0,4
2,2500.0,2
2,3076.0,2
2,116.0,2
2,484.0,6
2,504.0,22
2,1488.0,2
2,1526.0,6
2,2084.0,2
2,3004.0,34
2,3442.0,6
2,3446.0,8
2,3884.0,2
2,470.0,2
2,480.0,2
2,534.0,2
2,2054.0,4
2,2070.0,2
2,3462.0,12
2,92.0,2
2,512.0,4
2,576.0,2
2,1466.0,4
2,1470.0,2
2,2076.0,4
2,2088.0,2
2,3450.0,6
2,62.0,2
2,1030.0,2
2,1362.0,2
2,1988.0,2
2,2404.0,2
2,2630.0,2
2,2804.0,2
2,3180.0,2
2,70.0,2
2,1420.0,2
2,1584.0,2
2,2116.0,2
2,2138.0,2
2,3026.0,2
2,26.0,2
2,592.0,2
2,1566.0,2
2,2112.0,6
2,1458.0,2
2,1462.0,2
2,1480.0,4
2,2104.0,2
2,3512.0,2
2,588.0,2
2,1492.0,2
2,2030.0,2
2,2062.0,2
2,3458.0,2
2,3470.0,2
2,1096.0,2
2,2012.0,2
2,2526.0,2
2,3030.0,4
2,134.0,2
2,1092.0,2
2,1562.0,2
2,2546.0,4
2,3584.0,2
2,1396.0,2
2,1416.0,2
2,1604.0,2
2,3346.0,2
2,358.0,2
2,770.0,2
2,1088.0,2
2,1366.0,2
2,1676.0,2
2,1950.0,2
2,2388.0,2
2,2658.0,2
2,96.0,2
2,570.0,2
2,734.0,2
2,1212.0,2
2,1596.0,2
2,2508.0,2
2,2926.0,2
2,3926.0,2
2,396.0,2
2,2588.0,2
2,1004.0,38
2,4.0,78
2,3046.0,2
2,3520.0,4
2,3800.0,2
2,188.0,2
2,326.0,2
2,2946.0,2
2,3634.0,2
2,104.0,2
2,884.0,2
2,1208.0,2
2,1542.0,2
2,1862.0,2
2,2146.0,2
2,2720.0,2
2,3020.0,2
2,1034.0,2
2,1484.0,2
2,1970.0,2
2,3904.0,2
2,638.0,2
2,1026.0,2
2,1546.0,2
2,2554.0,2
2,2984.0,2
3,508.0,147
3,2420.0,3
3,2508.0,113
3,3500.0,3
3,3508.0,111
