X,Y,Total_de_notas
2,0.0,41
2,3798.0,7
2,1898.0,17
2,2000.0,26
2,3898.0,13
2,472.0,7
2,500.0,7
2,972.0,7
2,1000.0,16
2,1472.0,9
2,1500.0,13
2,2922.0,4
2,3000.0,18
2,3948.0,15
2,1972.0,5
2,2948.0,12
2,1422.0,4
2,3872.0,4
2,2002.0,1
2,2500.0,3
2,3502.0,1
2,948.0,6
2,1948.0,4
2,3748.0,2
2,2472.0,1
2,2972.0,1
2,3472.0,1
2,3500.0,1
2,3972.0,1
2,2898.0,1
2,2422.0,1
2,3922.0,1
3,0.0,28
3,472.0,7
3,500.0,10
3,736.0,4
3,750.0,4
3,3836.0,4
3,1000.0,31
3,1472.0,26
3,1500.0,30
3,1972.0,17
3,2000.0,26
3,2472.0,8
3,2500.0,8
3,2972.0,8
3,3000.0,22
3,3472.0,14
3,3500.0,18
3,3972.0,13
3,948.0,18
3,3872.0,9
3,2922.0,4
3,3948.0,8
3,3422.0,4
3,1922.0,2
3,3898.0,4
3,1948.0,5
3,2948.0,10
3,448.0,3
3,1448.0,4
3,3772.0,2
3,3798.0,1
3,1898.0,2
4,0.0,43
4,3798.0,7
4,1898.0,23
4,2000.0,26
4,3898.0,20
4,2848.0,3
4,3000.0,14
4,3948.0,12
4,1422.0,5
4,1500.0,7
4,2922.0,4
4,948.0,5
4,1000.0,6
4,3848.0,4
4,2782.0,1
4,3666.0,1
4,2948.0,5
4,1948.0,1
4,2472.0,1
4,2500.0,1
4,2972.0,1
4,3472.0,1
4,3500.0,1
4,3972.0,1
4,1472.0,1
4,1972.0,1
4,3872.0,1
5,0.0,44
5,3798.0,6
5,1898.0,20
5,2000.0,27
5,3898.0,20
5,2848.0,4
5,3000.0,14
5,3948.0,12
5,1422.0,9
5,1500.0,12
5,2922.0,4
5,3872.0,5
5,3002.0,1
5,3500.0,3
5,3972.0,3
5,948.0,3
5,1000.0,6
5,1948.0,3
5,2948.0,4
5,472.0,2
5,500.0,2
5,972.0,2
5,1472.0,3
5,1972.0,3
5,2472.0,2
5,2500.0,2
5,2972.0,2
5,3472.0,2
