X,Y,Total_de_notas
3,0.0,32
3,490.0,9
3,500.0,9
3,740.0,5
3,750.0,5
3,3990.0,38
3,1000.0,27
3,1490.0,27
3,1500.0,27
3,1990.0,21
3,2000.0,21
3,2240.0,7
3,2250.0,7
3,2990.0,24
3,3000.0,14
3,3490.0,14
3,3500.0,22
3,1740.0,4
3,1750.0,4
3,2740.0,4
3,2750.0,4
3,990.0,19
3,2490.0,1
3,2500.0,1
3,1240.0,1
3,1250.0,1
4,0.0,74
4,500.0,111
4,990.0,138
4,1000.0,139
4,1490.0,123
4,1500.0,123
4,1990.0,71
4,2000.0,47
4,2490.0,99
4,2500.0,123
4,2990.0,118
4,3000.0,118
4,3490.0,107
4,3500.0,107
4,3990.0,168
4,490.0,18
5,0.0,44
5,2990.0,16
5,3000.0,14
5,3990.0,42
5,1990.0,26
5,2000.0,26
5,990.0,18
5,1000.0,24
5,1490.0,22
5,1500.0,22
5,3490.0,18
5,3500.0,12
7,0.0,39
7,2990.0,14
7,3000.0,14
7,3990.0,39
7,1990.0,19
7,2000.0,19
7,990.0,9
7,1000.0,9
7,1490.0,4
7,1500.0,4
7,3490.0,1
7,3500.0,1
8,0.0,39
8,2928.0,14
8,3000.0,14
8,3928.0,39
8,1928.0,19
8,2000.0,19
8,928.0,9
8,1000.0,9
8,1428.0,4
8,1500.0,4
8,3428.0,1
8,3500.0,1
