X,Y,Total_de_notas
2,3910.0,4
2,2.0,53
2,10.0,45
2,16.0,1
2,224.0,1
2,3668.0,2
2,3894.0,1
2,3902.0,1
2,6.0,49
2,8.0,32
2,0.0,45
2,3878.0,3
2,3906.0,1
2,3994.0,1
2,3996.0,18
2,3998.0,11
2,3908.0,1
2,220.0,1
2,3678.0,1
2,3898.0,1
2,3912.0,1
2,14.0,4
2,3892.0,1
2,3900.0,2
2,4.0,33
2,3536.0,2
2,3680.0,14
2,3860.0,2
2,3754.0,2
2,3662.0,4
2,666.0,2
2,1664.0,14
2,2010.0,10
2,2006.0,20
2,2008.0,19
2,3006.0,15
2,3862.0,6
2,12.0,22
2,3002.0,15
2,3004.0,5
2,3868.0,7
2,3876.0,12
2,3542.0,4
2,3864.0,8
2,1540.0,2
2,2662.0,2
2,3012.0,2
2,2666.0,2
2,3010.0,7
2,1668.0,2
2,2330.0,4
2,2332.0,2
2,3866.0,2
2,1538.0,2
2,2004.0,9
2,2542.0,4
2,3538.0,11
2,3672.0,2
2,3870.0,8
2,3872.0,3
2,538.0,2
2,1002.0,2
2,3000.0,6
2,2002.0,27
2,3008.0,7
2,1666.0,5
2,2876.0,3
2,1996.0,2
2,1998.0,6
2,1662.0,2
2,2664.0,2
2,542.0,3
2,1010.0,2
2,1542.0,3
2,3674.0,9
2,3666.0,7
2,3874.0,7
2,2538.0,4
2,3200.0,3
2,3202.0,1
2,194.0,3
2,3676.0,1
2,1012.0,1
2,2668.0,1
2,192.0,1
2,2540.0,1
2,196.0,2
2,2000.0,1
2,2874.0,1
3,14.0,1
3,2568.0,1
3,2910.0,1
3,3570.0,1
3,3996.0,1
3,2662.0,9
3,3010.0,2
3,3664.0,2
3,18.0,1
3,2576.0,9
3,3004.0,27
3,3566.0,1
3,2.0,25
3,1666.0,5
3,2664.0,3
3,3568.0,9
3,10.0,5
3,1576.0,1
3,3576.0,1
3,4.0,35
3,1674.0,1
3,3012.0,1
3,12.0,16
3,1664.0,8
3,2564.0,8
3,2994.0,8
3,3562.0,16
3,3006.0,24
3,3564.0,8
3,2666.0,22
3,3008.0,21
3,1564.0,13
3,2578.0,8
3,8.0,23
3,1668.0,22
3,3020.0,8
3,3574.0,8
3,2000.0,5
3,2004.0,8
3,3668.0,10
3,1538.0,6
3,3538.0,6
3,6.0,6
3,3002.0,7
3,3536.0,4
3,2538.0,4
3,2002.0,5
3,2526.0,10
3,2524.0,4
3,3520.0,4
3,3524.0,12
3,2518.0,5
3,2998.0,4
3,3522.0,5
3,1524.0,1
3,3666.0,3
3,2668.0,2
3,3518.0,2
3,3628.0,2
4,668.0,154
4,670.0,36
4,1522.0,20
4,2002.0,66
4,2004.0,106
4,3000.0,8
4,1520.0,5
4,2006.0,82
4,2008.0,11
4,3002.0,44
4,128.0,1
4,378.0,1
4,522.0,13
4,1340.0,7
4,3006.0,31
4,3004.0,84
4,3520.0,10
4,502.0,1
4,504.0,20
4,524.0,19
4,1524.0,19
4,666.0,32
4,3666.0,9
4,3674.0,3
4,3852.0,3
4,3854.0,5
4,2.0,25
4,520.0,11
4,1002.0,11
4,1518.0,5
4,3670.0,3
4,0.0,3
4,1182.0,2
4,1668.0,50
4,2188.0,1
4,3522.0,4
4,3672.0,1
4,3850.0,3
4,3856.0,7
4,6.0,33
4,1670.0,16
4,2504.0,3
4,2524.0,19
4,3668.0,11
4,4.0,26
4,674.0,4
4,1666.0,23
4,2518.0,3
4,3518.0,9
4,1338.0,9
4,3600.0,2
4,3750.0,4
4,340.0,2
4,1008.0,2
4,1674.0,2
4,3008.0,3
4,1504.0,7
4,3524.0,5
4,2670.0,5
4,2000.0,8
4,2520.0,8
4,2522.0,16
4,3754.0,2
4,2184.0,3
4,1006.0,8
4,2666.0,6
4,2668.0,15
4,784.0,1
4,828.0,1
4,1000.0,3
4,2672.0,2
4,8.0,3
4,672.0,9
4,1672.0,4
4,374.0,1
4,526.0,2
4,532.0,1
4,1542.0,1
4,2012.0,1
4,2986.0,1
4,3664.0,1
4,3792.0,1
4,3926.0,1
4,1004.0,5
4,2852.0,2
4,2856.0,1
4,388.0,1
4,596.0,1
4,716.0,1
4,1556.0,1
4,2056.0,1
4,3016.0,1
4,1516.0,1
4,3516.0,1
4,856.0,1
4,1850.0,1
4,2826.0,1
4,1184.0,2
4,3182.0,3
5,2670.0,13
5,3110.0,3
5,3170.0,20
5,3504.0,21
5,3538.0,3
5,3808.0,3
5,4.0,39
5,632.0,3
5,836.0,7
5,1138.0,3
5,1170.0,9
5,1504.0,29
5,1762.0,3
5,1836.0,9
5,2820.0,3
5,3336.0,14
5,3788.0,5
5,530.0,3
5,670.0,14
5,916.0,3
5,1554.0,6
5,1708.0,3
5,2428.0,3
5,2504.0,3
5,3466.0,3
5,3628.0,3
5,432.0,3
5,896.0,3
5,1004.0,7
5,1394.0,4
5,1782.0,3
5,2854.0,3
5,3670.0,16
5,3690.0,3
5,3922.0,3
5,454.0,3
5,900.0,3
5,1556.0,3
5,1866.0,4
5,2004.0,18
5,3350.0,3
5,3940.0,5
5,532.0,3
5,754.0,7
5,1012.0,4
5,1254.0,5
5,1550.0,3
5,1670.0,5
5,2002.0,5
5,1022.0,3
5,3820.0,2
5,1226.0,4
5,1704.0,4
5,2248.0,4
5,2336.0,11
5,2644.0,4
5,2754.0,4
5,2974.0,4
5,3480.0,4
5,26.0,4
5,1060.0,4
5,2228.0,4
5,2610.0,4
5,3004.0,8
5,3006.0,4
5,3318.0,6
5,3460.0,4
5,3726.0,4
5,3852.0,4
5,566.0,4
5,698.0,4
5,1194.0,4
5,1430.0,4
5,1674.0,4
5,1948.0,4
5,2312.0,4
5,2482.0,4
5,2816.0,4
5,2836.0,6
5,3120.0,4
5,3474.0,5
5,3560.0,4
5,3860.0,4
5,928.0,4
5,1946.0,4
5,2170.0,7
5,2636.0,4
5,2952.0,5
5,3456.0,4
5,3724.0,4
