X,Y,Total_de_notas
2,534.0,4
2,1496.0,4
2,2480.0,4
2,408.0,4
2,1460.0,4
2,2400.0,4
2,382.0,4
2,398.0,4
2,1380.0,4
2,2414.0,4
2,2438.0,4
2,360.0,4
2,428.0,4
3,500.0,4
3,3500.0,6
3,546.0,4
3,592.0,2
3,436.0,4
3,454.0,2
3,724.0,3
3,758.0,2
3,956.0,2
3,982.0,2
3,1186.0,2
3,1226.0,2
3,1470.0,2
3,1542.0,2
3,1736.0,2
3,1790.0,2
3,1950.0,10
3,2006.0,4
3,2218.0,2
3,2290.0,2
3,2466.0,3
3,2544.0,2
3,2744.0,2
3,2810.0,2
3,2950.0,2
3,3026.0,2
3,3198.0,2
3,3244.0,4
3,3432.0,2
3,3454.0,2
3,3716.0,2
3,3846.0,2
3,40.0,2
3,128.0,2
3,750.0,4
3,862.0,2
3,1250.0,2
3,1364.0,2
3,486.0,4
3,532.0,2
3,3616.0,2
3,516.0,1
3,550.0,2
3,496.0,2
3,740.0,2
3,806.0,2
3,1002.0,3
3,1058.0,2
3,1242.0,2
3,1308.0,2
3,1504.0,2
3,1562.0,2
3,1756.0,2
3,1806.0,2
3,1952.0,2
3,2002.0,3
3,2198.0,2
3,2254.0,2
3,2430.0,2
3,2516.0,3
3,2686.0,4
3,2738.0,2
3,2896.0,2
3,2982.0,2
3,3164.0,2
3,3232.0,2
3,3410.0,2
3,3462.0,2
3,3698.0,2
3,3766.0,2
3,3950.0,2
3,70.0,3
3,696.0,2
3,818.0,2
3,1180.0,2
3,1284.0,2
3,386.0,2
3,934.0,1
3,1456.0,1
3,1506.0,2
3,2094.0,1
3,2470.0,1
3,2558.0,1
3,3208.0,1
3,3344.0,1
3,3914.0,1
3,2.0,1
3,968.0,1
3,1080.0,1
3,2036.0,1
3,948.0,1
3,1012.0,1
3,1462.0,1
3,1568.0,1
3,1924.0,1
3,2102.0,1
3,2456.0,1
3,2550.0,1
3,3192.0,1
3,3332.0,2
3,3954.0,1
3,62.0,1
3,990.0,1
3,1060.0,1
3,1934.0,1
3,2026.0,1
3,3416.0,1
3,3526.0,1
3,544.0,1
3,630.0,1
3,1502.0,1
3,1610.0,1
3,2540.0,1
3,3248.0,1
3,3358.0,1
3,3968.0,1
3,90.0,1
3,518.0,1
3,590.0,1
3,1998.0,1
3,2066.0,1
3,480.0,2
3,492.0,2
3,1496.0,1
3,1508.0,1
3,1640.0,1
3,1800.0,1
3,1830.0,1
3,2008.0,1
3,2030.0,4
3,2988.0,1
3,3096.0,1
3,3132.0,1
3,3148.0,1
3,3528.0,1
3,3614.0,1
3,238.0,1
3,300.0,1
3,618.0,2
3,778.0,1
3,808.0,1
3,748.0,1
3,976.0,1
3,1464.0,1
3,1530.0,1
3,1956.0,1
3,2140.0,1
3,2420.0,1
3,2548.0,2
3,3204.0,1
3,3298.0,1
3,3962.0,1
3,84.0,1
3,940.0,1
3,1104.0,1
3,1914.0,1
3,2024.0,1
3,970.0,1
3,1042.0,1
3,1488.0,1
3,1598.0,1
3,1984.0,1
3,2158.0,1
3,2604.0,1
3,3518.0,1
3,3604.0,1
3,908.0,1
3,1000.0,1
3,1770.0,1
3,1908.0,1
3,2494.0,1
3,2566.0,1
3,3352.0,1
3,3496.0,1
3,582.0,1
3,1490.0,1
3,2652.0,1
3,3434.0,1
3,28.0,2
3,556.0,1
3,646.0,1
3,1940.0,3
3,132.0,1
3,482.0,4
3,498.0,1
3,1466.0,1
3,1478.0,1
3,1588.0,1
3,1782.0,1
3,1836.0,3
3,2032.0,1
3,2816.0,1
3,3012.0,1
3,3048.0,1
3,3378.0,1
3,3512.0,1
3,3568.0,1
3,194.0,1
3,248.0,1
3,708.0,1
3,254.0,1
3,276.0,1
3,966.0,2
3,1218.0,2
3,1474.0,4
3,1948.0,2
3,2028.0,4
3,2058.0,2
3,2126.0,2
3,2702.0,2
3,2946.0,2
3,428.0,2
3,588.0,4
3,1210.0,2
3,1286.0,2
3,1750.0,2
3,2442.0,2
3,2552.0,2
3,3104.0,2
3,420.0,2
3,566.0,2
3,690.0,2
3,958.0,2
3,1116.0,2
3,2010.0,2
3,2080.0,2
3,2850.0,2
3,3702.0,2
3,3776.0,2
3,576.0,2
3,1204.0,2
3,1220.0,2
3,1918.0,2
3,2468.0,2
3,2574.0,2
3,3324.0,2
3,462.0,2
3,1482.0,2
3,1630.0,2
3,2460.0,2
3,2656.0,2
3,3196.0,2
3,3406.0,2
3,3784.0,2
3,3942.0,2
3,604.0,2
3,114.0,2
3,400.0,2
3,424.0,2
3,1328.0,2
3,1416.0,2
3,1528.0,2
3,1700.0,2
3,1718.0,2
3,2966.0,2
3,2986.0,2
3,3076.0,2
3,3412.0,2
3,3506.0,2
3,3558.0,2
3,220.0,2
3,340.0,2
3,484.0,2
3,662.0,2
3,684.0,2
3,502.0,2
3,524.0,2
3,3642.0,1
3,3586.0,1
3,602.0,1
4,500.0,60
4,1250.0,55
4,2000.0,60
4,1500.0,16
4,504.0,1
4,1218.0,1
4,1470.0,1
4,2010.0,1
4,512.0,1
4,1232.0,1
4,1514.0,1
4,2002.0,2
4,548.0,1
4,1260.0,1
4,1492.0,1
4,2020.0,1
4,494.0,1
4,1204.0,1
4,1498.0,1
4,2042.0,2
4,508.0,1
4,1180.0,1
4,1488.0,1
4,2016.0,1
4,536.0,1
4,1210.0,1
4,1478.0,1
4,1996.0,1
4,526.0,1
4,1510.0,1
4,2044.0,1
4,558.0,1
4,1258.0,2
4,1506.0,1
4,502.0,1
4,1216.0,1
4,1468.0,1
4,2008.0,1
4,510.0,1
4,1230.0,1
4,1512.0,1
4,546.0,1
4,1490.0,1
4,2018.0,1
4,492.0,1
4,1202.0,1
4,1496.0,1
4,2040.0,1
4,506.0,1
4,1178.0,1
4,1486.0,1
4,2014.0,1
4,534.0,1
4,1208.0,1
4,1476.0,1
4,1994.0,1
4,524.0,1
4,1508.0,1
4,498.0,1
4,556.0,1
4,1256.0,1
4,1504.0,1
5,500.0,115
5,750.0,88
5,982.0,25
5,1000.0,74
5,1250.0,100
5,1252.0,25
5,1750.0,87
5,1796.0,25
5,2000.0,87
5,2006.0,25
5,2170.0,25
5,2248.0,25
5,2250.0,84
5,2500.0,90
5,2524.0,25
5,2750.0,87
5,3000.0,74
5,3024.0,25
5,3250.0,100
5,3276.0,25
5,3750.0,87
5,3782.0,25
5,0.0,89
5,20.0,25
5,136.0,25
5,250.0,86
5,260.0,25
5,440.0,25
5,1012.0,24
5,1270.0,24
5,1854.0,24
5,1948.0,24
5,2236.0,24
5,2282.0,24
5,2450.0,24
5,3044.0,24
5,3286.0,26
5,3846.0,24
5,3962.0,24
5,96.0,24
5,214.0,24
5,1058.0,2
5,1378.0,2
5,1856.0,2
5,1998.0,4
5,2180.0,2
5,2270.0,2
5,2498.0,2
5,3052.0,4
5,3382.0,2
5,3840.0,4
5,3998.0,2
5,196.0,2
5,226.0,2
5,396.0,2
5,1066.0,4
5,1324.0,2
5,1838.0,4
5,2014.0,2
5,2332.0,2
5,2418.0,2
5,3812.0,2
5,3980.0,2
5,286.0,2
5,478.0,2
5,998.0,2
5,1338.0,2
5,1842.0,2
5,1980.0,2
5,2182.0,2
5,2286.0,2
5,2518.0,2
5,3058.0,2
5,3342.0,2
5,3968.0,2
5,262.0,2
5,288.0,4
5,430.0,2
5,1308.0,2
5,1824.0,2
5,1962.0,2
5,2154.0,2
5,2288.0,2
5,2566.0,2
5,3078.0,2
5,3264.0,2
5,3860.0,2
5,3946.0,2
5,294.0,2
5,324.0,2
5,458.0,2
5,1042.0,2
5,1302.0,2
5,1758.0,2
5,2034.0,2
5,2166.0,2
5,2344.0,2
5,2466.0,2
5,3074.0,2
5,3234.0,2
5,3818.0,2
5,3978.0,2
5,264.0,2
5,482.0,2
5,1020.0,2
5,1212.0,2
5,1978.0,2
5,2160.0,2
5,2232.0,2
5,2570.0,2
5,2982.0,2
5,3252.0,2
5,3894.0,2
5,232.0,2
5,408.0,2
5,444.0,2
6,500.0,75
6,1000.0,74
6,1100.0,10
6,1420.0,10
6,1500.0,209
6,2138.0,10
6,2250.0,76
6,2370.0,10
6,2750.0,74
