X,Y,Total_de_notas
2,3000.0,12
2,3500.0,10
2,0.0,11
2,500.0,4
2,1000.0,7
2,1500.0,4
2,2000.0,7
2,2334.0,2
2,2834.0,5
2,3334.0,5
2,3834.0,2
2,3666.0,5
2,1834.0,3
2,2250.0,1
2,2750.0,1
2,3166.0,13
2,3750.0,1
2,2500.0,3
2,1334.0,1
2,666.0,9
2,1166.0,8
2,1666.0,7
2,2166.0,9
2,2666.0,7
2,834.0,1
2,166.0,5
2,3916.0,3
3,0.0,33
3,500.0,10
3,1000.0,10
3,1500.0,10
3,2000.0,10
3,2500.0,10
3,3000.0,10
3,3334.0,8
3,3500.0,14
3,3834.0,8
3,166.0,9
3,666.0,21
3,1166.0,21
3,1666.0,21
3,2166.0,21
3,2666.0,21
3,3166.0,21
3,3666.0,18
4,0.0,6
4,3500.0,6
4,166.0,1
5,166.0,1
5,666.0,8
5,1000.0,8
5,1166.0,8
5,1666.0,8
5,2000.0,8
5,2166.0,8
5,2666.0,8
5,3000.0,8
5,3166.0,8
5,3666.0,8
5,0.0,7
6,166.0,17
6,1166.0,30
6,2000.0,15
6,2166.0,15
6,3166.0,30
6,3666.0,10
6,666.0,8
6,1666.0,8
6,2666.0,8
