X,Y,Total_de_notas
2,2104.0,4
2,2770.0,5
2,2792.0,6
2,3146.0,3
2,3292.0,2
2,3626.0,5
2,3812.0,6
2,396.0,3
2,480.0,2
2,876.0,2
2,896.0,1
2,3312.0,2
2,3354.0,4
2,3916.0,3
2,0.0,5
2,3334.0,3
2,3666.0,2
2,3854.0,3
2,208.0,3
2,438.0,2
2,812.0,2
2,1020.0,7
2,1562.0,5
2,2876.0,5
2,604.0,3
2,1000.0,3
2,1126.0,2
2,1458.0,2
2,1730.0,4
2,2292.0,2
2,2896.0,2
2,3270.0,2
2,3396.0,2
2,3438.0,2
2,3520.0,3
2,1876.0,3
2,2000.0,2
2,2438.0,2
2,2480.0,4
2,1646.0,3
2,1854.0,2
2,2208.0,1
2,2396.0,3
2,2980.0,4
2,3542.0,4
2,146.0,2
2,562.0,4
2,730.0,4
2,1896.0,3
2,3562.0,4
2,3688.0,1
2,126.0,4
2,292.0,1
2,708.0,2
2,854.0,1
2,1250.0,4
2,1416.0,4
2,1916.0,3
2,2020.0,3
2,3792.0,2
2,3876.0,1
2,270.0,2
2,416.0,2
2,980.0,4
2,1396.0,5
2,1542.0,2
2,1958.0,4
2,2126.0,1
2,2500.0,4
2,2688.0,2
2,1376.0,4
2,1980.0,4
2,2188.0,1
2,2626.0,3
2,3416.0,2
2,500.0,4
2,542.0,2
2,1146.0,4
2,2730.0,2
2,626.0,4
2,1166.0,2
2,1688.0,1
2,1792.0,4
2,2958.0,3
2,3042.0,2
2,62.0,2
2,230.0,1
2,770.0,4
2,1812.0,5
2,2250.0,4
2,84.0,4
2,250.0,3
2,646.0,2
2,1312.0,1
2,2520.0,2
2,3646.0,3
2,1438.0,2
2,2042.0,2
2,1480.0,2
2,1500.0,3
2,2062.0,2
2,2604.0,5
2,3166.0,3
2,3730.0,4
2,958.0,4
2,2416.0,1
2,3208.0,2
2,376.0,1
2,1626.0,2
2,3938.0,3
2,520.0,1
2,3708.0,2
2,354.0,2
2,1270.0,4
2,1520.0,4
2,1666.0,2
2,2230.0,3
2,2562.0,3
2,1084.0,3
2,1604.0,2
2,2270.0,1
2,2376.0,3
2,3500.0,1
2,312.0,2
2,1938.0,4
2,2916.0,1
2,3584.0,2
2,1354.0,3
2,166.0,2
2,688.0,1
2,916.0,2
2,1208.0,1
2,2584.0,1
2,938.0,2
2,2146.0,1
2,2666.0,2
2,3188.0,2
2,2354.0,2
2,3376.0,1
2,1042.0,1
2,1062.0,1
2,1188.0,4
2,3480.0,3
2,666.0,2
2,1230.0,2
2,1584.0,2
2,2166.0,1
2,834.0,1
2,1770.0,2
2,2334.0,1
2,3062.0,3
2,1104.0,1
2,2084.0,1
2,3000.0,1
2,42.0,2
2,3230.0,1
2,3458.0,2
2,188.0,2
2,1834.0,1
2,1292.0,1
2,3020.0,4
2,3104.0,1
2,3750.0,1
2,2646.0,1
2,3250.0,1
2,3604.0,1
2,3834.0,1
2,458.0,2
2,2812.0,1
2,2458.0,1
2,3958.0,1
3,896.0,8
3,2042.0,9
3,3208.0,10
3,3792.0,7
3,354.0,10
3,376.0,2
3,438.0,4
3,938.0,4
3,1042.0,9
3,1520.0,11
3,1542.0,6
3,1626.0,8
3,1688.0,10
3,2104.0,8
3,2208.0,5
3,2666.0,11
3,2750.0,5
3,3250.0,7
3,3354.0,9
3,3834.0,7
3,3854.0,7
3,3916.0,9
3,0.0,5
3,416.0,9
3,520.0,5
3,688.0,8
3,980.0,13
3,1084.0,9
3,1562.0,6
3,1584.0,3
3,2146.0,9
3,2166.0,8
3,2230.0,8
3,2312.0,11
3,2730.0,8
3,2812.0,6
3,3292.0,12
3,3312.0,2
3,3396.0,13
3,3876.0,9
3,3980.0,9
3,480.0,5
3,500.0,10
3,562.0,11
3,646.0,6
3,1062.0,4
3,1334.0,6
3,1730.0,12
3,2770.0,10
3,2792.0,8
3,2876.0,8
3,2958.0,5
3,3458.0,7
3,3938.0,6
3,20.0,7
3,626.0,9
3,1126.0,9
3,1188.0,12
3,1250.0,9
3,1770.0,5
3,1958.0,7
3,2250.0,9
3,2354.0,12
3,2834.0,4
3,2854.0,5
3,2938.0,8
3,3416.0,9
3,3438.0,4
3,3500.0,7
3,3584.0,6
3,84.0,5
3,666.0,9
3,1146.0,5
3,1230.0,3
3,1750.0,9
3,1834.0,8
3,1896.0,6
3,2604.0,7
3,2896.0,5
3,2980.0,10
3,3562.0,11
3,42.0,11
3,62.0,7
3,146.0,6
3,208.0,7
3,730.0,4
3,1292.0,9
3,1876.0,7
3,2376.0,6
3,2438.0,4
3,2520.0,12
3,3042.0,5
3,3230.0,5
3,3520.0,7
3,3604.0,7
3,104.0,4
3,708.0,8
3,750.0,4
3,854.0,4
3,1938.0,10
3,2396.0,8
3,3000.0,10
3,3084.0,11
3,3166.0,2
3,3270.0,2
3,3666.0,4
3,126.0,6
3,166.0,3
3,230.0,4
3,812.0,6
3,1312.0,8
3,1416.0,4
3,1480.0,5
3,1980.0,5
3,2458.0,7
3,2542.0,2
3,3146.0,12
3,3626.0,10
3,3708.0,7
3,3770.0,7
3,312.0,3
3,770.0,8
3,1354.0,5
3,1376.0,3
3,1458.0,7
3,2020.0,4
3,2500.0,5
3,3104.0,2
3,3188.0,8
3,270.0,7
3,834.0,8
3,1500.0,8
3,2000.0,3
3,2084.0,4
3,2562.0,11
3,2584.0,5
3,2626.0,4
3,3730.0,6
3,3812.0,8
3,396.0,3
3,876.0,9
3,2126.0,7
3,3376.0,3
3,458.0,10
3,1020.0,4
3,3896.0,2
3,1666.0,6
3,3020.0,6
3,542.0,4
3,1604.0,6
3,1708.0,6
3,2188.0,6
3,2292.0,6
3,3646.0,5
3,604.0,5
3,1104.0,9
3,1270.0,4
3,2334.0,5
3,2916.0,3
3,1166.0,2
3,1812.0,7
3,3542.0,1
3,916.0,6
3,1208.0,2
3,1792.0,2
3,188.0,5
3,1916.0,5
3,2416.0,3
3,250.0,10
3,1396.0,7
3,2480.0,2
3,292.0,4
3,3688.0,2
3,334.0,4
3,2708.0,4
3,958.0,2
3,2688.0,1
3,3334.0,2
3,3480.0,3
3,1854.0,1
3,3062.0,2
3,3126.0,2
3,2646.0,2
3,1646.0,2
3,792.0,1
3,1438.0,1
3,3958.0,1
4,354.0,5
4,1770.0,2
4,2084.0,2
4,2376.0,3
4,2666.0,8
4,104.0,3
4,416.0,6
4,792.0,3
4,1000.0,5
4,1062.0,3
4,1084.0,1
4,2708.0,2
4,2730.0,5
4,2980.0,2
4,3020.0,2
4,3250.0,3
4,3312.0,2
4,1042.0,4
4,1480.0,3
4,1626.0,4
4,1688.0,7
4,3042.0,3
4,3354.0,4
4,3646.0,3
4,3938.0,6
4,1376.0,2
4,2042.0,7
4,2250.0,6
4,3980.0,4
4,0.0,4
4,230.0,1
4,292.0,3
4,520.0,2
4,562.0,4
4,2270.0,4
4,2312.0,4
4,2688.0,5
4,2750.0,2
4,2896.0,5
4,604.0,3
4,896.0,3
4,916.0,3
4,1188.0,4
4,2646.0,1
4,2958.0,2
4,3542.0,4
4,730.0,2
4,1250.0,3
4,1834.0,5
4,3562.0,4
4,3812.0,2
4,3854.0,2
4,20.0,2
4,166.0,3
4,1562.0,1
4,1876.0,2
4,2166.0,3
4,2458.0,5
4,3896.0,2
4,208.0,3
4,584.0,3
4,2500.0,2
4,2520.0,5
4,2812.0,1
4,3104.0,3
4,834.0,2
4,1270.0,2
4,1416.0,3
4,2562.0,3
4,2834.0,3
4,3146.0,5
4,3416.0,2
4,3730.0,7
4,1166.0,2
4,3770.0,4
4,62.0,3
4,312.0,3
4,2062.0,2
4,2104.0,4
4,3834.0,4
4,84.0,1
4,396.0,2
4,688.0,3
4,980.0,4
4,2438.0,1
4,3292.0,6
4,1020.0,1
4,1292.0,2
4,1334.0,2
4,1584.0,4
4,3334.0,3
4,3376.0,3
4,3792.0,2
4,1104.0,4
4,1354.0,2
4,1666.0,3
4,1958.0,3
4,3688.0,1
4,376.0,3
4,2542.0,1
4,2604.0,2
4,626.0,4
4,1208.0,4
4,2916.0,3
4,3208.0,1
4,3230.0,3
4,3500.0,2
4,958.0,1
4,146.0,5
4,1854.0,2
4,1896.0,3
4,2480.0,2
4,3876.0,1
4,188.0,2
4,480.0,3
4,770.0,4
4,2230.0,2
4,2876.0,4
4,3126.0,2
4,1396.0,4
4,3438.0,3
4,1126.0,1
4,1458.0,3
4,1750.0,4
4,3480.0,1
4,2334.0,1
4,2626.0,2
4,854.0,3
4,2396.0,1
4,3000.0,3
4,750.0,1
4,1646.0,2
4,3604.0,1
4,3666.0,4
4,270.0,2
4,2000.0,3
4,1146.0,1
4,2938.0,4
4,3520.0,5
4,666.0,2
4,1230.0,2
4,1542.0,3
4,1812.0,2
4,3584.0,1
4,2126.0,1
4,2416.0,1
4,812.0,2
4,2188.0,1
4,2792.0,2
4,3084.0,3
4,1438.0,2
4,3458.0,2
4,1792.0,1
4,646.0,1
4,938.0,1
4,458.0,2
4,708.0,1
4,1312.0,1
4,1604.0,2
4,1916.0,1
4,2208.0,1
4,3958.0,1
4,1980.0,2
4,2292.0,2
4,2584.0,3
4,3166.0,1
4,438.0,1
4,500.0,1
4,1708.0,2
4,2354.0,2
4,3626.0,2
4,3916.0,2
4,542.0,1
4,1500.0,1
5,376.0,4
5,416.0,8
5,438.0,2
5,938.0,11
5,958.0,7
5,1000.0,5
5,1562.0,7
5,1584.0,8
5,2688.0,7
5,2730.0,6
5,2750.0,3
5,3270.0,6
5,3854.0,8
5,3876.0,6
5,480.0,5
5,1020.0,9
5,1042.0,8
5,2146.0,4
5,2166.0,4
5,2188.0,7
5,3312.0,6
5,3334.0,6
5,3354.0,8
5,3896.0,10
5,3938.0,4
5,500.0,5
5,520.0,11
5,542.0,6
5,750.0,10
5,1646.0,5
5,1688.0,9
5,1708.0,2
5,2208.0,13
5,2250.0,6
5,2834.0,7
5,2854.0,5
5,3980.0,10
5,20.0,1
5,1126.0,6
5,1146.0,5
5,1730.0,6
5,2270.0,4
5,2292.0,5
5,2312.0,9
5,3416.0,4
5,3438.0,6
5,3458.0,8
5,562.0,3
5,584.0,6
5,604.0,4
5,1166.0,9
5,1208.0,6
5,1750.0,3
5,1770.0,7
5,1812.0,3
