X,Y,Total_de_notas
2,0.0,185
2,1000.0,46
2,2000.0,170
2,3000.0,36
2,3750.0,35
2,1750.0,37
2,3500.0,13
2,2250.0,6
2,500.0,2
2,750.0,22
2,1250.0,7
2,2500.0,26
2,1500.0,13
2,2750.0,20
2,250.0,4
3,0.0,19
3,1916.0,2
3,1990.0,10
3,3980.0,6
3,3990.0,6
3,1302.0,1
3,1562.0,1
3,1792.0,2
3,1928.0,4
3,3968.0,6
3,1510.0,2
3,1688.0,2
3,1958.0,3
3,2032.0,9
3,20.0,7
3,52.0,6
3,1344.0,1
3,1886.0,2
3,3292.0,2
3,3646.0,4
3,32.0,4
3,1416.0,3
3,1656.0,4
3,2010.0,7
3,2042.0,7
3,3386.0,1
3,3718.0,1
3,42.0,7
3,62.0,2
3,1260.0,1
3,1594.0,1
3,2000.0,10
3,3260.0,1
3,3584.0,3
3,3928.0,4
3,3958.0,6
3,1980.0,7
3,2626.0,3
3,2656.0,2
3,3844.0,1
3,3886.0,2
3,1396.0,2
3,1626.0,5
3,2020.0,6
3,3270.0,2
3,3864.0,4
3,1240.0,2
3,1666.0,2
3,2052.0,8
3,3666.0,1
3,10.0,13
3,834.0,1
3,1020.0,3
3,1760.0,1
3,2824.0,1
3,3032.0,3
3,3916.0,5
3,416.0,2
3,636.0,1
3,1188.0,1
3,1428.0,1
3,1896.0,2
3,3906.0,8
3,2062.0,6
3,1678.0,2
3,2604.0,2
3,2646.0,2
3,2834.0,1
3,84.0,2
3,1406.0,1
3,1604.0,4
3,1834.0,1
3,3302.0,2
3,3626.0,3
3,3938.0,4
3,1166.0,1
3,1906.0,2
3,1938.0,1
3,1386.0,2
3,1614.0,5
3,1646.0,5
3,1968.0,1
3,3364.0,1
3,510.0,1
3,864.0,1
3,1824.0,1
3,2500.0,1
3,2688.0,1
3,3438.0,1
3,3636.0,2
3,3792.0,1
3,574.0,1
3,614.0,2
3,968.0,2
3,1750.0,3
3,364.0,2
3,490.0,1
3,438.0,4
3,2396.0,3
3,3594.0,1
3,428.0,4
3,2406.0,1
3,2614.0,2
3,3948.0,2
3,376.0,2
3,1844.0,1
3,2428.0,1
3,3604.0,4
3,2324.0,1
3,2636.0,3
3,3896.0,3
3,1948.0,1
3,2416.0,1
3,386.0,1
3,3532.0,1
3,458.0,2
3,656.0,1
3,1156.0,1
3,1376.0,1
3,1708.0,1
3,2552.0,1
3,2718.0,1
3,3198.0,1
3,3458.0,1
3,3782.0,2
3,626.0,1
3,2114.0,2
3,3760.0,1
3,1052.0,1
3,770.0,1
3,980.0,1
3,3020.0,1
3,3698.0,1
3,2156.0,1
3,126.0,2
3,146.0,1
3,1126.0,1
3,3678.0,1
3,552.0,1
3,1490.0,1
3,2678.0,1
3,94.0,1
3,334.0,2
3,2126.0,1
3,2312.0,4
3,3500.0,1
3,302.0,3
3,1574.0,2
3,2334.0,1
3,2354.0,1
3,2364.0,1
3,354.0,1
3,3166.0,1
3,698.0,1
3,2574.0,1
3,2958.0,1
3,3876.0,1
3,2094.0,2
3,584.0,1
3,896.0,1
3,3656.0,1
3,448.0,1
3,2542.0,1
3,2594.0,3
3,3010.0,1
3,406.0,1
3,2468.0,1
3,2386.0,1
3,2074.0,2
3,2084.0,1
3,3708.0,1
3,208.0,1
3,2198.0,1
3,136.0,1
3,2146.0,1
3,2208.0,1
3,396.0,1
3,1438.0,1
3,166.0,2
4,3968.0,32
4,3980.0,28
4,0.0,41
4,10.0,34
4,20.0,32
4,32.0,24
4,52.0,12
4,1282.0,3
4,1292.0,1
4,1312.0,3
4,1376.0,4
4,1938.0,11
4,2042.0,30
4,2094.0,10
4,2636.0,11
4,2990.0,4
4,3458.0,2
4,3532.0,4
4,3542.0,2
4,3656.0,4
4,3666.0,4
4,3990.0,35
4,782.0,2
4,1052.0,3
4,1542.0,1
4,1636.0,13
4,1916.0,7
