X,Y,Total_de_notas
2,500.0,47
2,1498.0,89
2,1500.0,89
2,1998.0,63
2,0.0,51
2,998.0,39
2,1000.0,39
2,498.0,35
3,500.0,47
3,1448.0,27
3,1500.0,89
3,1974.0,49
3,0.0,51
3,948.0,18
3,1000.0,39
3,1474.0,38
3,1424.0,16
3,1398.0,8
3,448.0,19
3,1874.0,13
3,474.0,16
3,974.0,20
3,1898.0,1
3,898.0,1
4,500.0,47
4,1498.0,89
4,1500.0,89
4,1998.0,63
4,0.0,51
4,998.0,39
4,1000.0,39
4,498.0,35
5,500.0,47
5,1498.0,89
5,1500.0,89
5,1998.0,63
5,0.0,51
5,998.0,39
5,1000.0,39
5,498.0,35
6,500.0,47
6,1498.0,89
6,1500.0,89
6,1998.0,63
6,0.0,51
6,998.0,39
6,1000.0,39
6,498.0,35
