X,Y,Total_de_notas
2,0.0,156
2,1500.0,143
2,1506.0,11
2,48.0,2
2,1532.0,2
2,1000.0,4
3,0.0,11
3,500.0,5
3,1000.0,10
3,1500.0,15
3,10.0,3
3,506.0,3
3,1428.0,2
3,1994.0,2
3,448.0,2
3,990.0,2
3,6.0,4
3,480.0,6
3,20.0,3
3,1510.0,2
3,16.0,2
3,558.0,1
3,1010.0,1
3,1468.0,2
3,1984.0,1
3,1028.0,3
3,962.0,3
3,1438.0,2
3,952.0,2
3,1474.0,3
3,68.0,3
3,532.0,1
3,42.0,1
3,516.0,3
3,942.0,1
3,968.0,1
3,1490.0,1
3,1538.0,1
3,980.0,1
3,1980.0,1
3,1048.0,1
3,1198.0,1
3,1364.0,2
3,766.0,1
3,1240.0,1
3,1416.0,1
3,688.0,1
3,1584.0,2
3,620.0,1
3,1552.0,1
3,410.0,1
3,920.0,1
3,1916.0,1
3,484.0,1
3,718.0,1
3,890.0,2
3,1390.0,1
3,1682.0,1
3,542.0,1
3,1462.0,1
3,1562.0,1
3,110.0,1
3,660.0,1
3,1580.0,1
3,510.0,1
3,1528.0,1
3,1610.0,2
3,604.0,1
3,1120.0,1
3,1590.0,1
3,1016.0,1
3,1146.0,1
3,1636.0,2
3,600.0,1
3,1278.0,1
3,84.0,1
3,896.0,1
3,1568.0,1
3,1614.0,1
3,1080.0,1
3,166.0,1
3,1114.0,1
3,1620.0,1
3,130.0,1
3,548.0,1
3,778.0,1
3,1094.0,1
3,1678.0,1
3,1750.0,1
3,114.0,1
3,678.0,1
3,1256.0,1
3,90.0,1
4,490.0,5
4,1480.0,5
4,48.0,5
4,62.0,6
4,68.0,8
4,958.0,8
4,968.0,5
4,1500.0,41
4,528.0,14
4,532.0,18
4,1584.0,7
4,1590.0,4
4,1594.0,7
4,1438.0,11
4,1448.0,4
4,538.0,11
4,548.0,18
4,1490.0,23
4,16.0,6
4,32.0,7
4,42.0,4
4,962.0,7
4,974.0,14
4,1510.0,24
4,542.0,15
4,1532.0,9
4,1542.0,6
4,1474.0,12
4,58.0,7
4,84.0,9
4,984.0,6
4,990.0,18
4,1516.0,20
4,1528.0,6
4,552.0,6
4,558.0,5
4,1574.0,6
4,1580.0,4
4,1410.0,3
4,1420.0,3
4,1432.0,3
4,520.0,13
4,1494.0,4
4,0.0,13
4,28.0,6
4,980.0,3
4,1506.0,3
4,1568.0,3
4,1650.0,3
4,500.0,11
4,90.0,3
4,1538.0,10
4,94.0,6
4,104.0,3
4,1010.0,8
4,1016.0,3
4,1548.0,7
4,1552.0,6
4,506.0,7
4,510.0,3
4,1562.0,4
4,20.0,9
4,1458.0,1
4,1484.0,4
4,1000.0,12
4,10.0,3
4,1428.0,3
4,1994.0,3
4,448.0,3
4,6.0,6
4,480.0,13
4,1468.0,8
4,1984.0,1
4,1028.0,4
4,952.0,3
4,516.0,2
4,942.0,1
4,1058.0,5
4,1062.0,2
4,1520.0,4
4,1932.0,2
4,1948.0,4
4,890.0,2
4,896.0,2
4,906.0,2
4,1032.0,4
4,1038.0,2
4,474.0,2
4,1990.0,1
4,994.0,1
5,1958.0,1
5,28.0,3
5,500.0,1
5,0.0,101
5,62.0,5
5,68.0,1
5,1558.0,2
5,52.0,2
5,1610.0,2
5,1620.0,2
5,20.0,2
5,1584.0,1
5,100.0,1
5,110.0,1
5,1656.0,1
5,958.0,1
5,1938.0,1
5,48.0,1
5,6.0,3
5,58.0,3
5,38.0,2
5,1920.0,1
5,1984.0,1
5,1952.0,1
6,0.0,519
6,16.0,80
6,500.0,361
6,1000.0,402
6,1048.0,78
6,1500.0,533
6,558.0,78
6,1250.0,5
6,1750.0,1
