X,Y,Total_de_notas
2,500.0,54
2,998.0,48
2,1000.0,32
2,1498.0,35
2,1500.0,65
2,1998.0,52
2,2500.0,36
2,2998.0,41
2,3000.0,54
2,3498.0,45
2,3500.0,66
2,3998.0,59
2,1624.0,7
2,1750.0,7
2,1874.0,5
2,2000.0,46
2,2498.0,39
2,0.0,48
2,250.0,3
2,498.0,45
2,2250.0,8
2,1124.0,5
2,1250.0,17
2,1374.0,9
2,748.0,6
2,750.0,16
2,1332.0,2
2,1334.0,2
2,1664.0,2
2,1666.0,2
2,2332.0,3
2,2334.0,3
2,2664.0,3
2,2666.0,3
2,3332.0,5
2,3334.0,5
2,3664.0,5
2,3666.0,5
2,3248.0,4
2,3250.0,7
2,3748.0,2
2,3750.0,13
2,2748.0,11
2,1248.0,5
2,1748.0,2
2,2750.0,8
2,2248.0,1
2,2376.0,1
2,374.0,1
2,624.0,8
2,874.0,7
2,3124.0,3
2,3374.0,5
2,3624.0,11
2,3874.0,9
2,2624.0,4
2,2874.0,3
2,2374.0,7
3,3000.0,28
3,3248.0,1
3,3250.0,4
3,3498.0,26
3,3500.0,41
3,3748.0,1
3,3750.0,10
3,3998.0,30
3,0.0,32
3,498.0,30
3,3332.0,2
3,3334.0,2
3,3664.0,2
3,3666.0,2
3,500.0,30
3,998.0,26
3,1500.0,30
3,1998.0,28
3,2000.0,22
3,2498.0,15
3,3124.0,1
3,3374.0,2
3,3624.0,9
3,3874.0,9
3,3832.0,1
3,2250.0,7
3,2374.0,7
3,2500.0,8
3,2998.0,17
3,624.0,4
3,750.0,4
3,874.0,4
3,1000.0,6
3,1498.0,11
4,0.0,72
4,248.0,72
4,500.0,72
4,748.0,42
4,1000.0,72
4,1248.0,72
4,1500.0,72
4,1748.0,72
4,2000.0,72
4,2248.0,48
4,2500.0,72
4,2748.0,72
4,3000.0,72
4,3248.0,72
4,3500.0,72
4,3748.0,72
4,2124.0,24
4,2250.0,24
4,2374.0,24
4,624.0,30
4,750.0,30
4,874.0,30
5,0.0,104
5,998.0,40
5,1000.0,40
5,1498.0,104
5,1500.0,104
5,2248.0,24
5,2250.0,24
5,2498.0,28
5,2500.0,52
5,3998.0,120
5,500.0,16
5,1248.0,12
5,2000.0,16
5,2998.0,16
5,3000.0,16
5,3248.0,16
5,3500.0,16
5,1998.0,4
6,0.0,86
6,498.0,86
6,500.0,86
6,748.0,18
6,750.0,86
6,1000.0,34
6,1248.0,34
6,1500.0,86
6,1998.0,104
6,2000.0,86
6,2124.0,86
6,2250.0,86
6,2624.0,86
6,3000.0,34
6,3498.0,34
6,624.0,68
6,998.0,68
7,0.0,51
7,748.0,19
7,750.0,19
7,874.0,19
7,1000.0,19
7,1248.0,19
7,1500.0,19
7,2248.0,19
7,2250.0,19
7,2498.0,19
7,2500.0,19
7,3998.0,51
7,1998.0,32
7,2000.0,32
8,0.0,134
8,998.0,119
8,1000.0,179
8,1998.0,152
8,2000.0,53
8,2998.0,105
8,3000.0,182
8,3998.0,111
8,3124.0,9
8,3126.0,4
8,3248.0,108
8,3250.0,40
8,3374.0,7
8,3376.0,6
8,3498.0,50
8,3500.0,60
8,3624.0,7
8,3626.0,6
8,3748.0,44
8,3750.0,44
8,3874.0,10
8,3876.0,8
8,748.0,98
8,750.0,89
8,1498.0,57
8,1500.0,111
8,2250.0,101
8,2498.0,99
8,2500.0,124
8,3560.0,1
8,3562.0,3
8,3686.0,3
8,2124.0,13
8,2126.0,13
8,2248.0,52
8,3936.0,1
8,3968.0,2
8,92.0,1
8,124.0,7
8,126.0,7
8,248.0,44
8,250.0,41
8,374.0,1
8,376.0,1
8,498.0,48
8,500.0,44
8,2374.0,7
8,2376.0,6
8,2624.0,8
8,2626.0,4
8,2748.0,61
8,2750.0,44
8,2874.0,4
8,2876.0,4
8,1248.0,117
8,1250.0,40
8,1748.0,40
8,1750.0,40
8,3186.0,4
8,3188.0,1
8,3688.0,1
8,1124.0,6
8,1126.0,2
9,0.0,3
9,998.0,3
9,1000.0,3
9,1498.0,3
9,1500.0,3
9,1998.0,3
9,2000.0,5
9,2998.0,5
