X,Y,Total_de_notas
2,0.0,35
2,250.0,17
2,500.0,21
2,750.0,17
2,1000.0,23
2,1250.0,21
2,1500.0,27
2,1750.0,11
2,2000.0,43
2,2500.0,25
2,2750.0,23
2,3000.0,33
2,3250.0,8
2,3500.0,16
2,3750.0,3
2,666.0,6
2,1334.0,6
2,2666.0,4
2,3334.0,4
2,2250.0,1
3,0.0,65
3,248.0,17
3,250.0,17
3,498.0,13
3,500.0,53
3,748.0,23
3,750.0,17
3,998.0,23
3,1000.0,29
3,1248.0,41
3,1250.0,29
3,1498.0,17
3,1500.0,17
3,1748.0,11
3,1750.0,23
3,1998.0,87
3,2000.0,83
3,2248.0,11
3,2250.0,23
3,2498.0,17
3,2500.0,17
3,2748.0,17
3,2750.0,17
3,2998.0,57
3,3000.0,69
3,3248.0,11
3,3250.0,23
3,3498.0,10
3,3500.0,17
3,3748.0,7
3,3750.0,12
3,3998.0,91
3,664.0,2
3,666.0,2
3,1332.0,2
3,1334.0,2
4,0.0,45
4,498.0,27
4,500.0,33
4,998.0,37
4,1000.0,37
4,1498.0,31
4,1500.0,31
4,1998.0,59
4,2000.0,63
4,2498.0,27
4,2500.0,27
4,2998.0,26
4,3000.0,29
4,3498.0,22
4,3500.0,24
4,3998.0,44
4,2750.0,3
4,1248.0,4
4,1250.0,4
4,3748.0,1
5,0.0,35
5,236.0,17
5,250.0,17
5,486.0,7
5,500.0,21
5,736.0,7
5,750.0,17
5,986.0,7
5,1000.0,23
5,1236.0,7
5,1250.0,21
5,1486.0,17
5,1500.0,23
5,1736.0,7
5,1750.0,7
5,1986.0,7
5,2000.0,37
5,2474.0,12
5,2500.0,19
5,2736.0,17
5,2750.0,17
5,2986.0,13
5,3000.0,33
5,3236.0,8
5,3250.0,8
5,3486.0,8
5,3500.0,16
5,3736.0,3
5,3750.0,3
5,3986.0,3
5,3698.0,4
5,724.0,10
5,1224.0,10
5,2448.0,10
5,3974.0,9
5,3948.0,17
5,1210.0,2
5,1960.0,4
5,2948.0,14
5,3474.0,6
5,448.0,4
5,974.0,8
5,3374.0,2
5,474.0,6
5,1924.0,2
5,1948.0,10
5,3898.0,6
5,666.0,6
5,1298.0,6
5,1334.0,6
5,1964.0,6
5,948.0,6
5,424.0,2
5,1448.0,2
5,1974.0,6
5,1186.0,2
5,632.0,4
5,2632.0,4
5,2666.0,4
5,3298.0,4
5,3334.0,4
5,3964.0,4
5,1474.0,4
5,2974.0,2
5,2236.0,1
5,2250.0,1
5,2486.0,1
