X,Y,Total_de_notas
5,2878.0,1
5,3382.0,1
5,3878.0,1
5,382.0,2
5,882.0,1
5,1128.0,1
5,1382.0,3
5,2386.0,4
5,3386.0,4
5,886.0,1
5,386.0,3
5,890.0,2
5,2382.0,1
5,1386.0,2
5,2390.0,7
5,390.0,6
5,1398.0,4
5,3394.0,6
5,1394.0,6
5,3432.0,2
5,1426.0,2
5,3390.0,2
5,3456.0,3
5,1432.0,7
5,1414.0,5
5,2394.0,5
5,3444.0,5
5,3464.0,2
5,3498.0,3
5,394.0,3
5,1390.0,1
5,3648.0,1
5,398.0,6
5,1406.0,7
5,1402.0,5
5,3398.0,5
5,3436.0,6
5,3440.0,2
5,1452.0,4
5,2398.0,3
5,3452.0,2
5,1440.0,4
5,2402.0,4
5,3402.0,5
5,402.0,4
5,1448.0,2
5,3468.0,2
5,1468.0,2
5,3482.0,2
5,2406.0,4
5,3406.0,4
5,3460.0,1
5,3448.0,2
5,3490.0,1
5,406.0,5
5,1410.0,4
5,1436.0,8
5,2910.0,5
5,3656.0,1
5,1540.0,1
5,2160.0,4
5,2660.0,3
5,910.0,5
5,1156.0,3
5,1490.0,1
5,156.0,1
5,410.0,2
5,656.0,1
5,2664.0,5
5,2914.0,5
5,160.0,1
5,660.0,2
5,1160.0,3
5,2164.0,6
5,2668.0,2
5,172.0,1
5,414.0,3
5,914.0,4
5,1164.0,5
5,1418.0,5
5,2918.0,3
5,164.0,2
5,664.0,2
5,1482.0,1
5,418.0,3
5,918.0,3
5,1918.0,1
5,2414.0,2
5,3418.0,3
5,3918.0,2
5,1922.0,1
5,2418.0,4
5,3414.0,1
5,3422.0,4
5,422.0,7
5,1428.0,3
5,2422.0,3
5,1422.0,3
5,3428.0,4
5,3472.0,1
5,3426.0,1
5,2428.0,5
5,1472.0,1
5,2424.0,1
5,3494.0,1
5,428.0,2
5,636.0,1
5,1486.0,1
5,432.0,6
5,3506.0,2
5,2432.0,4
5,436.0,6
5,1494.0,1
5,2436.0,5
5,3502.0,1
5,1478.0,1
5,3118.0,1
5,1456.0,1
5,1514.0,1
5,1952.0,1
5,2452.0,1
5,2952.0,1
5,3956.0,1
5,456.0,1
5,956.0,1
5,1274.0,1
5,1460.0,1
5,1960.0,1
5,2460.0,1
5,2956.0,1
5,3952.0,1
5,452.0,1
5,952.0,1
5,1202.0,1
6,1452.0,2
6,2424.0,1
6,2402.0,2
6,2882.0,1
6,3410.0,1
6,394.0,2
6,948.0,1
6,1464.0,2
6,1886.0,2
6,2352.0,1
6,2868.0,2
6,3414.0,3
6,356.0,1
6,868.0,1
6,1414.0,2
6,286.0,2
6,402.0,1
6,906.0,4
6,1472.0,1
6,2432.0,1
6,2944.0,1
6,3464.0,3
6,856.0,2
6,1390.0,2
6,1998.0,1
6,3368.0,1
6,952.0,2
6,1872.0,1
6,1368.0,2
6,2360.0,1
6,2436.0,1
6,2918.0,2
6,3448.0,1
6,432.0,1
