X,Y,Total_de_notas
2,0.0,46
2,3324.0,2
2,3500.0,22
2,3974.0,18
2,2374.0,2
2,2500.0,14
2,2974.0,14
2,3000.0,24
2,3474.0,14
2,1898.0,10
2,2000.0,33
2,3898.0,10
2,1424.0,4
2,1500.0,11
2,1974.0,8
2,2474.0,12
2,474.0,4
2,500.0,5
2,974.0,4
2,1000.0,15
2,1474.0,6
2,2948.0,9
2,3948.0,10
2,948.0,10
2,1948.0,8
2,2848.0,10
2,3854.0,4
2,3876.0,4
2,3992.0,4
2,1736.0,3
2,1750.0,7
2,1986.0,7
2,2710.0,2
2,2750.0,2
2,2986.0,2
2,1660.0,4
2,250.0,1
2,486.0,1
2,736.0,1
2,750.0,1
2,986.0,1
2,1236.0,1
2,1250.0,1
2,1486.0,1
3,0.0,50
3,132.0,2
3,262.0,2
3,400.0,1
3,532.0,1
3,662.0,1
3,3996.0,4
3,3998.0,50
3,248.0,48
3,250.0,48
3,498.0,48
3,500.0,48
3,748.0,48
3,750.0,48
3,998.0,48
3,1000.0,48
3,1248.0,48
3,1250.0,48
3,1498.0,48
3,1500.0,48
3,1748.0,48
3,1750.0,48
3,1998.0,48
3,2000.0,48
3,2248.0,48
3,2250.0,48
3,2498.0,48
3,2500.0,48
3,2748.0,48
3,2750.0,48
3,2998.0,49
3,3000.0,48
3,3248.0,48
3,3250.0,48
3,3498.0,48
3,3500.0,48
3,3748.0,48
3,3750.0,48
3,398.0,1
3,530.0,1
3,664.0,1
3,2996.0,5
