X,Y,Total_de_notas
2,3500.0,10
2,3750.0,24
2,250.0,160
2,2250.0,23
2,1500.0,4
2,3250.0,16
2,1250.0,11
2,2500.0,4
2,0.0,27
2,2750.0,9
2,2000.0,5
2,500.0,6
2,1750.0,7
2,3000.0,3
2,750.0,9
3,3000.0,41
3,3142.0,1
3,3500.0,50
3,266.0,2
3,500.0,113
3,1034.0,1
3,2000.0,86
3,2116.0,4
3,2500.0,99
3,3558.0,2
3,0.0,67
3,242.0,3
3,758.0,1
3,2158.0,7
3,3284.0,2
3,400.0,1
3,784.0,5
3,2176.0,3
3,3700.0,3
3,200.0,3
3,776.0,2
3,2200.0,2
3,3316.0,1
3,3908.0,3
3,434.0,10
3,834.0,4
3,2142.0,8
3,3758.0,3
3,442.0,3
3,2276.0,1
3,3416.0,4
3,3926.0,2
3,1576.0,1
3,2284.0,1
3,3726.0,2
3,384.0,4
3,992.0,1
3,1000.0,9
3,1434.0,1
3,1500.0,11
3,1942.0,1
3,2926.0,3
3,3200.0,2
3,166.0,4
3,884.0,3
3,2216.0,5
3,326.0,2
3,3350.0,3
3,358.0,3
3,734.0,2
3,3850.0,1
3,226.0,3
3,816.0,3
3,2184.0,1
3,234.0,1
3,2250.0,1
3,3734.0,1
3,250.0,3
3,916.0,2
3,2226.0,1
3,3550.0,3
3,1542.0,1
3,2242.0,3
3,3650.0,1
3,366.0,1
3,850.0,5
3,1376.0,1
3,1858.0,1
3,2742.0,1
3,3208.0,1
3,808.0,5
3,292.0,2
3,826.0,4
3,2192.0,2
3,3258.0,1
3,216.0,3
3,766.0,5
3,3666.0,2
3,2208.0,1
3,3158.0,1
3,16.0,2
3,892.0,4
3,2166.0,3
3,3592.0,1
3,1150.0,1
3,2984.0,1
3,58.0,1
3,450.0,4
3,642.0,2
3,316.0,2
3,800.0,4
3,2100.0,6
3,3492.0,1
3,576.0,1
3,2126.0,5
3,466.0,4
3,2108.0,3
3,3542.0,2
3,542.0,4
3,516.0,3
3,2826.0,2
3,3466.0,2
3,426.0,2
3,742.0,2
3,3450.0,3
3,3884.0,1
3,2816.0,1
3,3408.0,2
3,3942.0,1
3,484.0,3
3,726.0,1
3,492.0,2
3,684.0,1
3,3392.0,2
3,50.0,1
3,534.0,1
3,2442.0,2
3,3976.0,3
3,476.0,3
3,1166.0,1
3,2150.0,7
3,2934.0,2
3,3476.0,3
3,1408.0,1
3,3250.0,1
3,3400.0,2
3,1592.0,1
3,2084.0,5
3,3608.0,3
3,176.0,1
3,1726.0,1
3,3916.0,2
3,526.0,4
3,1316.0,1
3,3766.0,1
3,1634.0,1
3,3784.0,1
3,1642.0,1
3,2866.0,3
3,3808.0,1
3,334.0,1
3,1550.0,1
3,3308.0,1
3,376.0,2
3,1458.0,1
3,2916.0,1
3,3534.0,1
3,2808.0,1
3,3234.0,1
3,1616.0,1
3,3876.0,2
3,276.0,1
3,1342.0,1
3,300.0,1
3,3342.0,2
3,458.0,4
3,908.0,2
3,3684.0,1
3,842.0,5
3,2766.0,1
3,792.0,3
3,3584.0,1
3,2600.0,1
3,3816.0,1
3,1676.0,2
3,3866.0,1
3,1734.0,1
3,2484.0,1
3,392.0,2
3,3716.0,2
3,2900.0,2
3,3834.0,1
3,950.0,1
3,3692.0,1
3,3900.0,1
3,284.0,2
3,866.0,2
3,2134.0,4
3,858.0,2
3,2908.0,2
3,1516.0,1
3,1908.0,1
3,2326.0,1
3,3892.0,2
3,1492.0,1
3,3242.0,2
3,3950.0,3
3,926.0,1
3,1116.0,1
3,2892.0,2
3,3984.0,1
3,2476.0,1
3,2976.0,2
3,3334.0,1
3,984.0,2
3,3358.0,1
3,2666.0,1
3,1192.0,1
3,2292.0,2
3,2966.0,1
3,3434.0,2
3,3992.0,2
3,2076.0,1
3,3526.0,1
3,42.0,1
3,3026.0,1
3,3376.0,2
3,550.0,1
3,750.0,2
3,3426.0,1
3,416.0,2
3,3800.0,1
3,1076.0,1
3,2726.0,1
3,3742.0,1
3,2650.0,1
3,1900.0,1
3,1142.0,1
3,2876.0,1
3,3276.0,1
3,508.0,2
3,934.0,1
3,2092.0,2
3,142.0,2
3,700.0,1
3,2784.0,1
3,876.0,2
3,3750.0,2
3,258.0,1
3,2234.0,2
3,2942.0,1
3,3566.0,1
3,192.0,1
3,1584.0,2
3,2576.0,1
3,3008.0,1
3,958.0,1
3,3292.0,2
3,3108.0,1
3,408.0,1
3,2534.0,1
3,1892.0,1
3,3442.0,1
3,3600.0,1
3,626.0,1
3,976.0,1
3,3642.0,1
3,2950.0,1
3,2416.0,1
3,1108.0,1
3,2626.0,1
3,1326.0,1
3,8.0,1
3,3150.0,1
3,2342.0,1
3,2992.0,1
3,2008.0,1
4,526.0,14
4,534.0,10
4,542.0,10
4,742.0,3
4,750.0,2
4,758.0,4
4,776.0,3
4,984.0,7
4,1016.0,15
4,1466.0,4
4,3008.0,10
4,3842.0,3
4,76.0,7
4,484.0,7
4,576.0,8
4,1026.0,9
4,1166.0,9
4,1842.0,3
4,1934.0,7
4,2508.0,5
4,2584.0,10
4,3116.0,5
4,3158.0,7
4,3758.0,3
4,3766.0,10
4,476.0,10
4,500.0,34
4,584.0,5
4,1884.0,4
4,492.0,10
4,1500.0,10
4,1850.0,4
4,2526.0,11
4,3926.0,7
4,134.0,5
4,258.0,6
4,276.0,6
4,842.0,2
4,1534.0,10
4,1558.0,8
4,2042.0,7
4,2084.0,6
4,3016.0,14
4,3576.0,3
4,3976.0,19
4,34.0,15
4,516.0,6
4,1008.0,11
4,1042.0,9
4,1476.0,8
4,1508.0,1
4,2016.0,7
4,2026.0,7
4,2516.0,7
4,3034.0,17
4,3042.0,9
4,3508.0,5
