X,Y,Total_de_notas
2,1342.0,1
2,1466.0,1
2,1950.0,1
2,3012.0,107
2,50.0,7
2,1554.0,5
2,2030.0,3
2,2562.0,6
2,3058.0,6
2,3538.0,3
2,74.0,6
2,1512.0,107
2,1988.0,3
2,2570.0,5
2,3558.0,3
2,92.0,7
2,1534.0,7
2,2020.0,5
2,2480.0,3
2,3000.0,5
2,3508.0,3
2,16.0,3
2,134.0,3
2,1530.0,5
2,1974.0,3
2,2988.0,7
2,76.0,7
2,1508.0,3
2,1966.0,3
2,2466.0,3
2,3016.0,10
2,3530.0,3
2,104.0,3
2,1412.0,3
2,1958.0,3
2,2458.0,3
2,2974.0,2
2,3500.0,3
2,0.0,3
2,496.0,3
2,1008.0,7
2,1516.0,3
2,2076.0,1
2,3042.0,5
2,3050.0,3
2,3496.0,3
2,3516.0,7
2,58.0,7
2,62.0,7
2,70.0,5
2,1012.0,102
2,1016.0,6
2,1800.0,3
2,2158.0,3
2,2176.0,2
2,2266.0,3
2,1038.0,2
2,1042.0,8
2,1600.0,6
2,1604.0,4
2,3062.0,4
2,662.0,2
2,2038.0,2
2,3492.0,2
2,3704.0,2
2,3996.0,4
2,2012.0,20
2,642.0,2
2,946.0,2
2,954.0,2
2,1550.0,4
2,2008.0,2
2,2584.0,2
2,3624.0,1
2,3992.0,6
2,12.0,22
2,996.0,2
2,1034.0,6
2,1592.0,2
2,2512.0,34
2,2950.0,6
2,2954.0,8
2,3392.0,2
2,3980.0,2
2,3988.0,2
2,42.0,2
2,1562.0,4
2,1580.0,2
2,2970.0,12
2,2976.0,7
2,3600.0,2
2,20.0,4
2,84.0,2
2,974.0,4
2,980.0,2
2,1584.0,4
2,1596.0,2
2,2958.0,6
2,3570.0,2
2,538.0,2
2,870.0,2
2,1496.0,2
2,1912.0,2
2,2138.0,2
2,2312.0,2
2,2688.0,2
2,3580.0,2
2,930.0,2
2,1092.0,2
2,1624.0,1
2,1646.0,2
2,2534.0,2
2,3534.0,2
2,100.0,2
2,1076.0,1
2,1620.0,6
2,966.0,2
2,970.0,2
2,988.0,4
2,1612.0,2
2,3020.0,2
2,96.0,2
2,1000.0,2
2,1538.0,2
2,1570.0,2
2,2966.0,2
2,2980.0,2
2,604.0,2
2,1520.0,2
2,2034.0,2
2,2538.0,4
2,3642.0,2
2,600.0,2
2,1070.0,2
2,2054.0,4
2,3092.0,2
2,904.0,2
2,926.0,1
2,1112.0,2
2,2854.0,2
2,3866.0,2
2,280.0,2
2,596.0,2
2,876.0,2
2,1184.0,2
2,1458.0,2
2,1896.0,2
2,2166.0,2
2,3604.0,2
2,80.0,2
2,242.0,2
2,720.0,2
2,1104.0,2
2,2016.0,2
2,2434.0,2
2,3434.0,2
2,3904.0,2
2,2096.0,2
2,512.0,38
2,3512.0,78
2,2554.0,2
2,3030.0,4
2,3308.0,2
2,3696.0,2
2,3834.0,2
2,2454.0,2
2,3142.0,2
2,3612.0,2
2,392.0,2
2,716.0,2
2,1050.0,2
2,1370.0,2
2,1654.0,2
2,1976.0,2
2,2230.0,2
2,2530.0,2
2,542.0,2
2,992.0,2
2,1480.0,2
2,3412.0,2
2,146.0,2
2,534.0,2
2,1054.0,2
2,2062.0,2
2,2492.0,2
2,2074.0,2
2,2174.0,1
2,3626.0,1
2,1626.0,1
2,1074.0,1
2,924.0,1
3,16.0,147
3,1930.0,3
3,2016.0,113
3,3008.0,3
3,3016.0,111
3,3830.0,3
3,2096.0,5
3,2996.0,6
3,2138.0,3
3,2946.0,5
3,20.0,3
3,2158.0,3
3,2954.0,3
3,104.0,3
3,2104.0,7
3,2054.0,5
3,3092.0,5
3,0.0,7
3,2034.0,3
3,2938.0,5
3,74.0,5
3,3012.0,2
3,3988.0,4
3,2050.0,6
3,3042.0,2
3,3934.0,2
3,3020.0,2
3,3950.0,2
3,2992.0,4
3,2220.0,2
3,3000.0,4
3,42.0,4
3,2084.0,4
3,2974.0,1
3,3966.0,4
3,3854.0,4
3,2116.0,4
3,2854.0,2
3,12.0,2
3,1950.0,6
3,3096.0,6
3,3980.0,2
3,2100.0,2
3,2930.0,2
3,1992.0,3
3,3134.0,2
