X,Y,Total_de_notas
2,516.0,1
2,1730.0,1
2,2000.0,132
2,2266.0,24
2,2500.0,139
2,3880.0,24
2,0.0,119
2,308.0,51
2,500.0,137
2,2240.0,26
2,2390.0,26
2,166.0,30
2,396.0,26
2,2114.0,14
2,2230.0,14
2,3938.0,14
2,114.0,14
2,2100.0,19
2,2250.0,19
2,3916.0,19
2,198.0,19
2,1714.0,23
2,1588.0,27
2,2458.0,27
2,3958.0,27
2,1500.0,1
2,1516.0,1
2,2032.0,5
2,2364.0,1
2,3500.0,2
2,3516.0,2
2,32.0,5
2,364.0,2
2,1646.0,14
2,2406.0,14
2,6.0,28
2,292.0,14
2,2166.0,5
2,2380.0,5
2,546.0,4
2,1864.0,4
2,2546.0,3
2,3864.0,3
2,3876.0,3
2,380.0,4
2,1876.0,2
3,500.0,429
3,3896.0,212
3,3974.0,35
3,16.0,35
3,20.0,35
3,46.0,35
3,1000.0,35
3,1500.0,35
3,2000.0,35
3,2542.0,35
3,2562.0,35
3,2646.0,35
3,2698.0,35
3,3000.0,144
3,3364.0,70
3,3416.0,70
3,2114.0,42
3,172.0,4
3,2500.0,44
3,114.0,44
4,1042.0,1
4,1292.0,10
4,1542.0,8
4,1980.0,4
4,2000.0,42
4,2494.0,3
4,2516.0,1
4,2948.0,1
4,2958.0,22
4,3458.0,4
4,3500.0,3
4,16.0,1
4,42.0,25
4,1876.0,9
4,1916.0,11
4,84.0,19
4,1000.0,13
4,1500.0,15
4,2376.0,3
4,2500.0,18
4,3084.0,29
4,3542.0,9
4,3666.0,7
4,74.0,3
4,3708.0,15
4,1126.0,9
4,1880.0,3
4,2042.0,19
4,2792.0,11
4,2942.0,3
4,3792.0,14
4,334.0,9
4,458.0,17
4,1958.0,10
4,584.0,6
4,1084.0,6
4,1584.0,4
4,2250.0,17
4,3042.0,19
4,3464.0,3
4,3584.0,10
4,126.0,5
4,1334.0,9
4,1546.0,6
4,1994.0,3
4,2458.0,3
4,2980.0,3
4,3000.0,23
4,88.0,7
4,2084.0,7
4,3876.0,20
4,3916.0,21
4,666.0,3
4,1708.0,6
4,2334.0,8
4,2584.0,7
4,3172.0,3
4,3834.0,22
4,542.0,4
4,834.0,3
4,1792.0,18
4,2954.0,3
4,2964.0,7
4,250.0,3
4,1834.0,5
4,916.0,3
4,2416.0,4
4,2626.0,3
4,3126.0,11
4,208.0,4
4,2546.0,3
4,0.0,22
4,416.0,6
4,506.0,6
4,1296.0,3
4,1458.0,8
4,1750.0,7
4,2750.0,6
4,3958.0,13
4,2208.0,9
4,2542.0,14
4,10.0,3
4,510.0,3
4,562.0,6
4,1416.0,7
4,2876.0,5
4,3796.0,3
4,376.0,5
4,2834.0,5
4,552.0,3
4,1552.0,3
4,2074.0,3
4,2824.0,3
4,3166.0,5
4,500.0,6
4,626.0,5
4,1376.0,3
4,1464.0,3
4,2916.0,7
4,3046.0,3
4,546.0,3
4,630.0,3
4,1630.0,3
4,1250.0,2
4,2994.0,2
4,3250.0,3
4,958.0,2
4,3750.0,3
4,600.0,1
4,46.0,1
4,1714.0,1
4,3912.0,1
4,1954.0,1
4,166.0,1
4,2672.0,1
4,3626.0,1
4,1796.0,1
4,2068.0,1
4,2088.0,1
4,2666.0,1
4,3416.0,1
4,2016.0,2
4,3016.0,1
4,594.0,2
4,2214.0,1
4,708.0,1
4,1006.0,1
4,3838.0,2
5,916.0,2
5,1376.0,1
5,1458.0,1
5,1876.0,1
5,1958.0,2
5,2416.0,1
5,2458.0,1
5,2880.0,2
5,2958.0,2
5,3416.0,3
5,3458.0,2
5,3870.0,1
5,3880.0,1
5,464.0,2
5,562.0,1
5,2834.0,1
5,3042.0,4
5,3630.0,1
5,6.0,2
5,1042.0,1
5,1292.0,1
5,1542.0,1
5,2006.0,1
5,2474.0,1
5,2506.0,1
5,3916.0,3
5,552.0,1
5,3046.0,1
5,3922.0,1
5,458.0,1
5,500.0,2
5,584.0,2
5,714.0,2
5,2208.0,2
5,2542.0,2
5,3166.0,4
5,3500.0,4
5,16.0,2
5,46.0,2
5,1916.0,2
5,2464.0,2
5,3036.0,2
5,3588.0,2
5,416.0,2
5,542.0,2
5,666.0,2
5,2256.0,2
5,2500.0,2
5,42.0,2
5,2876.0,2
6,500.0,119
6,376.0,1
6,412.0,1
6,292.0,1
6,308.0,1
6,208.0,1
6,334.0,1
6,250.0,7
6,584.0,3
6,458.0,22
6,2458.0,11
6,2542.0,11
6,422.0,3
6,546.0,16
6,552.0,20
6,2416.0,8
6,2500.0,23
6,594.0,8
6,2584.0,8
6,3208.0,4
6,3876.0,4
6,506.0,3
6,448.0,1
7,1000.0,141
7,2156.0,94
7,2500.0,126
7,2964.0,47
7,3016.0,47
7,3500.0,131
7,3880.0,47
7,3922.0,47
7,520.0,32
7,532.0,32
7,1016.0,52
7,1042.0,32
7,1558.0,32
7,1562.0,32
7,2074.0,32
7,2084.0,32
7,3058.0,32
7,3062.0,57
7,3520.0,32
7,3542.0,32
7,500.0,80
7,964.0,22
7,1500.0,69
7,1906.0,20
7,1964.0,20
7,3000.0,83
7,3380.0,20
7,3458.0,20
7,1980.0,25
7,2000.0,25
7,3270.0,25
7,3672.0,25
7,0.0,25
7,464.0,25
7,2916.0,6
7,2974.0,6
7,3416.0,6
7,198.0,6
7,224.0,6
7,1990.0,2
7,2006.0,2
8,916.0,2
8,1376.0,1
8,1458.0,1
8,1876.0,1
8,1958.0,2
8,2416.0,1
8,2458.0,5
8,2880.0,2
8,2958.0,4
8,3416.0,3
8,3458.0,2
8,3870.0,1
8,3880.0,1
8,464.0,2
8,562.0,1
8,2834.0,1
8,3042.0,4
8,3630.0,1
8,6.0,10
8,1042.0,1
8,1292.0,1
8,1542.0,1
8,2006.0,1
8,2474.0,1
8,2506.0,1
8,3916.0,1
8,552.0,1
8,3046.0,1
8,3922.0,1
8,458.0,3
8,0.0,74
8,2250.0,44
8,2500.0,34
8,3750.0,40
8,2546.0,16
8,3714.0,8
8,16.0,8
8,500.0,30
8,506.0,12
8,1500.0,16
8,2256.0,6
8,546.0,2
8,666.0,4
8,750.0,2
8,2292.0,4
8,3292.0,2
8,3500.0,6
8,3958.0,2
8,84.0,2
8,3000.0,4
8,3666.0,2
8,2166.0,2
8,2542.0,2
8,3166.0,2
8,3834.0,2
9,500.0,547
9,708.0,8
9,750.0,462
9,1000.0,383
9,1250.0,327
9,1500.0,401
9,1750.0,318
9,2000.0,554
9,2250.0,461
9,2500.0,499
9,2750.0,398
9,3000.0,372
9,3208.0,27
