X,Y,Total_de_notas
2,0.0,32
2,240.0,18
2,250.0,19
2,490.0,41
2,500.0,42
2,990.0,31
2,1000.0,31
2,1240.0,22
2,1250.0,23
2,2480.0,4
2,2500.0,29
2,2990.0,26
2,3000.0,36
2,3490.0,25
2,3500.0,26
2,3990.0,26
2,3834.0,7
2,156.0,7
2,166.0,7
2,1490.0,32
2,1500.0,37
2,1740.0,22
2,1750.0,20
2,2490.0,27
2,3812.0,1
2,1980.0,2
2,2000.0,29
2,1084.0,1
2,2574.0,2
2,740.0,2
2,750.0,1
2,3740.0,16
2,3750.0,20
2,1990.0,29
2,2980.0,10
2,3240.0,29
2,3250.0,29
2,2240.0,25
2,2250.0,28
2,480.0,12
2,3730.0,4
2,1916.0,2
2,2156.0,2
2,2740.0,4
2,2750.0,3
2,3980.0,2
2,916.0,1
2,2406.0,1
2,2916.0,1
2,3656.0,1
2,1834.0,2
2,1166.0,1
2,2396.0,1
2,1584.0,1
2,2324.0,2
2,3480.0,1
2,2334.0,1
2,3074.0,1
2,834.0,1
2,1574.0,1
2,3824.0,1
3,500.0,147
3,1000.0,32
3,1250.0,33
3,2500.0,90
3,3000.0,46
3,3500.0,48
3,0.0,50
3,2750.0,8
3,3834.0,7
3,166.0,7
3,1500.0,58
3,1750.0,24
3,2000.0,41
3,250.0,23
3,750.0,1
3,3750.0,23
3,584.0,1
3,3250.0,44
3,3916.0,1
3,2250.0,46
3,3166.0,12
3,2166.0,2
3,1916.0,3
3,916.0,1
3,2916.0,2
3,1834.0,2
3,1166.0,1
3,1416.0,2
3,1584.0,1
3,3416.0,3
3,2334.0,1
3,834.0,1
4,500.0,74
4,2500.0,65
4,3000.0,18
4,3250.0,2
4,3500.0,27
4,3750.0,4
4,0.0,28
4,2000.0,55
4,1000.0,14
4,1500.0,14
4,250.0,14
4,2416.0,2
4,1416.0,1
4,2250.0,2
4,2750.0,1
5,500.0,50
5,490.0,43
5,2490.0,28
5,2500.0,17
5,2990.0,9
5,3000.0,8
5,3240.0,7
5,3250.0,7
5,3490.0,7
5,3500.0,7
5,3740.0,6
5,3750.0,14
5,3990.0,4
5,0.0,4
5,1990.0,4
5,2000.0,2
5,240.0,1
5,250.0,1
5,990.0,3
5,1000.0,1
5,2240.0,1
5,2250.0,1
5,584.0,5
5,3980.0,2
5,62.0,1
5,1230.0,1
5,2574.0,4
5,2750.0,4
6,500.0,233
6,1000.0,16
6,1500.0,16
6,2000.0,16
6,2500.0,142
6,3000.0,16
6,3500.0,89
6,0.0,14
6,490.0,2
6,646.0,1
6,282.0,2
6,386.0,1
6,458.0,3
6,260.0,1
6,292.0,1
6,416.0,5
6,334.0,2
6,438.0,4
6,324.0,1
6,428.0,1
6,480.0,2
6,344.0,1
6,364.0,1
6,448.0,1
6,2438.0,1
6,2448.0,1
6,2458.0,1
6,510.0,8
7,500.0,234
7,2500.0,149
7,3500.0,151
7,1500.0,2
8,500.0,380
8,750.0,34
8,1000.0,39
8,1500.0,51
8,1750.0,36
8,2000.0,43
8,2250.0,16
8,2500.0,192
8,2750.0,36
8,3000.0,36
8,3250.0,16
8,3500.0,184
8,3750.0,35
8,0.0,46
8,250.0,13
8,1250.0,6
8,510.0,15
8,520.0,3
8,532.0,3
8,3938.0,2
8,3948.0,2
8,3958.0,2
8,3968.0,1
8,20.0,1
8,188.0,2
8,208.0,1
8,240.0,1
8,396.0,1
8,468.0,2
8,480.0,2
8,3760.0,1
8,3916.0,1
8,3928.0,1
8,864.0,1
8,1074.0,1
8,1458.0,1
8,3666.0,1
8,3802.0,1
8,84.0,1
8,1948.0,1
8,1990.0,1
8,2480.0,2
8,3834.0,1
8,3854.0,1
8,3864.0,1
8,3896.0,1
8,490.0,1
8,3782.0,1
8,3844.0,1
8,3876.0,1
8,32.0,1
8,3260.0,1
8,3292.0,1
8,3302.0,1
8,3324.0,1
8,3386.0,1
8,3416.0,1
8,3438.0,1
8,3448.0,3
8,292.0,1
8,302.0,1
8,312.0,2
8,458.0,1
9,1042.0,1
9,1188.0,1
9,1324.0,1
9,1500.0,166
9,3000.0,104
9,3146.0,1
9,3292.0,1
9,3468.0,1
9,1032.0,1
9,1178.0,1
9,1312.0,1
9,1490.0,1
9,3042.0,2
9,3188.0,1
9,3334.0,4
9,3500.0,171
9,1084.0,1
9,1218.0,1
9,1364.0,2
9,1532.0,1
9,3052.0,2
9,3178.0,2
9,3520.0,1
9,1052.0,1
9,1198.0,1
9,1334.0,1
9,1094.0,1
9,1208.0,1
9,1542.0,1
9,3166.0,1
9,1010.0,1
9,1136.0,1
9,1292.0,1
9,1480.0,1
9,1000.0,103
9,1250.0,2
9,2500.0,218
9,3250.0,1
9,500.0,276
9,2000.0,210
9,3750.0,7
9,0.0,109
9,250.0,6
9,2084.0,2
9,1750.0,1
9,2250.0,1
9,126.0,1
