X,Y,Total_de_notas
2,3032.0,2
2,3782.0,1
2,3880.0,2
2,10.0,1
2,1396.0,1
2,1938.0,1
2,2380.0,1
2,2714.0,1
2,3942.0,1
2,464.0,3
2,980.0,13
2,1416.0,1
2,1964.0,1
2,2454.0,1
2,2968.0,8
2,3282.0,1
2,3666.0,1
2,3796.0,1
2,3750.0,2
2,3990.0,3
2,1480.0,1
2,2016.0,1
2,2432.0,2
2,2770.0,1
2,0.0,11
2,494.0,1
2,984.0,1
2,1454.0,1
2,1968.0,6
2,2484.0,3
2,3000.0,9
2,3286.0,4
2,3828.0,3
2,3958.0,6
2,510.0,1
2,536.0,1
2,1006.0,3
2,1318.0,1
2,1678.0,3
2,1682.0,1
2,3224.0,7
2,3458.0,7
2,6.0,1
2,32.0,1
2,1536.0,1
2,2000.0,11
2,3500.0,5
2,3984.0,8
2,626.0,1
2,834.0,1
2,1100.0,1
2,2942.0,4
2,3412.0,1
2,3766.0,1
2,3718.0,1
2,3850.0,1
2,3928.0,1
2,454.0,3
2,928.0,4
2,954.0,15
2,1296.0,1
2,1662.0,2
2,3120.0,1
2,3406.0,1
2,3980.0,3
2,876.0,1
2,1286.0,3
2,1574.0,1
2,2500.0,4
2,3380.0,1
2,3948.0,7
2,442.0,1
2,600.0,1
2,782.0,1
2,912.0,1
2,1016.0,3
2,2406.0,1
2,2876.0,1
2,3292.0,1
2,3678.0,1
2,3760.0,2
2,1428.0,6
2,1692.0,6
2,1954.0,6
2,2218.0,7
2,2756.0,6
2,3256.0,8
2,3494.0,6
2,1380.0,6
2,1770.0,6
2,2058.0,6
2,2730.0,11
2,3250.0,3
2,2266.0,16
2,2292.0,12
2,2760.0,12
2,2994.0,12
2,3442.0,4
2,2250.0,4
2,2692.0,2
2,2750.0,2
2,2744.0,1
2,3026.0,1
2,2260.0,1
2,2698.0,1
2,3042.0,1
2,3350.0,1
2,204.0,1
2,484.0,1
2,744.0,1
2,1750.0,3
2,3770.0,1
2,3876.0,1
2,218.0,7
2,688.0,7
2,968.0,14
2,2286.0,7
2,2308.0,7
2,2776.0,7
2,3010.0,7
2,270.0,14
2,714.0,14
2,1980.0,7
2,2708.0,7
2,2734.0,7
2,2974.0,9
2,260.0,5
2,698.0,5
2,724.0,5
2,938.0,5
2,942.0,5
2,2234.0,10
2,2724.0,5
2,2958.0,5
2,2990.0,5
2,3964.0,5
2,250.0,10
2,718.0,10
2,2006.0,5
2,1730.0,2
2,3270.0,2
2,3558.0,2
2,3994.0,2
2,1000.0,2
2,1282.0,4
2,1698.0,2
2,2568.0,2
2,3006.0,2
2,3448.0,2
2,428.0,2
2,604.0,2
2,864.0,2
2,1042.0,2
2,2020.0,2
2,2948.0,2
