X,Y,Total_de_notas
2,1250.0,30
2,1584.0,40
2,1792.0,12
2,2084.0,24
2,2208.0,18
2,2708.0,15
2,3042.0,92
2,3542.0,96
2,542.0,111
2,3500.0,70
2,1042.0,57
2,1208.0,27
2,1542.0,139
2,1708.0,17
2,2042.0,59
2,2750.0,45
2,3458.0,66
2,3584.0,30
2,458.0,31
2,2542.0,185
2,1334.0,6
2,1750.0,11
2,2250.0,19
2,3084.0,48
2,3376.0,9
2,584.0,16
2,1000.0,64
2,1626.0,12
2,2458.0,60
2,2584.0,24
2,1084.0,39
2,1500.0,39
2,916.0,9
2,1916.0,21
2,2166.0,16
2,3250.0,14
2,0.0,187
2,42.0,164
2,1874.0,2
2,2374.0,2
2,3292.0,9
2,124.0,10
2,3166.0,20
2,2000.0,72
2,2292.0,9
2,2500.0,67
2,3208.0,5
2,3958.0,64
2,84.0,168
2,1124.0,8
2,2958.0,44
2,126.0,61
2,1166.0,17
2,1458.0,95
2,1958.0,34
2,3000.0,58
2,958.0,19
2,2876.0,6
2,3626.0,11
2,1292.0,11
2,500.0,39
2,1126.0,23
2,3124.0,9
2,3334.0,10
2,2334.0,17
2,2792.0,12
2,3666.0,10
2,3834.0,4
2,2626.0,15
2,2834.0,13
2,1834.0,14
2,2416.0,22
2,3416.0,9
2,3624.0,2
2,876.0,26
2,376.0,2
2,2126.0,16
2,2666.0,13
2,208.0,15
2,626.0,5
2,3126.0,33
2,1416.0,12
2,1666.0,17
2,3792.0,10
2,334.0,4
2,834.0,6
2,416.0,2
2,2916.0,10
2,166.0,33
2,3916.0,18
2,792.0,8
2,1876.0,5
2,750.0,8
2,3876.0,4
2,666.0,5
2,250.0,8
2,3750.0,2
2,292.0,6
2,1376.0,3
2,708.0,4
2,3708.0,3
2,624.0,2
2,2624.0,3
2,1624.0,1
2,2124.0,3
2,874.0,1
2,374.0,1
2,3374.0,1
2,2874.0,3
2,3874.0,4
