X,Y,Total_de_notas
2,0.0,53
2,500.0,24
2,584.0,32
2,2000.0,9
2,2584.0,8
2,2016.0,4
2,26.0,2
2,42.0,1
2,1968.0,1
2,1984.0,1
2,2994.0,1
2,3016.0,1
2,3000.0,57
2,3330.0,28
2,3500.0,28
2,3904.0,28
2,334.0,28
2,630.0,28
2,834.0,36
2,1152.0,22
2,1150.0,6
2,3708.0,4
2,3750.0,4
2,416.0,8
2,1000.0,25
2,1026.0,4
2,1750.0,4
2,1756.0,4
2,2498.0,4
2,2500.0,4
2,3274.0,4
2,3286.0,4
2,3334.0,8
2,3572.0,4
2,3580.0,4
2,770.0,4
2,786.0,4
2,1104.0,4
2,1126.0,2
2,1124.0,2
2,1024.0,1
2,2010.0,1
2,1034.0,2
2,3010.0,2
2,1046.0,2
2,490.0,1
2,494.0,1
2,1010.0,1
2,1014.0,1
2,1994.0,1
2,2020.0,1
2,2984.0,1
2,3014.0,1
2,2902.0,1
2,1584.0,16
2,3584.0,4
3,0.0,39
4,666.0,2
4,834.0,10
4,854.0,2
4,1000.0,4
4,1140.0,2
4,1166.0,2
4,1334.0,4
4,1500.0,4
4,1666.0,4
4,1834.0,4
4,2000.0,4
4,2166.0,4
4,2334.0,2
4,1516.0,2
4,1682.0,2
4,1704.0,2
4,1848.0,4
4,1990.0,2
4,2016.0,2
4,2182.0,4
4,2350.0,2
4,2516.0,4
4,2682.0,4
4,2848.0,4
4,3016.0,4
4,3182.0,2
4,2348.0,2
4,3000.0,8
4,3274.0,4
4,3286.0,4
4,3334.0,8
4,3572.0,4
4,3580.0,4
4,500.0,8
4,770.0,4
4,786.0,4
4,1104.0,4
4,1126.0,2
4,1124.0,2
5,0.0,26
5,416.0,10
5,3500.0,11
5,500.0,7
5,834.0,4
5,3750.0,10
5,708.0,2
5,1250.0,3
5,1750.0,6
5,3000.0,23
5,750.0,3
5,1334.0,4
5,3584.0,2
5,1000.0,11
5,2000.0,6
5,2718.0,2
5,468.0,2
5,990.0,2
5,334.0,2
5,3454.0,2
5,3678.0,2
5,3266.0,2
5,3484.0,2
5,730.0,2
5,1490.0,2
5,1796.0,2
5,1500.0,4
5,2516.0,2
5,3464.0,2
5,3730.0,2
5,2500.0,6
5,2042.0,3
5,2532.0,3
5,2844.0,3
5,3318.0,4
5,3802.0,4
5,1834.0,1
5,2006.0,1
5,2510.0,1
5,2860.0,1
5,2250.0,1
5,2692.0,1
5,3766.0,2
5,250.0,1
5,3328.0,2
5,3760.0,2
5,8.0,3
5,302.0,2
5,710.0,2
5,982.0,4
5,1756.0,1
5,1984.0,1
5,2354.0,1
5,2776.0,1
5,3034.0,1
5,3792.0,1
5,44.0,1
5,2008.0,1
5,2796.0,1
5,3352.0,1
5,3024.0,1
5,994.0,2
5,1786.0,1
5,2494.0,1
5,3516.0,1
5,32.0,1
5,402.0,1
5,704.0,1
5,1782.0,1
5,2490.0,1
5,3490.0,1
5,518.0,1
5,1018.0,1
5,1768.0,1
5,2492.0,1
5,1740.0,1
5,3466.0,1
5,3948.0,1
5,352.0,1
5,718.0,1
5,1012.0,1
5,1742.0,1
5,3482.0,1
5,3994.0,2
5,508.0,1
5,1010.0,1
5,1714.0,1
5,2440.0,1
5,2750.0,1
5,2316.0,1
5,3334.0,1
5,2784.0,1
5,3744.0,1
5,3992.0,1
5,664.0,1
5,928.0,2
5,1472.0,1
5,2002.0,1
5,2484.0,1
5,3316.0,1
5,3458.0,1
5,974.0,1
5,1292.0,1
5,1998.0,1
5,2296.0,1
5,2956.0,1
5,3296.0,1
5,16.0,1
5,482.0,1
5,762.0,1
5,3006.0,1
5,3274.0,1
5,3716.0,1
5,466.0,1
5,740.0,2
5,2972.0,1
5,3290.0,1
5,430.0,1
5,1258.0,1
5,3042.0,1
5,3532.0,1
5,3844.0,1
5,318.0,1
5,802.0,1
6,1526.0,13
6,1994.0,11
6,2000.0,54
6,3000.0,106
6,0.0,52
6,1500.0,10
6,500.0,6
6,3984.0,2
6,68.0,1
6,136.0,3
6,188.0,1
6,224.0,1
6,230.0,1
6,282.0,1
6,334.0,1
6,354.0,1
6,432.0,1
6,448.0,1
6,510.0,2
6,526.0,2
6,584.0,10
6,604.0,1
6,692.0,1
6,724.0,1
6,786.0,1
6,792.0,2
6,864.0,1
6,880.0,3
6,958.0,1
6,964.0,3
6,1046.0,1
6,1058.0,1
6,1120.0,1
6,1156.0,1
6,1244.0,1
6,1266.0,1
6,1360.0,1
6,1390.0,1
6,1442.0,1
6,1464.0,1
6,1532.0,1
6,1584.0,6
6,1604.0,1
6,1620.0,1
6,1698.0,1
6,1704.0,1
6,1786.0,1
6,1796.0,1
6,1864.0,1
6,1896.0,1
6,1984.0,1
6,2006.0,1
6,2104.0,2
6,2130.0,1
6,2182.0,1
6,2204.0,2
6,2318.0,1
6,2322.0,4
6,2390.0,1
6,2406.0,1
6,2484.0,1
6,2490.0,2
6,2572.0,2
6,2584.0,3
6,2652.0,1
6,2682.0,3
6,2770.0,1
6,2792.0,4
6,2890.0,1
6,2916.0,15
6,2968.0,1
6,2990.0,1
6,3110.0,1
6,6.0,7
6,1000.0,48
6,1416.0,2
6,1428.0,2
6,1432.0,2
