X,Y,Total_de_notas
2,0.0,36
2,2000.0,52
2,500.0,17
2,1500.0,34
2,2500.0,32
2,3500.0,31
2,1000.0,28
2,3000.0,43
2,666.0,1
2,1334.0,1
2,2250.0,1
2,1250.0,2
3,0.0,176
3,1000.0,117
3,2500.0,93
3,132.0,5
3,262.0,3
3,400.0,3
3,2000.0,44
3,3000.0,24
3,62.0,2
3,200.0,2
4,0.0,50
4,498.0,7
4,500.0,12
4,1498.0,12
4,1500.0,12
4,2498.0,5
4,2500.0,5
4,3498.0,6
4,3500.0,6
4,3998.0,56
4,998.0,30
4,1000.0,31
4,1998.0,40
4,2000.0,40
4,2998.0,39
4,3000.0,39
5,0.0,65
5,498.0,56
5,500.0,61
5,1498.0,60
5,1500.0,66
5,1998.0,63
5,2000.0,57
5,2498.0,56
5,2500.0,62
5,2624.0,52
5,2626.0,52
5,2748.0,52
5,2750.0,52
5,2998.0,71
5,3000.0,65
5,3498.0,56
5,3500.0,62
5,3998.0,71
5,624.0,3
5,626.0,3
5,748.0,3
5,750.0,3
5,998.0,13
5,1000.0,8
6,0.0,71
6,1898.0,26
6,3798.0,37
6,2000.0,11
6,3898.0,5
6,948.0,6
6,1000.0,6
6,1948.0,6
6,2948.0,6
6,3000.0,6
6,3948.0,6
6,3598.0,2
7,500.0,11
7,1498.0,13
7,1500.0,13
7,1998.0,43
7,2000.0,43
7,2498.0,10
7,2500.0,10
7,3498.0,10
7,3500.0,10
7,3998.0,66
7,0.0,58
7,998.0,29
7,1000.0,32
7,498.0,7
7,3000.0,33
7,2998.0,32
7,2248.0,1
7,2250.0,1
8,500.0,51
8,998.0,59
8,1500.0,46
8,1998.0,63
8,2500.0,67
8,2998.0,67
8,3500.0,51
8,3998.0,77
8,0.0,38
8,1000.0,36
8,3000.0,41
8,2000.0,24
8,498.0,15
8,2498.0,25
8,3498.0,28
8,248.0,3
8,250.0,3
8,748.0,15
8,750.0,15
8,1248.0,9
8,1250.0,9
8,1748.0,19
8,1750.0,19
8,2248.0,17
8,2250.0,17
8,2748.0,15
8,2750.0,15
8,3248.0,8
8,3250.0,8
8,3748.0,8
8,3750.0,8
8,624.0,7
8,626.0,7
8,2624.0,6
8,2626.0,6
8,1498.0,20
8,124.0,1
8,126.0,1
8,374.0,1
8,376.0,1
8,874.0,1
8,876.0,1
8,1124.0,1
8,1126.0,1
8,1374.0,1
8,1376.0,1
8,1624.0,1
8,1626.0,1
8,1874.0,1
8,1876.0,1
9,1000.0,49
9,1498.0,61
9,3000.0,58
9,3498.0,41
9,0.0,38
9,1500.0,35
9,2998.0,40
9,3998.0,48
9,1998.0,27
9,2000.0,32
9,3500.0,23
9,998.0,22
9,498.0,18
9,500.0,26
9,2498.0,19
9,2500.0,27
9,2748.0,23
9,2750.0,23
9,60.0,2
9,62.0,2
9,124.0,10
9,126.0,10
9,186.0,2
9,188.0,2
9,248.0,10
9,250.0,11
9,310.0,2
9,312.0,2
9,374.0,10
9,376.0,10
9,436.0,2
9,438.0,2
9,624.0,10
9,626.0,10
9,748.0,19
9,750.0,19
9,874.0,10
9,876.0,10
9,1124.0,10
9,1126.0,10
9,1248.0,11
9,1250.0,11
9,1374.0,6
9,1376.0,6
9,1748.0,11
9,1750.0,11
9,2248.0,19
9,2250.0,6
9,2624.0,1
9,2626.0,1
9,1624.0,4
9,1626.0,4
9,1874.0,4
9,1876.0,4
9,3248.0,4
9,3250.0,4
9,3748.0,4
9,3750.0,4
