X,Y,Total_de_notas
2,0.0,40
2,498.0,18
2,500.0,18
2,748.0,9
2,750.0,9
2,998.0,14
2,1000.0,14
2,1248.0,21
2,1250.0,21
2,1498.0,33
2,1500.0,33
2,1748.0,24
2,1750.0,24
2,1998.0,33
2,2000.0,33
2,2998.0,11
2,3000.0,11
2,3998.0,40
2,2248.0,9
2,2250.0,9
2,2498.0,14
2,2500.0,14
2,2748.0,10
2,2750.0,10
2,3248.0,11
2,3250.0,11
2,3498.0,22
2,3500.0,22
2,3748.0,18
2,3750.0,18
2,2624.0,2
2,2626.0,2
2,248.0,15
2,250.0,15
2,624.0,2
2,626.0,2
2,1374.0,6
2,1376.0,6
2,1624.0,3
2,1626.0,3
2,3124.0,3
2,3126.0,3
2,3374.0,3
2,3376.0,3
2,1874.0,5
2,1876.0,5
2,3874.0,2
2,3876.0,2
2,2874.0,2
2,2876.0,2
2,124.0,2
2,126.0,2
3,0.0,25
3,998.0,24
3,1000.0,24
3,1998.0,24
3,2000.0,24
3,498.0,21
3,500.0,22
3,748.0,10
3,750.0,10
3,1498.0,23
3,1500.0,23
3,1748.0,6
3,1750.0,6
3,2498.0,23
3,1248.0,6
3,1250.0,6
3,2500.0,19
3,2748.0,17
3,2750.0,17
3,2998.0,16
3,3000.0,16
3,3498.0,15
3,3500.0,15
3,3998.0,22
3,3248.0,9
3,3250.0,9
3,3748.0,5
3,3750.0,5
3,2248.0,9
3,2250.0,9
3,248.0,2
3,250.0,2
4,0.0,28
4,1998.0,37
4,2000.0,37
4,3998.0,24
4,998.0,27
4,1000.0,27
4,498.0,31
4,500.0,31
4,1498.0,33
4,1500.0,33
4,2498.0,16
4,2500.0,12
4,2998.0,19
4,3000.0,19
4,3498.0,14
4,3500.0,14
4,2748.0,12
4,2750.0,12
4,248.0,8
4,250.0,8
4,748.0,11
4,750.0,11
4,1248.0,7
4,1250.0,7
4,1748.0,9
4,1750.0,9
4,3248.0,5
4,3250.0,5
4,3748.0,5
4,3750.0,5
5,0.0,42
5,498.0,42
5,500.0,42
5,998.0,42
5,1000.0,42
5,1498.0,42
5,1500.0,42
5,1998.0,42
5,2000.0,42
5,2498.0,40
5,2500.0,40
5,2998.0,40
5,3000.0,40
5,3498.0,40
5,3500.0,40
5,3998.0,42
5,2248.0,2
5,2250.0,2
5,2748.0,2
5,2750.0,2
5,3248.0,2
5,3250.0,2
5,3748.0,2
5,3750.0,2
