X,Y,Total_de_notas
2,2750.0,37
2,2998.0,48
2,0.0,49
2,248.0,31
2,250.0,33
2,748.0,41
2,750.0,45
2,998.0,50
2,1000.0,48
2,1498.0,29
2,1500.0,30
2,1998.0,56
2,2000.0,50
2,2498.0,39
2,2500.0,35
2,1248.0,36
2,1250.0,37
2,1748.0,44
2,1750.0,44
2,498.0,35
2,500.0,31
2,2248.0,33
2,2250.0,33
2,2748.0,30
3,2750.0,35
3,2998.0,47
3,0.0,45
3,248.0,30
3,250.0,35
3,748.0,44
3,750.0,48
3,998.0,51
3,1000.0,49
3,1498.0,31
3,1500.0,32
3,1998.0,52
3,2000.0,45
3,2498.0,40
3,2500.0,38
3,1248.0,39
3,1250.0,40
3,1748.0,41
3,1750.0,41
3,498.0,38
3,500.0,34
3,2248.0,30
3,2250.0,31
3,2748.0,30
4,2500.0,33
4,2748.0,25
4,2750.0,27
4,2998.0,40
4,0.0,39
4,498.0,32
4,500.0,30
4,748.0,35
4,750.0,37
4,998.0,43
4,1000.0,40
4,1248.0,30
4,1250.0,31
4,1498.0,28
4,1500.0,29
4,2248.0,25
4,2250.0,25
4,250.0,28
4,1748.0,31
4,1750.0,31
4,1998.0,42
4,2000.0,37
4,2498.0,33
4,248.0,23
5,2500.0,33
5,2748.0,28
5,2750.0,31
5,2998.0,42
5,0.0,41
5,498.0,33
5,500.0,31
5,748.0,38
5,750.0,40
5,998.0,46
5,1000.0,43
5,1248.0,32
5,1250.0,33
5,1498.0,30
5,1500.0,30
5,2248.0,28
5,2250.0,28
5,250.0,31
5,1748.0,34
5,1750.0,34
5,1998.0,43
5,2000.0,39
5,2498.0,34
5,248.0,26
