X,Y,Total_de_notas
1,240.0,24
1,479.0,26
1,480.0,28
1,599.0,45
1,600.0,45
1,719.0,46
1,720.0,46
1,839.0,46
1,840.0,46
1,959.0,35
1,0.0,30
1,239.0,22
1,299.0,2
1,300.0,2
1,359.0,14
1,360.0,14
1,419.0,2
1,420.0,2
1,539.0,2
1,540.0,2
1,659.0,2
1,660.0,2
1,119.0,11
1,120.0,12
2,240.0,24
2,479.0,26
2,480.0,28
2,599.0,45
2,600.0,45
2,719.0,46
2,720.0,46
2,839.0,46
2,840.0,46
2,959.0,37
2,0.0,32
2,239.0,22
2,299.0,2
2,300.0,2
2,359.0,14
2,360.0,14
2,419.0,2
2,420.0,2
2,539.0,2
2,540.0,2
2,659.0,2
2,660.0,2
2,119.0,11
2,120.0,12
3,240.0,24
3,479.0,26
3,480.0,28
3,599.0,45
3,600.0,45
3,719.0,46
3,720.0,46
3,839.0,46
3,840.0,46
3,959.0,37
3,0.0,32
3,239.0,22
3,299.0,2
3,300.0,2
3,359.0,14
3,360.0,14
3,419.0,2
3,420.0,2
3,539.0,2
3,540.0,2
3,659.0,2
3,660.0,2
3,119.0,11
3,120.0,12
4,240.0,24
4,479.0,26
4,480.0,28
4,599.0,45
4,600.0,45
4,719.0,46
4,720.0,46
4,839.0,46
4,840.0,46
4,959.0,37
4,0.0,32
4,239.0,22
4,299.0,2
4,300.0,2
4,359.0,14
4,360.0,14
4,419.0,2
4,420.0,2
4,539.0,2
4,540.0,2
4,659.0,2
4,660.0,2
4,119.0,11
4,120.0,12
