X,Y,Total_de_notas
3,0.0,20
3,1000.0,19
3,2000.0,21
3,500.0,21
3,1500.0,21
3,2500.0,21
3,1750.0,3
3,2750.0,3
3,750.0,3
4,2500.0,70
4,0.0,64
4,500.0,67
4,1000.0,68
4,1500.0,69
4,2000.0,66
4,750.0,12
4,1750.0,12
4,2750.0,10
4,250.0,3
4,1250.0,2
4,2250.0,2
5,2000.0,29
5,500.0,35
5,1000.0,29
5,2500.0,35
5,1500.0,35
5,0.0,27
6,0.0,33
6,1500.0,37
6,2000.0,29
6,500.0,37
6,2500.0,38
6,1000.0,29
7,1000.0,57
7,2500.0,123
7,1500.0,123
7,500.0,117
7,2000.0,57
7,0.0,51
8,1000.0,112
8,0.0,113
8,2000.0,116
8,2500.0,57
8,500.0,55
8,1500.0,56
