X,Y,Total_de_notas
2,500.0,32
2,1000.0,56
2,1500.0,31
2,2000.0,48
2,2500.0,35
2,3000.0,54
2,3126.0,4
2,3250.0,10
2,3500.0,35
2,0.0,49
2,334.0,8
2,666.0,8
2,1250.0,2
2,3750.0,6
2,750.0,5
2,1750.0,1
2,2250.0,1
2,2750.0,1
3,1000.0,11
3,1126.0,11
3,1250.0,11
3,1376.0,11
3,3000.0,12
3,3126.0,12
3,3250.0,12
3,3376.0,12
4,3000.0,82
4,0.0,78
4,2000.0,57
4,1000.0,63
4,1500.0,15
4,2500.0,15
4,3500.0,15
4,3250.0,4
4,3750.0,15
4,500.0,6
4,750.0,2
4,1750.0,6
5,3000.0,105
5,0.0,148
5,2000.0,102
5,1000.0,108
6,3000.0,76
6,0.0,76
6,1000.0,104
6,2000.0,104
7,3000.0,66
7,2000.0,60
7,1000.0,66
7,0.0,6
8,3100.0,6
8,3692.0,2
8,3892.0,9
8,50.0,54
8,1058.0,53
8,2050.0,57
8,3042.0,28
8,550.0,9
8,1042.0,43
8,1558.0,9
8,2058.0,46
8,3050.0,47
8,58.0,48
8,1050.0,67
8,2558.0,8
8,3700.0,6
8,3884.0,8
8,42.0,37
8,2042.0,39
8,3058.0,35
8,516.0,2
8,1550.0,10
8,2526.0,2
8,3066.0,4
8,3716.0,5
8,3876.0,7
8,558.0,6
8,2542.0,5
8,3708.0,7
8,3726.0,4
8,542.0,7
8,1534.0,2
8,2550.0,5
8,1526.0,2
8,2516.0,2
8,2208.0,1
8,2392.0,1
8,2726.0,1
8,3000.0,3
8,534.0,1
8,2226.0,1
8,2384.0,1
8,2700.0,1
8,2858.0,1
8,3084.0,2
8,2534.0,1
8,1000.0,3
8,1492.0,1
8,1992.0,1
8,3158.0,1
8,3316.0,1
8,3500.0,1
8,3658.0,1
8,3942.0,1
8,3992.0,1
8,0.0,3
