X,Y,Total_de_notas
2,1016.0,50
2,1610.0,36
2,2568.0,14
2,2994.0,30
2,6.0,33
2,1000.0,22
2,2010.0,18
2,2604.0,3
2,2614.0,17
2,3568.0,17
2,16.0,47
2,32.0,2
2,1006.0,20
2,2016.0,48
2,3016.0,51
2,3610.0,32
2,568.0,12
2,1010.0,48
2,10.0,27
2,604.0,5
2,610.0,35
2,620.0,11
2,1568.0,15
2,3000.0,18
2,0.0,23
2,1026.0,14
2,2610.0,29
2,3010.0,17
2,3604.0,5
2,562.0,5
2,1994.0,18
2,614.0,9
2,2020.0,16
2,1614.0,10
2,3026.0,17
2,2620.0,7
2,2000.0,16
2,2026.0,12
2,2032.0,4
2,2036.0,7
2,3614.0,12
2,3620.0,10
2,2006.0,36
2,3020.0,14
2,3006.0,26
2,2656.0,13
2,20.0,8
2,1682.0,4
2,3036.0,2
2,3276.0,1
2,3990.0,8
2,3984.0,2
2,3994.0,10
2,1646.0,4
2,1656.0,11
2,656.0,11
2,666.0,9
2,2640.0,2
2,662.0,5
2,1032.0,6
2,3562.0,2
2,26.0,10
2,1020.0,7
2,1078.0,1
2,1652.0,3
2,1672.0,1
2,1834.0,1
2,2744.0,1
2,3640.0,6
2,260.0,1
2,1146.0,1
2,2094.0,3
2,2698.0,2
2,2718.0,3
2,2756.0,1
2,2890.0,1
2,78.0,3
2,230.0,1
2,2052.0,1
2,2074.0,1
2,2084.0,1
2,2480.0,1
2,3062.0,1
2,3074.0,2
2,3880.0,1
2,704.0,2
2,1516.0,1
2,2156.0,1
2,198.0,1
2,640.0,7
2,3574.0,2
2,3584.0,2
2,2058.0,1
2,2646.0,4
2,3100.0,1
2,3646.0,3
2,140.0,2
2,630.0,2
2,692.0,2
2,1224.0,1
2,1626.0,2
2,2130.0,1
2,2652.0,5
2,3104.0,2
2,1104.0,2
2,1604.0,6
2,1662.0,1
2,3182.0,2
2,708.0,4
2,1100.0,2
2,2042.0,1
2,2724.0,1
2,2902.0,1
2,3692.0,6
2,46.0,1
2,600.0,5
2,994.0,16
2,2536.0,1
2,3088.0,1
2,3546.0,2
2,3558.0,1
2,3578.0,1
2,3588.0,1
2,1302.0,6
2,3662.0,5
2,3942.0,1
2,3964.0,1
2,3974.0,1
2,166.0,1
2,2100.0,1
2,3058.0,4
2,3626.0,1
2,3698.0,3
2,3708.0,3
2,672.0,1
2,1156.0,1
2,1718.0,1
2,2182.0,1
2,2714.0,3
2,3084.0,2
2,3218.0,1
2,3240.0,1
2,3480.0,1
2,120.0,1
2,1396.0,1
2,1984.0,4
2,2188.0,1
2,3120.0,1
2,2672.0,2
2,2682.0,4
2,2688.0,3
2,2692.0,3
2,3652.0,2
2,3672.0,1
2,110.0,1
2,204.0,1
2,1140.0,2
2,3688.0,3
2,188.0,1
2,360.0,1
2,834.0,1
2,1370.0,1
2,1640.0,2
2,1948.0,1
2,2516.0,1
2,3308.0,1
2,626.0,1
2,636.0,2
2,1406.0,1
2,1678.0,1
2,2266.0,1
2,2588.0,1
2,3776.0,1
2,532.0,1
2,682.0,6
2,1636.0,1
2,130.0,1
2,714.0,2
2,1110.0,2
2,1620.0,4
2,1692.0,5
2,2088.0,2
2,2584.0,1
2,3136.0,1
2,3666.0,4
2,3682.0,1
2,182.0,1
