X,Y,Total_de_notas
8,0.0,19
9,0.0,21
0,0.0,12
7,0.0,10
2,0.0,14
10,0.0,4
11,0.0,3
13,0.0,8
14,0.0,6
0,48.0,7
14,48.0,8
11,48.0,4
8,96.0,19
9,96.0,24
0,96.0,12
11,96.0,5
14,96.0,10
0,97.0,6
8,144.0,19
9,144.0,20
0,144.0,10
7,144.0,11
13,144.0,12
10,144.0,6
8,192.0,18
9,192.0,24
0,192.0,6
7,192.0,9
11,192.0,4
14,192.0,8
0,193.0,8
8,240.0,9
0,240.0,11
13,240.0,4
10,240.0,2
8,288.0,22
9,288.0,23
0,288.0,13
11,288.0,3
14,288.0,6
8,336.0,20
9,336.0,14
0,336.0,8
7,336.0,10
0,1.0,10
0,2.0,8
8,48.0,8
11,144.0,2
14,144.0,4
0,145.0,8
0,146.0,6
2,240.0,9
11,240.0,3
14,240.0,6
0,289.0,9
0,290.0,9
11,336.0,1
14,336.0,2
10,96.0,3
13,96.0,6
2,144.0,11
2,288.0,16
10,336.0,1
13,336.0,2
10,48.0,1
13,48.0,2
12,288.0,2
2,336.0,8
12,336.0,1
9,383.0,1
9,240.0,2
7,240.0,1
12,0.0,1
9,48.0,3
12,144.0,1
7,288.0,1
2,192.0,7
2,200.0,1
2,96.0,8
0,98.0,2
10,192.0,2
13,192.0,4
0,241.0,1
0,242.0,1
0,337.0,4
0,338.0,2
2,48.0,6
0,49.0,2
0,50.0,3
0,194.0,2
10,288.0,2
13,288.0,4
0,340.0,2
