X,Y,Total_de_notas
2,0.0,472
2,1906.0,1
2,2000.0,336
2,1000.0,345
2,1500.0,71
2,2500.0,101
2,3500.0,71
2,1250.0,4
2,1750.0,7
2,3000.0,321
2,250.0,2
2,500.0,73
2,3750.0,1
2,3250.0,13
2,2250.0,20
2,2750.0,16
3,1000.0,38
3,1250.0,5
3,2000.0,61
3,2250.0,15
3,2750.0,30
3,3250.0,16
3,0.0,49
3,250.0,11
3,500.0,52
3,1500.0,40
3,1750.0,42
3,2500.0,47
3,3500.0,60
3,3750.0,44
3,3000.0,41
3,750.0,19
4,0.0,163
4,2000.0,50
5,0.0,124
5,1000.0,28
5,2000.0,88
5,3000.0,45
5,2250.0,11
5,2750.0,14
5,1500.0,35
5,2500.0,34
5,3500.0,51
5,500.0,21
5,1250.0,7
5,1750.0,12
5,3750.0,23
5,250.0,7
5,3250.0,14
5,3666.0,1
5,750.0,4
5,3334.0,1
5,2678.0,1
5,2740.0,1
5,344.0,1
5,1678.0,1
5,1802.0,1
5,1344.0,1
5,3324.0,1
5,1324.0,1
5,1156.0,1
5,1230.0,1
5,2166.0,1
5,2218.0,1
5,1594.0,12
5,1688.0,12
5,1770.0,12
5,94.0,6
5,188.0,6
5,270.0,6
5,594.0,6
5,688.0,6
5,770.0,6
5,1094.0,6
5,1188.0,6
5,1270.0,6
5,2094.0,6
5,2188.0,6
5,2270.0,6
5,2594.0,6
5,2688.0,6
5,2770.0,6
5,3094.0,6
5,3188.0,6
5,3270.0,6
5,3594.0,6
5,3688.0,6
5,3770.0,6
6,1500.0,3
6,1750.0,3
6,2000.0,3
6,2500.0,3
6,3500.0,9
6,0.0,9
6,3750.0,6
6,500.0,2
6,750.0,2
7,1500.0,28
7,2000.0,28
7,2500.0,28
7,3500.0,28
7,0.0,28
7,500.0,14
8,2000.0,303
8,2500.0,64
8,3000.0,304
8,3250.0,41
8,3500.0,96
8,0.0,320
8,1000.0,226
8,3750.0,30
8,2750.0,44
8,500.0,42
8,1500.0,23
8,250.0,1
8,750.0,18
8,1250.0,1
8,1750.0,17
8,2250.0,17
