X,Y,Total_de_notas
2,11.0,1
2,12.0,1
2,207.0,3
2,228.0,2
2,236.0,3
2,254.0,1
2,391.0,2
2,441.0,2
2,464.0,2
2,474.0,5
2,478.0,7
2,7.0,3
2,172.0,2
2,180.0,3
2,233.0,1
2,256.0,1
2,289.0,2
2,298.0,2
2,355.0,2
2,365.0,8
2,411.0,3
2,421.0,4
2,475.0,8
2,56.0,4
2,58.0,5
2,115.0,2
2,117.0,3
2,174.0,3
2,179.0,3
2,232.0,1
2,238.0,4
2,292.0,2
2,297.0,8
2,354.0,2
2,358.0,3
2,417.0,7
2,425.0,2
2,465.0,1
2,471.0,3
2,55.0,4
2,119.0,4
2,126.0,1
2,177.0,8
2,240.0,5
2,296.0,3
2,328.0,1
2,403.0,1
2,419.0,4
2,450.0,2
2,451.0,1
2,454.0,2
2,457.0,2
2,472.0,1
2,0.0,6
2,62.0,2
2,73.0,1
2,153.0,1
2,241.0,1
2,291.0,2
2,311.0,2
2,384.0,3
2,414.0,5
2,423.0,4
2,429.0,5
2,71.0,1
2,193.0,1
2,213.0,1
2,235.0,2
2,431.0,2
2,103.0,1
2,121.0,6
2,261.0,2
2,357.0,2
2,378.0,1
2,381.0,2
2,418.0,7
2,434.0,5
2,175.0,5
2,299.0,6
2,359.0,7
2,367.0,2
2,402.0,2
2,467.0,1
2,60.0,1
2,116.0,2
2,178.0,6
2,239.0,5
2,257.0,2
2,343.0,1
2,349.0,1
2,375.0,3
2,382.0,1
2,427.0,3
2,479.0,7
2,4.0,5
2,61.0,2
2,122.0,3
2,195.0,1
2,242.0,1
2,303.0,2
2,307.0,2
2,308.0,3
2,393.0,1
2,409.0,1
2,436.0,4
2,477.0,5
2,3.0,6
2,30.0,1
2,82.0,1
2,120.0,2
2,187.0,1
2,214.0,1
2,249.0,2
2,392.0,1
2,416.0,2
2,476.0,4
2,57.0,6
2,130.0,1
2,182.0,3
2,183.0,2
2,201.0,2
2,244.0,2
2,248.0,1
2,301.0,3
2,304.0,3
2,309.0,1
2,366.0,1
2,438.0,2
2,459.0,1
2,469.0,2
2,1.0,4
2,29.0,1
2,39.0,1
2,64.0,1
2,127.0,1
2,198.0,1
2,215.0,2
2,216.0,1
2,294.0,4
2,313.0,1
2,351.0,1
2,408.0,3
2,59.0,5
2,139.0,1
2,161.0,1
2,188.0,1
2,194.0,1
2,356.0,2
2,360.0,5
2,437.0,1
2,18.0,2
2,129.0,3
2,148.0,2
2,196.0,1
2,199.0,1
2,202.0,1
2,203.0,1
2,206.0,1
2,234.0,3
2,300.0,2
2,361.0,2
2,387.0,1
2,389.0,1
2,462.0,1
2,124.0,1
2,181.0,2
2,246.0,2
2,306.0,3
2,362.0,4
2,412.0,1
2,2.0,1
2,189.0,1
2,268.0,1
2,331.0,1
2,383.0,1
2,410.0,2
2,54.0,1
2,118.0,2
2,176.0,1
2,286.0,1
2,353.0,3
2,440.0,2
2,448.0,1
2,53.0,3
2,87.0,1
2,280.0,1
2,363.0,1
2,370.0,2
2,373.0,2
2,380.0,1
2,386.0,1
2,463.0,1
2,63.0,1
2,197.0,1
2,226.0,1
2,237.0,6
2,283.0,1
2,341.0,1
2,420.0,2
2,422.0,1
2,295.0,3
2,204.0,1
2,368.0,1
2,374.0,2
2,401.0,1
2,473.0,4
2,5.0,3
2,155.0,1
2,223.0,1
2,231.0,2
2,364.0,2
2,385.0,1
2,426.0,2
2,6.0,2
2,251.0,2
2,315.0,1
2,428.0,1
2,8.0,3
2,50.0,1
2,128.0,1
2,145.0,1
2,290.0,1
2,413.0,5
2,415.0,1
2,442.0,3
2,133.0,1
2,395.0,2
2,222.0,1
2,247.0,3
2,293.0,1
2,352.0,1
