X,Y,Total_de_notas
1,0.0,69
4,0.0,33
6,0.0,59
9,0.0,142
12,0.0,102
5,2.0,6
6,12.0,2
6,16.0,9
4,16.0,3
5,17.0,3
4,18.0,7
9,30.0,60
9,40.0,60
1,48.0,4
4,56.0,6
5,57.0,5
0,60.0,130
2,60.0,174
6,60.0,28
9,60.0,142
10,60.0,159
6,69.0,3
4,69.0,2
10,70.0,4
2,71.0,7
2,72.0,12
2,73.0,15
4,73.0,3
6,73.0,12
5,74.0,5
0,75.0,9
10,76.0,19
0,76.0,18
10,77.0,26
9,80.0,64
9,90.0,64
4,118.0,6
4,119.0,7
5,119.0,8
1,120.0,67
6,120.0,36
9,120.0,144
6,135.0,10
4,136.0,2
5,139.0,2
4,141.0,12
9,150.0,62
9,160.0,54
1,175.0,2
0,180.0,132
2,180.0,181
9,180.0,140
10,180.0,157
2,190.0,6
2,193.0,22
10,194.0,14
2,194.0,24
10,196.0,11
0,197.0,21
10,197.0,11
0,199.0,20
9,210.0,66
9,220.0,6
4,238.0,4
1,240.0,68
5,240.0,17
6,240.0,41
9,240.0,142
4,243.0,9
6,254.0,9
5,256.0,4
4,257.0,3
6,258.0,5
4,261.0,9
9,270.0,60
9,280.0,40
5,295.0,4
4,296.0,6
4,297.0,7
0,300.0,134
2,300.0,182
6,300.0,28
9,300.0,144
10,300.0,153
1,301.0,5
6,308.0,7
10,310.0,4
5,310.0,2
6,310.0,4
4,311.0,4
2,312.0,9
2,313.0,20
4,313.0,6
0,315.0,5
2,316.0,20
0,316.0,17
10,317.0,13
10,319.0,16
5,325.0,2
9,330.0,70
4,330.0,35
6,330.0,30
4,331.0,6
9,340.0,6
5,343.0,5
6,345.0,6
4,346.0,2
4,350.0,8
6,350.0,5
1,360.0,68
9,360.0,140
4,388.0,7
5,388.0,8
9,390.0,58
4,390.0,31
6,390.0,34
6,396.0,2
6,397.0,6
9,400.0,101
4,407.0,2
5,410.0,3
4,411.0,12
4,415.0,4
5,416.0,11
4,418.0,9
9,420.0,196
0,420.0,132
2,420.0,180
6,420.0,22
10,420.0,153
2,430.0,4
0,430.0,3
1,430.0,2
0,433.0,6
10,434.0,9
2,435.0,14
5,435.0,4
4,436.0,7
2,436.0,16
6,437.0,5
10,437.0,32
6,438.0,4
10,440.0,16
9,440.0,67
4,440.0,8
9,450.0,66
4,475.0,5
5,476.0,5
4,1.0,3
5,14.0,6
4,15.0,4
9,20.0,16
4,21.0,6
4,54.0,6
4,57.0,8
1,58.0,7
6,68.0,2
10,71.0,6
0,72.0,2
4,72.0,4
0,74.0,4
6,76.0,7
4,77.0,3
2,78.0,18
2,81.0,25
10,81.0,7
9,100.0,6
4,117.0,9
5,117.0,5
4,123.0,3
6,132.0,2
6,136.0,9
4,137.0,2
5,138.0,5
9,140.0,22
4,143.0,9
1,179.0,5
2,189.0,4
0,191.0,10
0,192.0,5
10,192.0,11
10,195.0,31
2,197.0,18
2,199.0,28
9,200.0,64
4,240.0,34
5,241.0,6
4,242.0,5
6,255.0,11
6,256.0,4
5,259.0,6
4,262.0,2
1,292.0,2
5,294.0,5
4,298.0,4
10,311.0,7
5,311.0,8
4,312.0,5
0,312.0,8
10,313.0,11
0,313.0,7
4,314.0,5
6,316.0,5
6,317.0,3
2,320.0,24
9,320.0,64
2,322.0,8
4,327.0,3
5,329.0,7
5,346.0,7
4,347.0,4
4,349.0,8
6,349.0,5
9,380.0,18
5,387.0,3
4,389.0,5
4,393.0,4
6,398.0,5
5,405.0,2
4,410.0,3
4,417.0,6
4,419.0,3
1,420.0,22
10,430.0,7
0,432.0,8
5,433.0,3
2,434.0,12
0,436.0,7
10,439.0,9
2,440.0,13
6,440.0,9
6,442.0,14
4,444.0,4
4,474.0,5
4,479.0,10
6,18.0,20
