X,Y,Total_de_notas
2,500.0,420
2,650.0,15
2,716.0,27
2,758.0,37
2,776.0,9
2,1000.0,577
2,1150.0,31
2,1234.0,51
2,1258.0,53
2,1284.0,19
2,1500.0,611
2,1692.0,6
2,1742.0,17
2,1758.0,14
2,1800.0,40
2,2500.0,352
2,2666.0,15
2,2684.0,16
2,2716.0,12
2,2734.0,27
2,3000.0,640
2,3208.0,18
2,3242.0,24
2,3258.0,30
2,3284.0,15
2,3500.0,353
2,3650.0,27
2,3776.0,21
2,3826.0,11
2,3858.0,40
2,634.0,14
2,1216.0,36
2,1226.0,20
2,1276.0,31
2,1734.0,20
2,1750.0,16
2,1776.0,45
2,2650.0,9
2,2708.0,24
2,3192.0,3
2,3226.0,18
2,3234.0,21
2,3716.0,6
2,3834.0,32
2,1176.0,32
2,1200.0,38
2,1242.0,19
2,1308.0,9
2,1792.0,77
2,1834.0,23
2,1884.0,15
2,2692.0,30
2,3216.0,12
2,3250.0,45
2,3676.0,17
2,3750.0,12
2,3758.0,20
2,600.0,3
2,616.0,8
2,684.0,26
2,750.0,14
2,1116.0,6
2,1676.0,3
2,1716.0,3
2,1766.0,20
2,2634.0,9
2,2742.0,6
2,2776.0,6
2,3176.0,6
2,3692.0,16
2,3708.0,37
2,3816.0,38
2,666.0,9
2,708.0,32
2,1100.0,3
2,1250.0,78
2,2676.0,12
2,3276.0,14
2,3316.0,12
2,3808.0,17
2,658.0,9
2,734.0,35
2,2626.0,3
2,3184.0,3
2,626.0,19
2,676.0,6
2,1134.0,22
2,1316.0,20
2,1650.0,3
2,1808.0,39
2,3742.0,9
2,3866.0,8
2,3876.0,3
2,3942.0,8
2,766.0,3
2,1300.0,21
2,1334.0,18
2,1708.0,3
2,1816.0,56
2,2642.0,3
2,3584.0,6
2,3700.0,6
2,3850.0,21
2,842.0,6
2,1292.0,21
2,1366.0,3
2,2700.0,6
2,3266.0,9
2,3726.0,6
2,3792.0,24
2,3884.0,13
2,800.0,8
2,1208.0,25
2,1826.0,14
2,2726.0,9
2,3292.0,12
2,3842.0,18
2,700.0,8
2,742.0,9
2,1842.0,50
2,3900.0,3
2,3916.0,8
2,784.0,3
2,2750.0,33
2,3134.0,3
2,1784.0,22
2,2800.0,9
2,3308.0,3
2,3800.0,34
2,692.0,28
2,1850.0,47
2,2808.0,9
2,3300.0,17
2,3626.0,21
2,2000.0,157
2,2766.0,3
2,0.0,188
2,434.0,4
2,508.0,4
2,516.0,4
2,1058.0,5
2,1700.0,5
2,2334.0,11
2,3026.0,2
2,3376.0,13
2,3634.0,13
2,792.0,5
2,1726.0,18
2,2258.0,8
2,2900.0,8
2,3350.0,5
2,3666.0,5
2,1876.0,39
2,2876.0,21
2,3400.0,10
2,2276.0,10
2,2816.0,8
2,3600.0,5
2,3734.0,23
2,1142.0,13
2,1184.0,8
2,2292.0,13
