X,Y,Total_de_notas
2,516.0,3
2,526.0,3
2,1000.0,4
2,1016.0,3
2,2516.0,7
2,3526.0,2
2,2458.0,1
2,2492.0,5
2,3492.0,3
2,492.0,5
2,500.0,34
2,508.0,5
2,992.0,3
2,2500.0,22
2,3500.0,5
2,1966.0,3
2,1976.0,4
2,2508.0,4
2,3966.0,1
2,2408.0,1
2,2476.0,2
2,2576.0,1
2,2334.0,2
2,2426.0,1
2,2534.0,6
2,308.0,1
2,376.0,1
2,476.0,1
2,1766.0,1
2,2108.0,1
2,2000.0,3
2,3766.0,3
2,3776.0,2
2,126.0,1
2,142.0,1
2,542.0,1
2,2416.0,1
2,1250.0,1
2,1500.0,5
2,2250.0,4
2,0.0,3
2,250.0,2
2,784.0,1
2,2216.0,3
2,2484.0,1
2,750.0,2
2,1750.0,4
2,2234.0,2
2,2258.0,1
2,2742.0,1
2,2750.0,2
2,3250.0,1
2,3258.0,2
2,3516.0,2
2,8.0,5
2,776.0,4
2,1776.0,2
2,2758.0,2
2,3234.0,2
2,3242.0,1
2,3534.0,2
2,34.0,2
2,1792.0,1
2,2276.0,2
2,3716.0,1
2,234.0,2
2,3450.0,1
2,3984.0,3
2,3008.0,1
2,3266.0,2
2,3750.0,1
2,3992.0,1
2,242.0,2
2,2058.0,1
2,2308.0,1
2,1026.0,1
2,1034.0,1
2,1734.0,1
2,1742.0,1
2,1758.0,1
2,2526.0,1
2,3276.0,1
2,826.0,3
2,1534.0,1
2,1542.0,1
2,1550.0,1
2,2266.0,1
2,3026.0,2
2,3092.0,1
2,3742.0,1
2,3758.0,1
2,284.0,1
2,292.0,2
2,326.0,1
2,1192.0,1
2,1516.0,1
2,3792.0,1
2,276.0,1
2,792.0,1
2,1492.0,1
2,2226.0,2
2,2026.0,1
2,1984.0,1
2,1942.0,1
2,2992.0,1
2,3226.0,2
2,2984.0,2
2,1266.0,1
2,3508.0,1
2,966.0,1
2,1200.0,1
2,1476.0,1
2,2966.0,1
2,3216.0,1
2,3476.0,1
2,976.0,1
2,1234.0,1
2,1450.0,1
2,1708.0,1
2,2342.0,1
2,3000.0,1
3,500.0,52
3,1500.0,54
3,2500.0,52
3,3250.0,42
3,3750.0,3
3,250.0,37
3,2250.0,26
3,3500.0,49
3,1250.0,43
3,1766.0,1
3,2000.0,9
3,0.0,5
3,750.0,3
3,3766.0,1
4,500.0,106
4,1000.0,99
4,1500.0,35
4,2000.0,85
4,2500.0,151
4,3000.0,118
4,3250.0,51
4,3750.0,125
4,0.0,51
4,250.0,94
4,1750.0,111
4,2250.0,61
4,3500.0,27
4,750.0,95
4,1250.0,100
4,2750.0,52
5,1042.0,1
5,1226.0,6
5,1526.0,3
5,1708.0,1
5,2008.0,5
5,2184.0,4
5,2500.0,5
5,2708.0,7
5,2750.0,3
5,3000.0,5
5,3016.0,8
5,3150.0,4
5,3534.0,2
5,3792.0,4
5,3834.0,3
5,8.0,8
5,42.0,5
5,100.0,2
5,242.0,11
5,392.0,6
5,484.0,7
5,684.0,2
5,1284.0,2
5,1392.0,1
5,1766.0,4
5,1826.0,3
5,2016.0,4
5,2066.0,2
5,2150.0,3
5,2242.0,7
5,2492.0,3
5,3258.0,8
5,3366.0,2
5,3500.0,5
5,3750.0,3
5,50.0,3
5,126.0,2
5,416.0,1
5,500.0,5
5,676.0,3
5,1034.0,2
5,1158.0,2
5,1266.0,6
5,1384.0,2
5,1508.0,6
5,1726.0,4
5,1784.0,2
5,2000.0,5
5,2042.0,3
5,2126.0,1
5,2408.0,1
5,3008.0,6
5,3134.0,2
5,3350.0,3
5,3484.0,6
5,3742.0,9
5,3800.0,3
5,0.0,6
5,150.0,5
5,266.0,8
5,576.0,2
5,726.0,1
5,858.0,3
5,1000.0,8
5,1126.0,3
5,1816.0,4
5,1992.0,7
5,2092.0,2
5,2250.0,5
5,3126.0,4
5,3216.0,5
5,3334.0,1
5,3734.0,7
5,3776.0,5
5,3984.0,7
5,92.0,2
5,442.0,3
5,1026.0,2
5,1134.0,3
5,1242.0,5
5,1350.0,2
5,1500.0,16
5,1592.0,3
5,1742.0,4
5,1834.0,3
5,1976.0,4
5,2084.0,1
5,2258.0,8
5,2742.0,8
5,2842.0,3
5,2976.0,1
5,3092.0,1
5,3234.0,8
5,3642.0,1
5,3866.0,5
