X,Y,Total_de_notas
2,1522.0,1
2,1524.0,1
2,1526.0,1
2,1536.0,1
2,1908.0,2
2,1910.0,1
2,1914.0,1
2,2288.0,2
2,2298.0,2
2,3106.0,1
2,3110.0,1
2,3120.0,2
2,3636.0,2
2,3640.0,1
2,3646.0,1
2,14.0,1
2,22.0,1
2,26.0,1
2,30.0,1
2,402.0,1
2,404.0,1
2,406.0,2
2,1220.0,3
2,1224.0,1
2,782.0,1
2,790.0,1
2,794.0,2
2,1606.0,1
2,1610.0,1
2,1614.0,2
2,1160.0,1
2,1162.0,2
2,1170.0,1
2,1548.0,1
2,1550.0,1
2,1552.0,1
2,1556.0,1
2,1930.0,1
2,1932.0,1
2,1934.0,2
2,2746.0,1
2,2758.0,1
2,2760.0,2
3,1416.0,1
3,3044.0,1
3,3858.0,1
3,700.0,1
3,1792.0,1
3,2900.0,1
3,3170.0,1
3,3448.0,1
3,254.0,1
3,1064.0,1
3,2174.0,1
3,3278.0,1
3,3544.0,1
3,3818.0,1
3,628.0,1
3,1456.0,1
3,2562.0,1
3,3654.0,1
3,3934.0,1
3,218.0,1
3,1016.0,1
3,1842.0,1
3,2402.0,1
3,2930.0,1
3,20.0,1
3,598.0,1
3,1398.0,1
3,2230.0,1
3,3306.0,1
3,414.0,1
3,704.0,1
3,960.0,1
3,1804.0,1
3,2594.0,1
3,3424.0,1
3,262.0,1
3,790.0,1
3,1088.0,1
3,1334.0,1
3,2164.0,1
3,2982.0,1
3,86.0,1
3,1192.0,1
3,1454.0,1
3,1738.0,1
3,2548.0,1
3,3372.0,1
3,3926.0,1
3,188.0,1
3,1014.0,1
3,1554.0,1
3,2124.0,1
3,2920.0,1
3,3750.0,1
3,856.0,1
3,1958.0,1
3,2228.0,1
3,2504.0,1
3,3326.0,1
3,120.0,1
3,1230.0,2
3,2334.0,1
3,2598.0,1
3,2880.0,1
3,3704.0,1
3,512.0,1
3,1604.0,1
3,2710.0,1
3,2996.0,1
3,3254.0,1
3,84.0,1
3,884.0,1
3,1444.0,1
3,1732.0,1
3,2560.0,1
3,3094.0,1
3,3376.0,1
3,3644.0,1
3,8.0,1
3,390.0,1
3,802.0,1
3,1594.0,1
3,1170.0,1
3,1550.0,1
3,1940.0,1
3,2752.0,1
4,1542.0,1
